Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.91,0,4282,4750,0.973,0.096,str('kl'),0.061,True
Completed,0.91,0,1944,2360,0.416,0.903,str('intersection'),0.016,False
Completed,0.91,0,1451,4094,0.093,0.853,str('intersection'),0.04,True
Completed,0.91,0,4746,1766,0.518,0.147,str('kl'),0.085,False
Completed,0.91,0,2409,3709,0.584,0.014,str('kl'),0.057,True
Completed,0.91,0,4483,2942,0.288,0.482,str('intersection'),0.065,False
Completed,0.91,0,2665,3550,0.882,0.336,str('kl'),0.086,False
Completed,0.91,0,4485,1292,0.093,0.958,str('kl'),0.06,True
Completed,0.91,0,2224,1100,0.346,0.578,str('intersection'),0.031,True
Completed,0.91,0,3027,4457,0.515,0.688,str('kl'),0.04,True
Completed,0.91,0,4825,382,0.463,0.078,str('kl'),0.01,False
Completed,0.91,0,288,3088,0.8,0.819,str('intersection'),0.09,True
Completed,0.91,0,1130,900,0.699,0.982,str('intersection'),0.061,False
Completed,0.91,0,3758,3195,0.034,0.226,str('kl'),0.049,True
Completed,0.91,1,3391,1644,0.991,0.602,str('kl'),0.023,False
Completed,0.91,0,1644,4252,0.279,0.345,str('intersection'),0.08,True
Completed,0.91,0,1939,2064,0.225,0.447,str('intersection'),0.074,False
Completed,0.91,0,551,531,0.949,0.723,str('kl'),0.054,True
Completed,0.91,0,2594,598,0.717,0.061,str('intersection'),0.042,True
Completed,0.91,0,551,4055,0.676,0.217,str('intersection'),0.049,False
Completed,0.91,0,846,2493,0.824,0.118,str('intersection'),0.021,True
Completed,0.91,0,4121,4729,0.413,0.874,str('kl'),0.099,False
Completed,0.91,1,3732,113,0.609,0.486,str('kl'),0.07,True
Completed,0.91,0,1382,2661,0.151,0.743,str('intersection'),0.037,False
Completed,0.91,0,1850,1804,0.54,0.809,str('kl'),0.054,True
Completed,0.91,1,3264,4098,0.192,0.053,str('intersection'),0.064,False
Completed,0.91,1,3964,752,0.77,0.682,str('intersection'),0.082,True
Completed,0.91,1,1004,3358,0.499,0.425,str('kl'),0.026,False
Completed,0.91,1,83,547,0.008,0.276,str('kl'),0.043,True
Completed,0.91,1,4952,2938,0.731,0.518,str('intersection'),0.076,False
Completed,0.91,0,2823,1911,0.308,0.154,str('intersection'),0.092,True
Completed,0.91,0,3249,1005,0.181,0.724,str('kl'),0.096,False
Completed,0.91,0,2455,1356,0.763,0.367,str('intersection'),0.069,False
Completed,0.91,1,2581,3925,0.473,0.625,str('kl'),0.034,True
Completed,0.91,0,4569,1237,0.549,0.236,str('kl'),0.016,False
Completed,0.91,0,320,3493,0.212,0.993,str('intersection'),0.095,True
Completed,0.91,1,767,55,0.282,0.828,str('intersection'),0.056,False
Completed,0.91,0,4347,2799,0.947,0.087,str('kl'),0.044,True
