Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.71,10,264,338,6,0.753
Completed,0.7,45,2742,2517,1,0.247
Completed,0.72,7,3856,2447,9,0.997
Completed,0.61,191,1720,4831,3,0.277
Completed,0.73,41,1915,1286,3,0.376
Completed,0.73,111,4188,140,5,0.669
Completed,0.68,39,3408,4374,1,0.714
Completed,0.68,22,1208,1452,6,0.462
Completed,0.71,6,1986,3206,4,0.939
Completed,0.73,67,4805,968,10,0.189
Completed,0.68,104,4474,4745,5,0.397
Completed,0.7,60,2318,2018,9,0.644
Completed,0.69,49,916,2679,1,0.141
Completed,0.72,28,3702,558,6,0.888
Completed,0.67,78,2864,3497,9,0.821
Completed,0.71,41,24,756,3,0.074
Completed,0.69,113,1744,3922,8,0.579
Completed,0.71,92,1363,2862,10,0.421
Completed,0.67,5,580,2441,1,0.926
Completed,0.69,132,2776,4557,6,0.179
Completed,0.69,88,4989,3981,7,0.851
Completed,0.74,66,3562,1062,5,0.101
Completed,0.67,176,845,3679,10,0.626
Completed,0.72,44,873,1414,8,0.89
Completed,0.69,127,3473,3798,2,0.367
Completed,0.72,56,4863,1250,10,0.616
Completed,0.68,76,1985,3555,5,0.143
Completed,0.72,32,3069,824,2,0.469
Completed,0.64,129,289,3742,6,0.721
Completed,0.73,44,1696,1600,5,0.245
Completed,0.62,146,3856,3834,10,0.995
Completed,0.71,26,1840,1689,1,0.249
Completed,0.69,37,5000,2641,1,0.985
Completed,0.72,26,1091,954,3,0.693
Completed,0.72,24,5000,1745,1,0.662
Completed,0.73,33,4792,944,1,0.491
Completed,0.7,370,5000,2452,10,0.001
Completed,0.71,12,3667,1854,1,0.535
Completed,0.7,455,3976,5000,10,0.163
Completed,0.7,8,1,528,2,0.989
Completed,0.72,20,5000,722,6,0.999
Completed,0.72,35,4243,625,10,0.999
Completed,0.71,24,3856,1697,6,0.999
Completed,0.69,281,4790,3409,10,0.001
Completed,0.66,336,2463,3198,10,0.001
Completed,0.71,2,1,987,1,0.999
Completed,0.66,402,4428,5000,10,0.001
