Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.73,2695,4001,275,4,0.282
Completed,0.69,4433,2437,362,10,0.39
Completed,0.61,7080,4304,1495,1,0.537
Completed,0.81,1543,2868,129,5,0.369
Completed,0.81,958,144,70,5,0.558
Completed,0.84,6250,897,22,6,0.605
Completed,0.82,5617,4963,62,5,0.519
Completed,0.81,2096,1420,113,5,0.467
Completed,0.81,3118,4439,97,5,0.493
Completed,0.84,2919,2716,43,2,0.686
Completed,0.83,4287,1660,58,1,0.227
Completed,0.84,6425,3193,37,1,0.778
Completed,0.77,822,58,69,6,0.232
Completed,0.85,5229,240,10,3,0.283
Completed,0.72,5317,490,305,1,0.291
Completed,0.62,5763,3310,533,6,0.085
Completed,0.79,1685,489,153,1,0.244
Completed,0.81,2836,4466,117,5,0.422
Completed,0.83,1753,479,72,1,0.505
Completed,0.8,1608,317,119,5,0.397
Completed,0.82,3268,1800,90,10,0.757
Completed,0.79,1062,2083,73,1,0.356
Completed,0.81,2019,619,126,10,0.729
Completed,0.81,3036,1516,107,1,0.354
Completed,0.83,1964,2356,49,1,0.358
Completed,0.77,911,100,113,1,0.354
Completed,0.84,2756,627,44,1,0.358
Completed,0.8,2345,1244,137,2,0.352
Completed,0.83,2636,2942,75,9,0.606
Completed,0.84,3782,2731,41,1,0.316
Completed,0.82,3885,1246,87,1,0.77
Completed,0.83,4788,1317,66,1,0.215
Completed,0.82,2485,630,96,1,0.35
Completed,0.81,1874,767,123,1,0.999
Completed,0.81,1871,2880,133,1,0.999
Completed,0.59,5986,1782,792,3,0.127
Completed,0.82,2395,1066,89,4,0.623
Completed,0.73,5359,4616,270,1,0.795
Completed,0.84,3443,3072,63,8,0.273
Completed,0.76,4694,1399,204,6,0.071
Completed,0.64,7009,4895,546,10,0.607
Completed,0.85,4477,2269,14,1,0.738
Completed,0.78,4395,435,192,9,0.376
Completed,0.84,5698,3091,50,7,0.045
Completed,0.74,5923,3754,243,4,0.676
Completed,0.8,2845,1409,140,1,0.773
Completed,0.79,3040,4933,147,5,0.035
Completed,0.57,13816,2194,1647,1,0.337
Completed,0.66,4359,1478,433,6,0.243
Completed,0.59,9046,3096,726,1,0.931
Completed,0.57,12696,2030,927,3,0.534
Completed,0.62,11839,3481,557,9,0.346
Completed,0.68,4201,99,270,2,0.433
Completed,0.84,1987,2379,37,10,0.684
Completed,0.71,5327,4042,322,1,0.6
Completed,0.61,13157,3667,1444,2,0.63
Completed,0.65,8855,1084,511,4,0.999
Completed,0.57,13902,1671,1104,3,0.102
Completed,0.76,3947,2508,226,7,0.786
Completed,0.79,2922,784,182,8,0.952
Completed,0.72,2507,4434,318,2,0.84
Completed,0.6,8855,2139,531,4,0.667
Completed,0.55,13336,479,989,1,0.366
Completed,0.83,5726,3275,45,7,0.555
Completed,0.71,6678,3959,303,5,0.283
Completed,0.6,13022,9,432,6,0.424
Completed,0.62,9919,1650,1284,5,0.922
Completed,0.6,14217,3744,762,2,0.746
Completed,0.62,7750,2812,568,10,0.069
Completed,0.62,14044,2875,2587,3,0.32
