Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.63,72,3586,498,10,0.001
Completed,0.52,6,2324,3664,3,0.86
Completed,0.56,7,3512,3997,4,0.246
Completed,0.57,33,3910,1134,6,0.806
Completed,0.57,9,454,2592,1,0.462
Completed,0.62,34,775,502,5,0.273
Completed,0.58,12,4858,3263,10,0.991
Completed,0.59,12,2566,1594,2,0.053
Completed,0.54,11,1803,4673,7,0.707
Completed,0.61,46,1376,753,3,0.937
Completed,0.58,11,2997,2973,8,0.343
Completed,0.58,21,4426,2164,4,0.652
Completed,0.55,8,1202,4065,10,0.123
Completed,0.59,8,256,1507,7,0.176
Completed,0.54,8,4102,4761,2,0.58
Completed,0.71,194,3319,101,8,0.391
Completed,0.57,10,3351,3431,3,0.63
Completed,0.58,9,570,2776,8,0.783
Completed,0.61,27,1718,1482,4,0.071
Completed,0.58,21,3885,2250,6,0.595
Completed,0.62,27,2648,552,7,0.645
Completed,0.59,17,1996,2490,10,0.843
Completed,0.61,26,4829,1398,2,0.322
Completed,0.6,19,440,719,5,0.186
Completed,0.56,14,3709,2545,9,0.535
Completed,0.57,19,3362,1884,5,0.92
Completed,0.56,7,1450,4003,4,0.86
Completed,0.57,12,4512,3237,7,0.192
Completed,0.61,19,1196,1729,7,0.383
Completed,0.6,12,2930,2167,7,0.306
Completed,0.61,11,18,180,6,0.028
Completed,0.57,9,2127,2231,9,0.526
Completed,0.65,44,2903,445,10,0.001
Completed,0.55,9,1,711,1,0.001
Completed,0.7,73,3551,330,10,0.001
Completed,0.61,22,2355,544,10,0.001
Completed,0.55,17,1,690,10,0.001
Completed,0.65,46,2631,334,1,0.001
Completed,0.73,134,4096,181,10,0.001
Completed,0.55,7,1,464,1,0.001
Completed,0.52,202,1,2082,10,0.001
Completed,0.52,5,1,876,1,0.154
Completed,0.58,15,4803,2635,10,0.999
Completed,0.48,7,2003,469,1,0.001
Completed,0.7,93,3835,249,10,0.126
Completed,0.52,5,1,2648,10,0.999
Completed,0.71,98,5000,268,10,0.308
Completed,0.52,192,5000,5000,1,0.001
Completed,0.52,176,1,5000,1,0.001
Completed,0.68,86,4380,311,1,0.681
Completed,0.58,46,1621,728,1,0.001
Completed,0.63,50,4922,794,10,0.001
Completed,0.54,8,5000,5000,10,0.999
Completed,0.71,191,5000,152,10,0.999
Completed,0.64,56,5000,557,10,0.999
Completed,0.72,55,523,201,10,0.001
Completed,0.61,59,5000,609,10,0.566
Completed,0.59,35,5000,1007,10,0.175
Completed,0.72,57,2454,141,10,0.999
Completed,0.58,41,5000,886,10,0.999
Completed,0.68,45,323,175,10,0.676
Completed,0.68,69,5000,424,10,0.999
Completed,0.58,50,5000,731,10,0.999
Completed,0.6,28,5000,1474,6,0.458
Completed,0.57,14,5000,2412,7,0.436
Completed,0.58,65,5000,2482,1,0.001
Completed,0.6,14,3640,2772,1,0.602
Completed,0.58,113,3256,1084,10,0.001
Completed,0.66,48,5000,636,10,0.999
Completed,0.56,16,1,202,10,0.001
Completed,0.74,213,5000,99,10,0.885
Completed,0.58,15,5000,2386,1,0.789
Completed,0.7,102,5000,252,10,0.999
Completed,0.71,104,1657,214,10,0.001
Completed,0.68,21,125,200,10,0.376
Completed,0.62,27,5000,1436,10,0.025
Completed,0.61,32,5000,1387,9,0.892
Completed,0.65,45,4620,710,10,0.656
Completed,0.64,21,2258,471,10,0.999
Completed,0.57,179,5000,3151,1,0.001
Completed,0.59,22,5000,1876,10,0.999
Completed,0.62,21,5000,1705,1,0.999
Completed,0.57,18,5000,2262,1,0.999
Completed,0.58,126,5000,3387,1,0.001
Completed,0.55,11,1,201,10,0.999
Completed,0.58,12,5000,3076,1,0.999
Completed,0.55,47,5000,2290,1,0.001
Completed,0.71,111,1551,177,10,0.999
Completed,0.74,171,5000,140,10,0.001
Completed,0.52,177,1,3094,1,0.001
Completed,0.57,8,1,175,1,0.999
Completed,0.55,99,5000,3732,10,0.001
Completed,0.52,96,1,3488,1,0.001
Completed,0.58,12,5000,3417,1,0.999
Completed,0.52,148,1,3252,1,0.001
Completed,0.6,46,5000,1673,10,0.001
Completed,0.61,24,3952,1630,10,0.999
Completed,0.59,29,5000,1251,1,0.999
Completed,0.57,430,5000,3265,10,0.001
Completed,0.52,5,1,3184,1,0.999
Completed,0.75,234,5000,90,10,0.001
Completed,0.71,274,3745,98,10,0.999
Completed,0.52,6,1,3462,10,0.999
Completed,0.56,8,1,386,10,0.999
Completed,0.71,54,2427,183,10,0.999
Completed,0.58,15,5000,3128,10,0.372
Completed,0.68,60,2810,213,1,0.41
Completed,0.71,88,1813,285,10,0.999
Completed,0.71,73,3139,250,10,0.999
Completed,0.7,114,4570,213,1,0.001
Completed,0.64,64,5000,476,10,0.001
Completed,0.61,12,31,266,10,0.658
Completed,0.72,196,4091,111,10,0.001
Completed,0.6,32,3796,1008,10,0.999
Completed,0.66,56,5000,537,1,0.001
Completed,0.59,12,4750,3083,10,0.999
Completed,0.72,132,3969,210,10,0.001
Completed,0.59,33,5000,1020,1,0.999
Completed,0.75,300,4335,66,10,0.001
Completed,0.7,159,4262,156,10,0.001
Completed,0.58,17,5000,1994,1,0.999
Completed,0.7,106,1922,229,10,0.585
Completed,0.7,78,3215,216,10,0.479
Completed,0.68,20,2277,428,10,0.488
Completed,0.57,17,5000,2918,5,0.999
Completed,0.57,13,2625,1523,10,0.999
Completed,0.62,23,3359,1385,1,0.332
Completed,0.63,60,3880,501,1,0.999
Completed,0.67,56,923,286,10,0.999
Completed,0.66,76,3940,350,10,0.999
Completed,0.59,37,5000,1840,1,0.001
Completed,0.64,24,5000,1552,1,0.999
Completed,0.52,6,1,1317,10,0.85
Completed,0.72,81,1351,225,1,0.284
Completed,0.57,18,5000,2893,10,0.001
Completed,0.72,148,3672,129,10,0.999
Completed,0.67,55,3317,402,10,0.001
Completed,0.66,46,968,409,10,0.194
Completed,0.74,250,3690,84,10,0.001
Completed,0.56,57,5000,905,1,0.001
Completed,0.72,116,3527,170,10,0.999
Completed,0.68,65,1733,407,10,0.001
Completed,0.78,332,3804,54,10,0.999
Completed,0.65,48,1280,520,10,0.999
Completed,0.67,55,3428,407,10,0.589
Completed,0.6,12,3564,2495,10,0.999
Completed,0.59,49,5000,1548,1,0.001
Completed,0.68,25,2173,207,10,0.999
Completed,0.57,18,180,391,10,0.259
Completed,0.58,16,4954,2852,1,0.001
Completed,0.73,151,3802,131,10,0.001
Completed,0.58,12,3091,2810,10,0.999
Completed,0.59,17,3374,1853,1,0.999
Completed,0.58,12,4932,3006,1,0.437
Completed,0.76,349,3701,39,10,0.001
Completed,0.7,94,3270,192,10,0.999
Completed,0.65,37,2643,404,10,0.999
Completed,0.52,4,1,4338,1,0.999
Completed,0.63,42,5000,1340,1,0.001
Completed,0.6,21,5000,1829,1,0.684
Completed,0.67,40,750,412,10,0.001
Completed,0.6,14,2762,1629,10,0.619
Completed,0.57,6,2329,3336,10,0.999
Completed,0.62,19,5000,2136,10,0.999
Completed,0.73,96,1292,205,10,0.999
Completed,0.55,12,2801,2349,10,0.999
Completed,0.66,62,5000,662,10,0.001
Completed,0.57,12,2147,944,10,0.731
Completed,0.6,16,2592,1224,10,0.999
Completed,0.67,69,1317,421,10,0.999
Completed,0.71,118,3457,152,10,0.001
Completed,0.62,18,3476,1743,1,0.001
Completed,0.73,160,3475,111,10,0.001
Completed,0.56,13,5000,3891,10,0.999
Completed,0.55,14,2791,1755,10,0.999
Completed,0.58,18,1765,2334,1,0.754
Completed,0.59,18,2928,1409,1,0.999
Completed,0.76,238,3818,74,10,0.999
Completed,0.67,78,1894,455,10,0.467
Completed,0.54,29,2400,1344,1,0.001
Completed,0.79,605,3965,32,10,0.999
Completed,0.72,94,3182,175,10,0.001
Completed,0.56,9,5000,4123,10,0.999
Completed,0.55,12,5000,3556,1,0.999
Completed,0.59,9,2792,3341,1,0.999
Completed,0.54,41,5000,1156,10,0.999
Completed,0.57,30,2444,2786,1,0.001
Completed,0.71,72,842,206,10,0.999
Completed,0.59,57,3275,2785,10,0.001
Completed,0.64,30,1454,1191,10,0.999
Completed,0.63,41,1524,1288,10,0.001
Completed,0.72,204,1373,72,10,0.001
Completed,0.72,144,1281,135,10,0.001
Completed,0.77,383,1311,30,10,0.001
Completed,0.59,10,994,3306,10,0.999
Completed,0.69,74,888,191,10,0.516
Completed,0.54,8,1201,4839,10,0.999
Completed,0.73,168,1339,109,10,0.999
Completed,0.61,29,1124,956,10,0.999
Completed,0.72,102,1226,166,10,0.001
Completed,0.58,9,1121,3355,1,0.999
Completed,0.75,211,4784,104,1,0.999
Completed,0.49,6,3005,4885,10,0.999
Completed,0.59,38,1174,618,10,0.999
Completed,0.75,255,4371,97,10,0.001
Completed,0.55,9,3947,4222,10,0.001
Completed,0.61,26,1275,1290,10,0.999
Completed,0.64,43,1161,507,10,0.001
Completed,0.63,23,1160,1460,10,0.738
Completed,0.62,18,1054,1631,10,0.999
Completed,0.58,15,4006,3151,1,0.999
Completed,0.71,90,1209,182,10,0.505
Completed,0.57,14,3920,3446,10,0.999
Completed,0.74,254,1413,63,10,0.999
Completed,0.54,9,5000,4504,10,0.001
Completed,0.65,48,988,385,1,0.999
Completed,0.54,8,3293,4558,1,0.001
Completed,0.72,177,4347,128,10,0.999
Completed,0.59,13,1178,2845,1,0.999
Completed,0.5,6,2855,4851,1,0.999
Completed,0.73,75,871,201,1,0.999
Completed,0.63,41,1131,1675,10,0.001
Completed,0.75,368,4925,59,1,0.001
Completed,0.68,71,1133,358,10,0.001
Completed,0.73,162,1295,149,10,0.999
Completed,0.61,22,1235,1431,10,0.001
Completed,0.72,171,4552,131,1,0.001
Completed,0.58,14,1314,2212,10,0.999
Completed,0.6,27,1059,936,10,0.045
Completed,0.77,261,4433,80,1,0.999
Completed,0.78,363,4461,55,10,0.999
Completed,0.6,15,4125,2720,1,0.999
Completed,0.59,13,1411,2943,1,0.999
Completed,0.59,11,1314,3180,10,0.999
Completed,0.73,158,4346,160,10,0.999
Completed,0.57,22,4219,1925,1,0.999
Completed,0.57,10,965,3786,10,0.999
Completed,0.57,7,4043,3985,10,0.999
Completed,0.78,461,4426,46,10,0.001
Completed,0.57,20,4211,2256,10,0.999
Completed,0.58,14,1196,2451,10,0.999
Completed,0.56,49,3592,2591,1,0.001
Completed,0.79,495,1310,26,10,0.999
Completed,0.6,24,4125,1669,1,0.448
Completed,0.68,57,1146,360,10,0.999
Completed,0.53,8,1143,4379,1,0.001
Completed,0.6,21,4240,1759,1,0.999
Completed,0.73,156,1220,87,10,0.001
Completed,0.58,30,1146,832,10,0.001
Completed,0.55,7,968,3974,10,0.999
Completed,0.57,19,1155,1876,10,0.999
Completed,0.56,17,1135,1773,10,0.999
Completed,0.6,23,1320,1535,10,0.999
Completed,0.74,269,4449,87,10,0.999
Completed,0.72,157,4338,142,10,0.999
Completed,0.77,536,4445,32,1,0.001
Completed,0.63,22,3639,1515,6,0.758
Completed,0.59,44,1431,1871,10,0.001
Completed,0.56,14,4141,3700,1,0.999
Completed,0.64,49,1160,467,10,0.515
Completed,0.77,489,4511,33,10,0.001
Completed,0.71,199,4478,110,10,0.001
Completed,0.72,74,963,194,1,0.575
Completed,0.71,189,4374,110,10,0.999
Completed,0.72,161,1286,118,10,0.001
