Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.73,294,312,2008,3,0.136
Completed,0.74,11,1275,326,6,0.967
Completed,0.75,11,744,385,8,0.981
Completed,0.75,33,3538,502,9,0.838
Completed,0.73,213,1562,3528,4,0.081
Completed,0.73,209,1135,2216,7,0.608
Completed,0.73,167,3768,4303,3,0.352
Completed,0.73,145,4613,1684,5,0.423
Completed,0.73,86,446,4905,10,0.681
Completed,0.74,157,1937,1230,1,0.131
Completed,0.73,165,3217,4024,7,0.732
Completed,0.73,206,890,3516,3,0.066
Completed,0.75,14,1683,453,7,0.997
Completed,0.73,97,2702,4438,1,0.304
Completed,0.73,370,2917,2336,8,0.011
Completed,0.73,109,1428,2569,2,0.69
Completed,0.73,38,3999,127,2,0.873
Completed,0.73,97,2362,1135,1,0.038
Completed,0.73,88,68,2993,9,0.9
Completed,0.74,185,4360,2132,3,0.331
Completed,0.73,394,4948,3748,3,0.401
Completed,0.73,282,645,1484,7,0.829
Completed,0.73,113,1770,4548,5,0.234
Completed,0.73,66,3005,2887,6,0.886
Completed,0.73,117,4420,846,6,0.163
Completed,0.73,336,3754,4874,10,0.109
Completed,0.75,221,557,266,4,0.662
Completed,0.73,231,2030,3413,8,0.277
Completed,0.74,4,3665,1771,1,0.955
Completed,0.73,202,3578,3229,8,0.191
Completed,0.73,124,2098,1588,4,0.51
Completed,0.73,247,4135,2868,6,0.565
Completed,0.75,4,3622,1279,1,0.999
Completed,0.73,122,1,1504,10,0.999
Completed,0.73,49,239,353,10,0.817
Completed,0.75,5,1921,1052,1,0.999
Completed,0.72,1,1,1641,1,0.999
Completed,0.73,11,1,944,10,0.999
Completed,0.74,16,192,33,10,0.827
Completed,0.74,25,2635,1211,10,0.999
Completed,0.72,1,1,446,1,0.986
Completed,0.75,11,5000,1385,8,0.999
Completed,0.74,130,5000,2115,10,0.999
Completed,0.73,1,1,927,1,0.999
Completed,0.73,1,1,2017,1,0.999
Completed,0.73,1,1,659,1,0.999
Completed,0.73,74,1,468,1,0.001
Completed,0.73,1,1,245,1,0.83
Completed,0.73,1,1,1188,1,0.999
Completed,0.73,10,1,1325,10,0.999
Completed,0.73,101,1,1803,10,0.999
Completed,0.73,23,75,10,1,0.808
Completed,0.74,5,1865,1414,8,0.999
Completed,0.75,4,4701,1263,5,0.999
Completed,0.72,1,2045,923,4,0.999
Completed,0.74,4,5000,1598,2,0.999
