Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.91,0,1342,531,6,0.175
Completed,0.91,0,2862,4587,4,0.624
Completed,0.91,0,1838,1896,10,0.329
Completed,0.91,0,385,2830,9,0.804
Completed,0.91,0,1518,1203,6,0.822
Completed,0.91,0,4866,3207,10,0.199
Completed,0.91,0,3322,4564,1,0.771
Completed,0.91,5,687,59,8,0.447
Completed,0.91,0,4853,429,4,0.567
Completed,0.91,0,2663,2948,10,0.363
Completed,0.91,0,976,4681,2,0.342
Completed,0.92,6,3610,97,10,0.877
Completed,0.91,0,3925,2656,5,0.176
Completed,0.91,0,1933,3167,9,0.626
Completed,0.91,0,3046,3954,6,0.852
Completed,0.91,0,2981,422,9,0.36
Completed,0.91,0,2604,2305,4,0.714
Completed,0.91,0,1537,4462,3,0.934
Completed,0.91,0,1121,1453,8,0.1
Completed,0.91,0,4675,3665,5,0.664
Completed,0.91,0,3934,1979,1,0.533
Completed,0.91,0,612,2905,9,0.231
Completed,0.91,0,2044,1147,4,0.801
Completed,0.91,0,3725,3971,6,0.493
Completed,0.91,0,3342,1649,3,0.151
Completed,0.91,0,2445,3235,6,0.582
Completed,0.91,2,214,227,1,0.388
Completed,0.91,0,4314,4892,8,0.813
Completed,0.91,0,4901,718,7,0.945
Completed,0.91,0,877,4166,5,0.256
Completed,0.91,6,4274,2,2,0.033
Completed,0.91,0,1006,3539,1,0.853
Completed,0.91,0,1034,5000,9,0.001
Completed,0.91,0,3220,690,5,0.001
Completed,0.91,0,4624,389,5,0.997
Completed,0.91,0,5000,683,5,0.999
Completed,0.91,0,3101,792,5,0.09
Completed,0.91,0,3894,3741,5,0.095
Completed,0.91,0,415,3151,5,0.093
Completed,0.91,0,2245,2860,6,0.088
Completed,0.91,0,1515,2009,5,0.098
Completed,0.91,0,1678,3028,6,0.093
Completed,0.91,0,2775,4770,5,0.086
Completed,0.91,0,2428,4231,5,0.09
Completed,0.91,0,1542,4742,6,0.091
Completed,0.92,4,2444,52,5,0.095
Completed,0.91,0,5000,3339,6,0.091
Completed,0.91,0,5000,1657,5,0.092
Completed,0.91,0,2858,2806,5,0.092
Completed,0.91,0,1,1324,5,0.084
Completed,0.91,0,588,4084,6,0.089
Completed,0.91,0,4687,4588,6,0.084
Completed,0.91,0,2263,1358,5,0.103
Completed,0.91,0,3227,3660,6,0.096
Completed,0.91,0,1238,1261,5,0.097
Completed,0.91,0,2168,894,6,0.089
Completed,0.91,0,3708,2240,5,0.094
Completed,0.91,0,1,4433,5,0.089
Completed,0.91,0,1565,2233,5,0.091
Completed,0.91,0,5000,3916,10,0.67
Completed,0.91,0,1,3870,8,0.999
Completed,0.91,0,3228,4308,6,0.089
Completed,0.91,0,5000,3953,5,0.087
Completed,0.91,0,4781,1792,6,0.093
Completed,0.91,0,2635,1462,5,0.086
Completed,0.91,0,609,329,6,0.089
Completed,0.91,0,4293,481,6,0.088
Completed,0.91,0,3368,538,1,0.999
Completed,0.91,0,3775,487,6,0.078
Completed,0.91,0,3014,304,6,0.088
Completed,0.91,0,3641,361,6,0.087
Completed,0.91,3,1982,196,6,0.09
Completed,0.91,0,1,2689,8,0.924
Completed,0.91,9,1127,46,5,0.082
Completed,0.91,0,3497,546,3,0.999
Completed,0.91,0,1,916,10,0.001
Completed,0.91,0,767,297,5,0.078
Completed,0.91,0,3255,425,6,0.089
Completed,0.91,0,4202,547,6,0.089
Completed,0.91,0,1,3300,1,0.666
Completed,0.91,0,3518,493,6,0.097
Completed,0.91,0,5000,1269,1,0.999
Completed,0.91,2,290,80,6,0.086
Completed,0.91,0,3585,336,5,0.077
Completed,0.91,0,2442,393,6,0.088
Completed,0.91,1,1742,253,6,0.089
Completed,0.91,0,1,839,10,0.235
Completed,0.91,0,3349,548,9,0.999
Completed,0.91,0,2713,351,5,0.077
Completed,0.91,0,5000,3082,1,0.001
Completed,0.91,0,1,5000,1,0.999
Completed,0.91,0,1,2663,2,0.001
Completed,0.91,0,1,2534,9,0.999
Completed,0.91,0,1,3146,8,0.001
Completed,0.91,0,1,805,10,0.6
Completed,0.91,3,5000,212,10,0.999
Completed,0.91,6,5000,92,10,0.999
Completed,0.91,0,5000,287,10,0.999
Completed,0.91,3,5000,160,10,0.999
Completed,0.91,0,1,128,10,0.999
Completed,0.91,2,5000,224,1,0.001
Completed,0.91,10,4104,35,10,0.001
Completed,0.91,0,5000,345,10,0.999
Completed,0.91,3,1,186,10,0.001
Completed,0.91,3,5000,191,10,0.001
Completed,0.91,3,1,45,10,0.001
Completed,0.91,1,5000,249,10,0.001
Completed,0.91,0,5000,368,10,0.001
Completed,0.91,23,5000,29,10,0.999
Completed,0.91,8,4805,78,1,0.001
Completed,0.91,2,5000,184,1,0.999
Completed,0.91,0,1,388,10,0.999
Completed,0.91,0,5000,296,1,0.001
Completed,0.91,1,1,241,10,0.999
Completed,0.91,1,5000,260,1,0.999
Completed,0.92,5,5000,131,10,0.001
Completed,0.91,0,1,4567,10,0.999
Completed,0.91,0,1,1901,10,0.001
Completed,0.91,4,5000,156,1,0.001
Completed,0.91,0,1,3796,1,0.999
Completed,0.91,0,5000,4655,10,0.999
Completed,0.91,0,5000,1844,10,0.999
Completed,0.91,0,5000,4517,1,0.999
Completed,0.91,0,5000,301,10,0.001
Completed,0.91,0,1,2326,1,0.999
Completed,0.92,7,5000,87,10,0.001
Completed,0.91,0,5000,2885,10,0.999
Completed,0.91,0,1,104,1,0.001
Completed,0.91,0,1,1968,10,0.999
Completed,0.91,2,1,109,10,0.001
Completed,0.91,0,1,4625,1,0.001
Completed,0.91,0,1,5000,10,0.001
Completed,0.91,0,1,2193,10,0.999
Completed,0.91,0,1,4228,10,0.999
Completed,0.91,0,1,4208,1,0.999
Completed,0.91,0,5000,4644,1,0.001
Completed,0.91,0,2074,5000,10,0.999
Completed,0.91,0,5000,3607,1,0.999
Completed,0.91,0,5000,2007,10,0.001
Completed,0.91,0,1,1791,1,0.999
Completed,0.91,0,5000,2228,1,0.999
Completed,0.91,0,5000,2887,1,0.999
Completed,0.91,2,1,227,1,0.001
Completed,0.91,0,5000,5000,10,0.001
Completed,0.91,0,1,2728,10,0.001
Completed,0.91,0,5000,4188,10,0.999
Completed,0.91,0,5000,2418,10,0.999
Completed,0.91,0,5000,1507,10,0.999
Completed,0.91,2,5000,218,10,0.001
Completed,0.91,0,1,1415,10,0.999
Completed,0.91,0,1,4013,1,0.001
Completed,0.91,0,1,1502,1,0.999
Completed,0.91,0,1,3439,1,0.001
Completed,0.91,0,1,4892,10,0.999
Completed,0.91,0,1,1201,1,0.852
Completed,0.91,0,5000,415,10,0.001
Completed,0.91,0,5000,1567,1,0.999
Completed,0.91,5,5000,160,10,0.001
Completed,0.91,0,5000,273,10,0.001
Completed,0.91,0,5000,330,10,0.001
Completed,0.91,0,5000,3551,10,0.001
Completed,0.91,0,1,3294,10,0.999
Completed,0.91,0,5000,3471,10,0.999
Completed,0.91,0,1,2818,1,0.999
Completed,0.91,0,1,1636,10,0.001
Completed,0.91,0,5000,2610,10,0.999
Completed,0.91,0,1,4249,10,0.001
Completed,0.91,0,1,1624,1,0.001
Completed,0.91,0,5000,3923,1,0.001
Completed,0.91,0,5000,4137,1,0.999
Completed,0.91,0,5000,3513,1,0.001
Completed,0.91,0,1,4848,1,0.999
Completed,0.91,0,1,2988,1,0.999
Completed,0.91,0,1,3631,1,0.001
Completed,0.92,6,5000,109,10,0.001
Completed,0.91,0,5000,3070,10,0.001
Completed,0.91,0,5000,1292,1,0.001
Completed,0.91,0,5000,1318,10,0.001
Completed,0.91,0,5000,1213,10,0.999
Completed,0.91,9,5000,24,10,0.001
Completed,0.91,0,5000,2011,1,0.001
Completed,0.91,8,4355,26,10,0.001
Completed,0.91,0,5000,2320,10,0.001
Completed,0.91,0,5000,3197,10,0.999
Completed,0.91,0,5000,4897,1,0.999
Completed,0.91,0,5000,3718,10,0.999
Completed,0.91,0,1,3994,10,0.001
Completed,0.91,0,5000,4436,10,0.001
Completed,0.91,0,5000,2633,1,0.001
Completed,0.91,0,1,1277,1,0.001
Completed,0.91,0,5000,4857,1,0.001
Completed,0.91,0,1,1066,10,0.001
Completed,0.91,0,1,3786,10,0.001
Completed,0.91,0,5000,2502,1,0.999
Completed,0.91,0,1,1692,10,0.999
Completed,0.91,0,1,3052,10,0.999
Completed,0.92,6,5000,120,10,0.001
Completed,0.91,0,1,2461,10,0.001
Completed,0.91,3,5000,188,1,0.001
Completed,0.91,0,1,3994,1,0.999
Completed,0.91,1,1,261,10,0.001
Completed,0.91,0,1,2154,1,0.001
Completed,0.91,11,5000,65,10,0.001
Completed,0.91,0,5000,1906,1,0.999
Completed,0.91,0,3861,3289,1,0.001
Completed,0.91,0,5000,4228,10,0.001
Completed,0.91,0,5000,4435,1,0.001
Completed,0.91,0,5000,4818,10,0.999
Completed,0.92,6,5000,98,10,0.001
Completed,0.91,0,3581,4432,10,0.999
Completed,0.91,0,5000,3190,1,0.999
Completed,0.91,0,1,4699,1,0.999
Completed,0.91,0,5000,1512,10,0.001
Completed,0.91,0,5000,4699,1,0.999
Completed,0.91,0,1,4376,10,0.999
Completed,0.91,0,5000,413,10,0.999
Completed,0.91,0,5000,3257,10,0.001
Completed,0.91,0,5000,2781,10,0.001
Completed,0.91,0,1604,2861,1,0.001
Completed,0.91,0,783,3141,1,0.999
Completed,0.91,0,1,2952,10,0.001
Completed,0.91,0,5000,364,1,0.001
Completed,0.91,0,5000,3406,1,0.001
Completed,0.91,2,5000,233,10,0.001
Completed,0.91,0,1,3544,10,0.001
Completed,0.91,0,5000,3752,1,0.001
Completed,0.91,0,5000,1735,1,0.999
Completed,0.91,0,432,4645,10,0.001
Completed,0.91,0,5000,5000,10,0.999
Completed,0.91,0,5000,347,10,0.001
Completed,0.91,0,5000,2130,10,0.001
Completed,0.91,0,5000,3840,1,0.999
Completed,0.91,0,1,3303,1,0.001
Completed,0.91,0,1,2897,10,0.999
Completed,0.91,0,1,2366,1,0.001
Completed,0.91,1,5000,261,10,0.001
Completed,0.91,0,1,4019,10,0.999
Completed,0.91,4,4629,166,10,0.001
Completed,0.91,0,1,4465,1,0.001
Completed,0.91,0,4838,2224,10,0.999
Completed,0.91,0,3260,1808,1,0.001
Completed,0.91,0,1,5000,1,0.001
Completed,0.91,0,5000,2215,1,0.001
Completed,0.91,0,5000,1026,10,0.999
Completed,0.91,0,5000,4021,10,0.999
