Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.52,27,938,0.954
Completed,0.56,38,2364,0.098
Completed,0.52,27,3857,0.606
Completed,0.64,127,3950,0.078
Completed,0.52,27,2311,0.564
Completed,0.56,40,4289,0.353
Completed,0.52,36,4635,0.683
Completed,0.52,27,4226,0.422
Completed,0.52,28,140,0.402
Completed,0.6,58,1682,0.236
Completed,0.52,30,2649,0.834
Completed,0.52,28,1371,0.585
Completed,0.62,75,665,0.049
Completed,0.61,115,3879,0.153
Completed,0.52,28,452,0.81
Completed,0.6,96,3246,0.16
Completed,0.61,94,1304,0.009
Completed,0.52,31,2030,0.851
Completed,0.44,18,959,0.209
Completed,0.52,32,2762,0.713
Completed,0.64,104,3246,0.014
Completed,0.52,30,515,0.502
Completed,0.61,89,1817,0.148
Completed,0.52,38,4404,0.65
Completed,0.52,27,4992,0.404
Completed,0.52,28,1327,0.892
Completed,0.63,53,412,0.033
Completed,0.52,28,3309,0.546
Completed,0.52,33,640,0.488
Completed,0.52,34,3062,0.995
Completed,0.61,53,3585,0.293
Completed,0.52,28,2881,0.468
Completed,0.67,87,2774,0.001
Completed,0.6,104,5000,0.089
Completed,0.62,102,3001,0.001
Completed,0.59,44,2461,0.001
Completed,0.59,37,2312,0.001
Completed,0.61,39,2176,0.001
Completed,0.67,176,4774,0.001
Completed,0.67,190,4458,0.001
Completed,0.62,50,2529,0.001
Completed,0.6,91,2677,0.001
Completed,0.63,129,3267,0.001
Completed,0.67,183,4333,0.001
Completed,0.63,147,5000,0.047
Completed,0.61,51,5000,0.244
Completed,0.6,21,68,0.001
Completed,0.49,16,2804,0.19
Completed,0.58,99,5000,0.153
Completed,0.56,40,2359,0.001
Completed,0.69,81,2865,0.001
Completed,0.67,181,4873,0.001
Completed,0.58,81,2632,0.001
Completed,0.56,20,2336,0.292
Completed,0.57,31,2206,0.001
Completed,0.54,23,2248,0.223
Completed,0.64,30,128,0.001
Completed,0.64,33,2216,0.043
Completed,0.65,175,3708,0.001
Completed,0.61,134,5000,0.117
Completed,0.56,37,4742,0.349
Completed,0.64,137,5000,0.067
Completed,0.58,61,4743,0.303
Completed,0.64,192,5000,0.078
Completed,0.65,122,3462,0.001
Completed,0.63,184,5000,0.024
Completed,0.6,102,5000,0.134
Completed,0.58,88,5000,0.103
Completed,0.56,12,1,0.038
Completed,0.59,45,708,0.207
Completed,0.58,53,2368,0.137
Completed,0.66,222,3907,0.001
Completed,0.59,71,4968,0.182
Completed,0.52,27,4691,0.397
Completed,0.64,108,3118,0.001
Completed,0.67,174,5000,0.035
Completed,0.56,29,2292,0.062
Completed,0.54,27,2437,0.177
Completed,0.64,204,3595,0.001
Completed,0.61,96,4987,0.167
Completed,0.52,27,3938,0.999
Completed,0.52,28,475,0.999
Completed,0.57,47,2285,0.028
Completed,0.56,36,4822,0.325
Completed,0.59,27,809,0.254
Completed,0.58,62,4776,0.281
Completed,0.59,41,648,0.169
Completed,0.52,36,4614,0.999
Completed,0.63,175,5000,0.013
Completed,0.58,38,2431,0.079
Completed,0.59,37,2474,0.121
Completed,0.6,51,2430,0.05
Completed,0.65,156,5000,0.057
Completed,0.66,114,3074,0.001
Completed,0.59,77,2931,0.001
Completed,0.6,44,2393,0.023
Completed,0.53,12,1,0.062
Completed,0.6,43,2513,0.153
Completed,0.62,37,229,0.001
Completed,0.59,43,2439,0.094
Completed,0.66,129,3332,0.001
Completed,0.6,44,2504,0.07
Completed,0.45,22,2536,0.138
Completed,0.64,116,3170,0.001
Completed,0.57,31,2536,0.197
Completed,0.52,14,1,0.189
Completed,0.54,11,1,0.019
Completed,0.6,42,2442,0.108
Completed,0.65,83,2826,0.001
Completed,0.6,35,2422,0.038
Completed,0.65,212,5000,0.007
Completed,0.52,13,1,0.089
Completed,0.66,98,2705,0.001
Completed,0.63,109,3224,0.001
Completed,0.6,48,2418,0.058
Completed,0.64,45,2380,0.013
Completed,0.59,42,2514,0.167
Completed,0.6,42,2584,0.12
Completed,0.6,30,2289,0.106
Completed,0.65,139,3382,0.001
Completed,0.52,27,2405,0.999
Completed,0.58,46,2639,0.299
Completed,0.52,27,3565,0.999
Completed,0.52,28,1469,0.999
Completed,0.65,173,5000,0.041
Completed,0.66,174,5000,0.03
Completed,0.59,35,2933,0.241
Completed,0.56,31,2268,0.079
Completed,0.63,98,3038,0.001
Completed,0.57,59,4996,0.299
Completed,0.54,18,2300,0.144
Completed,0.56,36,5000,0.338
Completed,0.66,163,4960,0.052
Completed,0.56,36,3996,0.377
Completed,0.61,54,2477,0.001
Completed,0.64,179,5000,0.018
Completed,0.56,31,2359,0.186
Completed,0.6,39,1019,0.293
Completed,0.44,21,3008,0.17
Completed,0.52,34,4238,0.443
Completed,0.53,28,2492,0.333
Completed,0.64,33,170,0.001
Completed,0.52,22,2237,0.333
Completed,0.62,172,4984,0.084
Completed,0.52,31,2255,0.001
Completed,0.64,99,2966,0.001
Completed,0.53,29,3000,0.216
Completed,0.65,136,4961,0.073
Completed,0.64,142,5000,0.062
Completed,0.52,28,1033,0.523
Completed,0.55,39,998,0.376
Completed,0.54,28,2232,0.065
Completed,0.52,27,5000,0.63
Completed,0.59,36,2322,0.1
Completed,0.65,32,2193,0.025
Completed,0.52,28,618,0.722
Completed,0.52,20,39,0.001
Completed,0.59,31,2293,0.044
Completed,0.63,112,5000,0.096
Completed,0.65,118,3419,0.001
