Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.73,1,1226,0.972
Completed,0.73,2,549,0.174
Completed,0.73,1,3989,0.864
Completed,0.73,1,1,0.999
Completed,0.73,1,1,0.001
Completed,0.74,5,3854,0.003
Completed,0.73,2,524,0.583
Completed,0.73,2,1747,0.602
Completed,0.73,2,1416,0.226
Completed,0.73,2,2976,0.783
Completed,0.73,2,4794,0.331
Completed,0.73,2,730,0.647
Completed,0.73,2,156,0.441
Completed,0.73,2,4216,0.507
Completed,0.73,1,2418,0.311
Completed,0.73,2,2865,0.218
Completed,0.73,2,4991,0.67
Completed,0.73,2,3358,0.743
Completed,0.73,2,3882,0.135
Completed,0.73,1,448,0.825
Completed,0.73,2,1021,0.025
Completed,0.73,1,4462,0.965
Completed,0.73,2,2682,0.418
Completed,0.73,2,1300,0.775
Completed,0.73,2,1633,0.396
Completed,0.73,2,3652,0.117
Completed,0.73,1,2087,0.925
Completed,0.73,3,1878,0.078
Completed,0.73,1,3439,0.885
Completed,0.73,2,4320,0.496
Completed,0.73,2,255,0.562
Completed,0.73,3,4660,0.033
Completed,0.73,2,2273,0.001
Completed,0.74,4,1420,0.001
Completed,0.73,1,153,0.269
Completed,0.73,1,207,0.906
Completed,0.73,2,4884,0.614
Completed,0.73,2,4961,0.181
Completed,0.74,4,1994,0.001
Completed,0.73,2,4827,0.378
Completed,0.74,4,1268,0.001
Completed,0.73,1,181,0.499
Completed,0.73,2,4770,0.55
Completed,0.73,1,10,0.517
Completed,0.73,1,24,0.395
Completed,0.73,1,4940,0.883
Completed,0.73,3,2888,0.001
Completed,0.73,2,4908,0.767
Completed,0.73,1,184,0.135
Completed,0.73,1,109,0.738
Completed,0.74,5,3642,0.001
Completed,0.73,2,4991,0.708
Completed,0.73,1,4909,0.839
Completed,0.73,1,98,0.249
Completed,0.73,1,167,0.611
Completed,0.73,1,303,0.688
Completed,0.73,2,4967,0.572
Completed,0.73,1,71,0.483
Completed,0.72,2,265,0.042
Completed,0.72,2,74,0.03
Completed,0.73,3,4943,0.066
Completed,0.73,2,156,0.051
Completed,0.73,2,152,0.019
Completed,0.73,2,4995,0.047
Completed,0.73,2,2659,0.013
Completed,0.73,1,1,0.041
Completed,0.73,3,4259,0.072
Completed,0.72,2,45,0.012
Completed,0.73,3,379,0.001
Completed,0.73,2,44,0.021
Completed,0.73,1,90,0.364
Completed,0.73,3,4957,0.055
Completed,0.73,2,2967,0.349
Completed,0.73,1,9,0.055
Completed,0.73,4,3075,0.001
Completed,0.74,2,4985,0.04
Completed,0.73,2,3180,0.05
Completed,0.74,5,3478,0.001
Completed,0.73,2,184,0.001
Completed,0.74,4,5000,0.007
Completed,0.74,4,4993,0.013
Completed,0.73,3,4988,0.073
Completed,0.73,2,495,0.067
Completed,0.73,1,2876,0.845
Completed,0.73,2,2786,0.024
Completed,0.73,1,2368,0.491
Completed,0.72,2,302,0.064
Completed,0.73,2,4928,0.06
Completed,0.73,1,6,0.179
Completed,0.73,1,36,0.777
Completed,0.73,1,10,0.598
