Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.91,0,4614,0.032
Completed,0.91,0,105,0.56
Completed,0.91,0,165,0.032
Completed,0.91,0,4397,0.503
Completed,0.91,0,3747,0.402
Completed,0.91,0,1693,0.93
Completed,0.91,0,2148,0.342
Completed,0.91,0,2589,0.871
Completed,0.91,0,462,0.289
Completed,0.91,0,486,0.582
Completed,0.91,0,3500,0.783
Completed,0.91,0,4095,0.545
Completed,0.91,0,2407,0.452
Completed,0.91,0,1016,0.892
Completed,0.91,0,714,0.288
Completed,0.91,0,3199,0.396
Completed,0.91,0,3413,0.573
Completed,0.91,0,4980,0.755
Completed,0.91,0,3128,0.154
Completed,0.91,0,1432,0.685
Completed,0.91,0,2227,0.088
Completed,0.91,0,3036,0.62
Completed,0.91,0,3863,0.471
Completed,0.91,0,876,0.937
Completed,0.91,0,4265,0.225
Completed,0.91,0,1001,0.694
Completed,0.91,0,373,0.353
Completed,0.91,0,3628,0.634
Completed,0.91,0,4708,0.659
Completed,0.91,0,2309,0.517
Completed,0.91,0,2885,0.92
Completed,0.91,0,4712,0.55
Completed,0.91,0,2621,0.237
Completed,0.91,0,2458,0.534
Completed,0.91,0,1761,0.014
Completed,0.91,0,3161,0.718
Completed,0.91,0,4304,0.498
Completed,0.91,0,776,0.795
Completed,0.91,0,1196,0.158
Completed,0.91,0,3884,0.611
Completed,0.91,0,3658,0.329
Completed,0.91,0,1263,0.877
Completed,0.91,0,2018,0.42
Completed,0.91,0,3061,0.872
Completed,0.91,0,4400,0.091
Completed,0.91,0,525,0.64
Completed,0.91,0,392,0.109
Completed,0.91,0,4686,0.684
Completed,0.91,0,2861,0.405
Completed,0.91,0,2063,0.825
Completed,0.91,0,1533,0.347
Completed,0.91,0,3548,0.921
Completed,0.91,0,3908,0.143
Completed,0.91,0,1015,0.564
Completed,0.91,0,810,0.452
Completed,0.91,0,4113,0.779
Completed,0.91,0,3421,0.063
Completed,0.91,0,1661,0.731
Completed,0.91,0,2248,0.191
Completed,0.91,0,2676,0.517
Completed,0.91,0,4794,0.301
Completed,0.91,0,284,0.969
Completed,0.91,0,252,0.489
Completed,0.91,0,4825,0.788
Completed,0.91,0,2707,0.006
Completed,0.91,0,2216,0.709
Completed,0.91,0,1692,0.243
Completed,0.91,0,3388,0.543
Completed,0.91,0,4080,0.26
Completed,0.91,0,841,0.963
Completed,0.91,0,968,0.084
Completed,0.91,0,3954,0.631
Completed,0.91,0,3594,0.41
Completed,0.91,0,1486,0.866
Completed,0.91,0,2109,0.337
Completed,0.91,0,2814,0.884
Completed,0.91,0,4639,0.165
Completed,0.91,0,438,0.62
Completed,0.91,0,483,0.152
Completed,0.91,0,4441,0.57
Completed,0.91,0,3102,0.354
Completed,0.91,0,1976,0.93
Completed,0.91,0,1304,0.398
Completed,0.91,0,3616,0.816
Completed,0.91,0,3842,0.101
