Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.18,2673,3343,0.001
Completed,0.04,1069,1021,0.189
Completed,0.06,1385,4430,0.771
Completed,0.05,554,4294,0.02
Completed,0.04,1411,261,0.941
Completed,0.06,1406,1397,0.288
Completed,0.04,1462,2834,0.736
Completed,0.05,1529,2736,0.143
Completed,0.05,1382,1768,0.818
Completed,0.04,1528,320,0.41
Completed,0.06,1363,3884,0.612
Completed,0.06,1553,4997,0.366
Completed,0.04,1712,806,0.658
Completed,0.07,1437,1946,0.067
Completed,0.05,1189,3283,0.488
Completed,0.04,1005,2078,0.911
Completed,0.05,882,636,0.32
Completed,0.05,1346,4806,0.641
Completed,0.06,1043,4045,0.396
Completed,0.05,1618,501,0.565
Completed,0.06,1547,1627,0.158
Completed,0.04,1429,2614,0.866
Completed,0.05,1379,2985,0.273
Completed,0.05,1508,1529,0.688
Completed,0.03,1491,91,0.034
Completed,0.05,1608,4103,0.988
Completed,0.07,1436,4591,0.236
Completed,0.05,1400,1202,0.788
Completed,0.12,1718,4542,0.016
Completed,0.05,1634,5000,0.895
Completed,0.04,1748,2473,0.534
Completed,0.05,1239,3194,0.332
Completed,0.09,1770,4621,0.056
Completed,0.13,1981,4374,0.022
Completed,0.12,1948,4051,0.03
Completed,0.14,2226,4486,0.024
Completed,0.21,2772,4739,0.001
Completed,0.06,1464,4466,0.454
Completed,0.06,1617,4536,0.112
Completed,0.21,2764,4596,0.001
Completed,0.15,2021,4137,0.014
Completed,0.1,1666,3941,0.056
Completed,0.2,2743,5000,0.001
Completed,0.07,1406,4557,0.159
Completed,0.07,1556,4674,0.084
Completed,0.06,1630,4375,0.119
Completed,0.07,1992,4465,0.094
Completed,0.07,1666,4034,0.163
Completed,0.03,1445,2088,0.001
Completed,0.2,2876,4467,0.001
Completed,0.09,1624,4326,0.064
Completed,0.21,2674,1898,0.001
Completed,0.04,1227,2051,0.194
Completed,0.06,1381,3906,0.283
Completed,0.2,2748,4409,0.001
Completed,0.07,1419,2249,0.001
Completed,0.06,1445,4347,0.454
Completed,0.2,2924,4351,0.001
Completed,0.2,2929,4646,0.001
Completed,0.07,1465,4158,0.103
Completed,0.18,1974,2946,0.001
Completed,0.16,1679,517,0.001
Completed,0.05,919,22,0.231
Completed,0.04,692,89,0.999
Completed,0.05,1528,4943,0.864
Completed,0.05,1275,5000,0.521
Completed,0.17,1992,1334,0.001
Completed,0.04,895,4983,0.999
Completed,0.16,1880,3280,0.001
Completed,0.05,1666,4892,0.266
Completed,0.05,864,36,0.783
Completed,0.19,2570,3840,0.001
Completed,0.04,1125,45,0.282
Completed,0.05,1395,4983,0.723
Completed,0.16,1804,2633,0.001
Completed,0.05,1290,4980,0.794
Completed,0.1,1693,4975,0.047
Completed,0.05,203,1,0.198
Completed,0.05,1443,1785,0.999
Completed,0.15,2125,1628,0.001
Completed,0.03,363,49,0.849
Completed,0.05,479,1,0.001
Completed,0.07,1590,4994,0.307
Completed,0.17,2259,3575,0.001
Completed,0.04,852,4960,0.939
Completed,0.04,1403,66,0.706
Completed,0.04,1349,55,0.528
Completed,0.2,2772,4129,0.001
Completed,0.05,1156,4998,0.595
Completed,0.06,1194,4949,0.212
Completed,0.18,1917,789,0.001
Completed,0.04,596,14,0.015
Completed,0.19,2011,1123,0.001
Completed,0.08,1510,265,0.001
Completed,0.05,274,13,0.045
Completed,0.04,1450,221,0.16
Completed,0.1,1590,2364,0.001
Completed,0.05,1366,483,0.357
Completed,0.16,1730,667,0.001
Completed,0.04,1192,76,0.896
Completed,0.2,2152,976,0.001
Completed,0.17,2271,1422,0.001
Completed,0.16,1804,3149,0.001
Completed,0.2,2722,1756,0.001
