Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.52,15,1568,3998,3919,0.93,0.91,2.999,str('ks-test'),str('bounded'),1
Completed,0.52,745,3852,1869,727,0.677,0.452,2.193,str('t-test'),str('bounded'),2
Completed,0.52,781,2637,1420,3613,0.605,0.892,2.04,str('ks-test'),str('bounded'),2
Completed,0.52,770,4182,4167,625,0.703,0.011,1.021,str('ks-test'),str('bounded'),2
Failed,,,3667,1511,3200,0.102,0.923,9.298,str('t-test'),str('full'),3487
Failed,,,313,843,4106,0.378,0.048,4.403,str('t-test'),str('bounded'),2299
Failed,,,826,3233,2762,0.337,0.203,1.237,str('ks-test'),str('full'),4283
Failed,,,4943,562,686,0.871,0.534,7.937,str('t-test'),str('bounded'),1273
Failed,,,3087,3828,4932,0.185,0.826,5.043,str('ks-test'),str('bounded'),549
Failed,,,1432,2397,1621,0.65,0.41,3.344,str('t-test'),str('full'),2618
Failed,,,1577,2736,4444,0.796,0.946,4.289,str('ks-test'),str('full'),3891
Failed,,,2656,1042,1505,0.26,0.286,7.238,str('t-test'),str('bounded'),1820
Failed,,,4473,4580,2864,0.698,0.071,9.509,str('ks-test'),str('bounded'),2
Failed,,,1010,1625,1191,0.234,0.661,1.563,str('t-test'),str('full'),3009
Failed,,,432,4328,1948,0.052,0.588,2.85,str('ks-test'),str('bounded'),1028
Failed,,,3775,1970,4020,0.517,0.18,6.109,str('t-test'),str('full'),3410
Failed,,,3420,4296,2669,0.954,0.307,4.041,str('t-test'),str('bounded'),385
Failed,,,2350,1929,759,0.489,0.959,7.027,str('ks-test'),str('full'),2691
Failed,,,2498,3580,1381,0.141,0.016,5.77,str('t-test'),str('full'),1713
Failed,,,3296,275,4548,0.666,0.721,2.783,str('ks-test'),str('bounded'),4019
Failed,,,3171,3671,359,0.455,0.464,8.373,str('ks-test'),str('full'),4760
Failed,,,2286,53,3676,0.988,0.803,0.112,str('t-test'),str('bounded'),2064
Failed,,,2306,2548,622,0.255,0.728,3.267,str('t-test'),str('bounded'),190
Failed,,,3151,1156,3470,0.782,0.006,5.277,str('ks-test'),str('full'),2885
Failed,,,3795,4455,2153,0.221,0.352,8.014,str('t-test'),str('full'),4035
Failed,,,412,1823,3756,0.691,0.88,1.004,str('ks-test'),str('bounded'),1651
Failed,,,951,4141,3107,0.531,0.869,4.639,str('t-test'),str('full'),4885
Failed,,,4531,2084,965,0.058,0.398,6.337,str('ks-test'),str('bounded'),1876
Failed,,,2597,3546,4667,0.994,0.246,9.063,str('t-test'),str('bounded'),1196
Failed,,,1636,251,1260,0.468,0.522,2.366,str('ks-test'),str('full'),3265
Failed,,,1452,4893,4708,0.104,0.122,0.189,str('t-test'),str('full'),4495
Failed,,,3067,1314,1865,0.575,0.642,8.139,str('ks-test'),str('bounded'),2423
Failed,,,4963,3048,2518,0.387,0.996,6.032,str('t-test'),str('bounded'),649
Failed,,,807,728,911,0.915,0.266,3.083,str('ks-test'),str('full'),3655
Failed,,,254,3357,2223,0.861,0.483,1.327,str('t-test'),str('bounded'),424
Failed,,,4233,2860,2427,0.912,0.716,6.416,str('ks-test'),str('full'),4683
Failed,,,2647,945,1292,0.844,0.337,1.35,str('ks-test'),str('bounded'),17
Failed,,,3890,4836,4831,0.458,0.05,4.476,str('t-test'),str('bounded'),5
Failed,,,255,2329,796,0.563,0.884,9.22,str('ks-test'),str('bounded'),43
Failed,,,1002,4102,2057,0.685,0.845,5.871,str('t-test'),str('bounded'),11
Failed,,,1171,2877,2619,0.277,0.901,4.969,str('ks-test'),str('bounded'),42
Failed,,,4722,389,1758,0.639,0.035,8.815,str('t-test'),str('bounded'),6
Failed,,,3469,4142,4621,0.058,0.322,6.942,str('ks-test'),str('bounded'),19
Failed,,,2417,1655,1004,0.92,0.736,1.843,str('t-test'),str('bounded'),29
Failed,,,2439,3042,1432,0.551,0.065,0.082,str('ks-test'),str('bounded'),36
Failed,,,3574,530,2943,0.407,0.994,6.118,str('t-test'),str('bounded'),25
Failed,,,4818,4315,700,0.769,0.641,7.991,str('ks-test'),str('bounded'),12
Failed,,,1182,1803,4927,0.126,0.29,3.208,str('t-test'),str('bounded'),49
Failed,,,55,4873,3707,0.123,0.438,1.577,str('ks-test'),str('bounded'),5
