Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.55,42,3784,602,4104,0.867,0.965,0.3,str('ks-test'),str('bounded'),3
Completed,0.55,3344,491,4929,4854,0.828,0.289,3.23,str('ks-test'),str('bounded'),7
Completed,0.55,1,4974,3762,256,0.209,0.94,7.012,str('ks-test'),str('bounded'),1
Completed,0.55,1819,2223,4551,4448,0.258,0.596,7.775,str('t-test'),str('bounded'),6
Completed,0.55,3877,3335,4951,784,0.489,0.926,1.526,str('t-test'),str('bounded'),7
Completed,0.55,0,1021,4121,3345,0.588,0.226,6.827,str('t-test'),str('bounded'),1
Completed,0.55,500,526,356,247,0.463,0.246,3.738,str('t-test'),str('bounded'),4
Completed,0.55,197,3881,4444,2507,0.168,0.819,5.703,str('ks-test'),str('bounded'),4
Completed,0.55,722,3283,3011,2458,0.251,0.343,9.976,str('ks-test'),str('bounded'),5
Completed,0.55,46,3346,644,2981,0.658,0.116,7.307,str('ks-test'),str('bounded'),3
Completed,0.55,1491,4663,528,4071,0.5,0.735,8.235,str('ks-test'),str('bounded'),5
Completed,0.55,3503,530,4057,3675,0.639,0.808,7.644,str('ks-test'),str('bounded'),7
Completed,0.55,373,3758,4294,2339,0.621,0.731,1.397,str('ks-test'),str('bounded'),5
Completed,0.55,88,2327,4089,398,0.953,0.946,4.582,str('t-test'),str('bounded'),4
Completed,0.55,13988,3368,3852,4372,0.784,0.53,5.832,str('t-test'),str('bounded'),9
Completed,0.55,2,4875,4544,3649,0.619,0.689,4.549,str('ks-test'),str('bounded'),2
Completed,0.55,3413,2958,1032,3120,0.436,0.642,1.03,str('t-test'),str('bounded'),6
Completed,0.55,184,1990,112,3529,0.824,0.298,1.462,str('ks-test'),str('bounded'),3
Completed,0.55,14049,1930,4383,4766,0.7,0.839,0.437,str('t-test'),str('bounded'),9
Completed,0.55,20,4928,4061,2200,0.348,0.01,5.113,str('t-test'),str('bounded'),3
Completed,0.55,97,3628,4768,1102,0.561,0.637,9.186,str('t-test'),str('bounded'),4
Completed,0.55,357,289,4973,1788,0.893,0.914,7.417,str('ks-test'),str('bounded'),5
Completed,0.55,1,1470,3856,380,0.203,0.295,8.285,str('ks-test'),str('bounded'),1
Completed,0.55,3774,4175,4588,2814,0.845,0.623,3.665,str('ks-test'),str('bounded'),7
Completed,0.55,80,4830,3505,206,0.859,0.571,2.764,str('t-test'),str('bounded'),4
Completed,0.55,9271,3034,3389,3184,0.546,0.682,9.387,str('ks-test'),str('bounded'),8
Completed,0.55,1194,1255,3632,2059,0.715,0.857,0.637,str('ks-test'),str('bounded'),6
Completed,0.55,3475,4251,2260,3386,0.238,0.583,7.18,str('t-test'),str('bounded'),6
Completed,0.55,166,2166,2367,4038,0.344,0.859,8.797,str('ks-test'),str('bounded'),4
Completed,0.55,104,787,4845,1935,0.407,0.219,7.992,str('ks-test'),str('bounded'),4
Completed,0.55,7663,3110,4738,18,0.013,0.495,6.031,str('t-test'),str('bounded'),5
Completed,0.55,5021,1334,4512,3975,0.25,0.045,4.783,str('t-test'),str('bounded'),7
Completed,0.55,15,1523,4946,4466,0.524,0.132,3.999,str('ks-test'),str('bounded'),3
Completed,0.55,10252,4130,4116,2032,0.429,0.958,9.358,str('ks-test'),str('bounded'),8
Completed,0.55,227,1538,1405,36,0.432,0.419,1.337,str('ks-test'),str('bounded'),4
Completed,0.55,12960,679,1741,3314,0.224,0.343,5.812,str('t-test'),str('bounded'),7
Completed,0.55,1,3677,2317,835,0.823,0.513,1.136,str('t-test'),str('bounded'),1
Completed,0.55,4547,1884,2641,3244,0.556,0.423,8.252,str('ks-test'),str('bounded'),7
Completed,0.55,13780,3655,2877,2141,0.697,0.102,2.005,str('ks-test'),str('bounded'),8
Completed,0.55,424,4201,2768,3865,0.895,0.147,5.224,str('t-test'),str('bounded'),5
Completed,0.55,1275,1415,2494,4810,0.857,0.008,5.643,str('ks-test'),str('bounded'),6
Completed,0.55,4359,2873,2105,1205,0.904,0.455,4.395,str('ks-test'),str('bounded'),7
Completed,0.55,130,4983,2289,2927,0.688,0.285,7.756,str('t-test'),str('bounded'),4
Completed,0.55,175,2007,3739,1600,0.233,0.027,3.79,str('ks-test'),str('bounded'),4
Completed,0.55,15,690,2591,491,0.925,0.656,0.344,str('ks-test'),str('bounded'),3
Completed,0.55,12170,210,3157,4875,0.424,0.228,8.436,str('t-test'),str('bounded'),8
Completed,0.55,4945,4097,3553,978,0.316,0.311,2.187,str('t-test'),str('bounded'),7
Completed,0.55,3,4114,298,4205,0.718,0.022,4.515,str('t-test'),str('bounded'),1
Completed,0.55,253,4005,1443,3091,0.272,0.222,6.227,str('ks-test'),str('bounded'),4
Completed,0.55,4533,377,1378,3893,0.223,0.253,9.62,str('t-test'),str('bounded'),6
Completed,0.55,14,2992,2928,2699,0.857,0.602,6.478,str('ks-test'),str('bounded'),3
Completed,0.55,5765,4789,3746,4824,0.024,0.497,9.244,str('ks-test'),str('bounded'),5
Completed,0.55,1733,848,3454,3429,0.474,0.029,5.217,str('t-test'),str('bounded'),6
Completed,0.55,5086,1280,2333,3140,0.818,0.145,9.408,str('ks-test'),str('bounded'),7
Completed,0.55,2280,3950,1913,821,0.931,0.472,3.458,str('ks-test'),str('bounded'),6
Completed,0.55,131,401,2159,2198,0.571,0.004,1.941,str('t-test'),str('bounded'),4
Completed,0.55,83,2409,3957,3221,0.685,0.62,0.556,str('t-test'),str('bounded'),4
Completed,0.55,18,456,4392,4223,0.442,0.484,2.784,str('t-test'),str('bounded'),3
Completed,0.55,3371,911,4131,2283,0.924,0.729,8.096,str('ks-test'),str('bounded'),7
Completed,0.55,381,3225,3866,4954,0.827,0.901,4.029,str('ks-test'),str('bounded'),5
Completed,0.55,34,4806,975,1841,0.901,0.017,6.028,str('ks-test'),str('bounded'),3
Completed,0.55,2477,3009,541,676,0.222,0.878,8.251,str('ks-test'),str('bounded'),5
Completed,0.55,774,3738,3991,4054,0.228,0.788,3.493,str('t-test'),str('bounded'),5
Completed,0.55,142,159,3883,3368,0.318,0.503,0.611,str('ks-test'),str('bounded'),4
Completed,0.55,20,984,2679,713,0.553,0.044,7.574,str('ks-test'),str('bounded'),3
Completed,0.55,563,1843,3193,1726,0.328,0.937,5.335,str('ks-test'),str('bounded'),5
Completed,0.55,3096,2503,3362,23,0.186,0.593,8.818,str('t-test'),str('bounded'),6
Completed,0.55,2,4612,2624,2461,0.941,0.449,6.594,str('t-test'),str('bounded'),2
Completed,0.55,5535,2430,4425,374,0.018,0.869,7.886,str('t-test'),str('bounded'),5
Completed,0.55,1,321,3923,2187,0.852,0.234,5.027,str('t-test'),str('bounded'),1
Completed,0.55,5136,4842,4768,3016,0.233,0.51,3.809,str('t-test'),str('bounded'),7
Completed,0.55,82,3168,4648,1453,0.472,0.651,6.288,str('ks-test'),str('bounded'),4
Completed,0.55,569,1318,1188,3988,0.933,0.848,4.921,str('t-test'),str('bounded'),5
Completed,0.55,157,927,440,3457,0.193,0.236,2.053,str('t-test'),str('bounded'),3
Completed,0.55,14,4712,507,4562,0.304,0.267,3.659,str('ks-test'),str('bounded'),2
Completed,0.55,6606,3072,1011,2917,0.577,0.63,0.815,str('ks-test'),str('bounded'),7
Completed,0.55,1248,4729,2964,1274,0.683,0.248,1.693,str('ks-test'),str('bounded'),6
Completed,0.55,363,867,2986,475,0.821,0.28,2.594,str('t-test'),str('bounded'),5
Completed,0.55,679,1257,3487,1966,0.048,0.634,0.433,str('t-test'),str('bounded'),4
Completed,0.55,4,3145,1948,4433,0.609,0.865,8.364,str('ks-test'),str('bounded'),2
Completed,0.55,499,4201,4967,3702,0.323,0.307,6.794,str('t-test'),str('bounded'),5
Completed,0.55,0,3655,4144,3776,0.547,0.669,8.93,str('t-test'),str('bounded'),1
Completed,0.55,4131,1811,4548,1031,0.427,0.072,0.223,str('t-test'),str('bounded'),7
Completed,0.55,13,1980,4287,2973,0.939,0.825,5.535,str('ks-test'),str('bounded'),3
Completed,0.55,157,183,4710,4473,0.184,0.213,7.686,str('ks-test'),str('bounded'),4
Completed,0.55,6,2563,670,3313,0.798,0.924,5.912,str('t-test'),str('bounded'),2
Completed,0.55,36,1826,882,4706,0.69,0.581,9.941,str('ks-test'),str('bounded'),3
Completed,0.55,4435,967,147,2739,0.433,0.445,7.15,str('ks-test'),str('bounded'),5
Completed,0.55,78,4066,4185,201,0.973,0.056,4.142,str('t-test'),str('bounded'),4
Completed,0.55,30,3675,4924,2317,0.154,0.918,1.385,str('t-test'),str('bounded'),3
Completed,0.55,3264,2614,4057,4268,0.73,0.165,6.697,str('ks-test'),str('bounded'),7
Completed,0.55,1243,282,4242,1626,0.523,0.462,0.125,str('ks-test'),str('bounded'),6
Completed,0.55,5273,4590,2105,276,0.53,0.704,5.817,str('ks-test'),str('bounded'),7
Completed,0.55,1674,1900,2445,2644,0.72,0.906,2.372,str('ks-test'),str('bounded'),6
Completed,0.55,112,3732,2233,4339,0.766,0.563,3.344,str('t-test'),str('bounded'),4
Completed,0.55,14,4123,1721,3183,0.104,0.458,1.13,str('t-test'),str('bounded'),2
Completed,0.55,2168,1699,1602,215,0.501,0.107,6.303,str('ks-test'),str('bounded'),6
Completed,0.55,5207,4322,1341,2545,0.748,0.278,0.354,str('ks-test'),str('bounded'),7
Completed,0.55,345,1130,4806,4364,0.738,0.52,6.202,str('ks-test'),str('bounded'),5
Completed,0.55,3348,3485,4387,1683,0.509,0.848,2.134,str('ks-test'),str('bounded'),7
Completed,0.55,82,4524,4871,2620,0.756,0.987,9.685,str('t-test'),str('bounded'),4
Completed,0.55,1217,132,789,9,0.338,0.511,1.676,str('ks-test'),str('bounded'),5
Completed,0.55,458,2086,40,2437,0.531,0.406,3.891,str('ks-test'),str('bounded'),3
Completed,0.55,2,3527,262,738,0.954,0.126,0.42,str('t-test'),str('bounded'),1
Completed,0.55,432,2001,1664,950,0.078,0.657,9.818,str('ks-test'),str('bounded'),4
Completed,0.55,2684,3599,1764,2068,0.435,0.813,5.721,str('t-test'),str('bounded'),6
Completed,0.55,1,4146,2189,415,0.692,0.209,8.556,str('t-test'),str('bounded'),1
Completed,0.55,1218,1746,2725,4680,0.971,0.686,3.106,str('ks-test'),str('bounded'),6
Completed,0.55,128,2641,2580,3573,0.517,0.842,1.498,str('t-test'),str('bounded'),4
Completed,0.55,974,4532,628,1925,0.722,0.288,1.008,str('t-test'),str('bounded'),5
Completed,0.55,155,2579,201,594,0.404,0.674,3.154,str('t-test'),str('bounded'),3
Completed,0.55,2598,1061,928,1172,0.771,0.194,4.41,str('ks-test'),str('bounded'),6
Completed,0.55,14,1620,4773,400,0.782,0.127,0.64,str('ks-test'),str('bounded'),3
Completed,0.55,4697,2092,3906,3606,0.334,0.88,5.952,str('t-test'),str('bounded'),7
Completed,0.55,1651,4388,4091,975,0.417,0.739,1.876,str('t-test'),str('bounded'),6
Completed,0.55,54,3511,731,2853,0.374,0.374,8.021,str('t-test'),str('bounded'),3
Completed,0.55,1675,4371,298,4665,0.507,0.729,5.162,str('t-test'),str('bounded'),5
Completed,0.55,153,4309,2528,1375,0.387,0.756,9.484,str('t-test'),str('bounded'),4
Completed,0.55,359,3450,3344,1147,0.736,0.144,7.334,str('t-test'),str('bounded'),5
Completed,0.55,1253,2165,3211,1949,0.75,0.362,8.226,str('ks-test'),str('bounded'),6
Completed,0.55,3484,2804,2293,4487,0.344,0.139,0.61,str('t-test'),str('bounded'),6
Completed,0.55,290,1598,2384,3687,0.17,0.358,4.013,str('ks-test'),str('bounded'),4
Completed,0.55,3,1207,1570,3752,0.956,0.744,1.867,str('ks-test'),str('bounded'),2
Completed,0.55,2,4291,3310,4720,0.788,0.507,2.076,str('t-test'),str('bounded'),2
Completed,0.55,6645,3587,2564,2763,0.093,0.394,4.857,str('t-test'),str('bounded'),6
Completed,0.55,128,2069,2741,4142,0.419,0.113,0.841,str('ks-test'),str('bounded'),4
Completed,0.55,14,116,3243,3298,0.708,0.975,3.596,str('ks-test'),str('bounded'),3
Completed,0.55,129,2670,1825,1612,0.987,0.388,7.831,str('t-test'),str('bounded'),4
Completed,0.55,691,1482,4017,3115,0.237,0.179,3.29,str('t-test'),str('bounded'),5
Completed,0.55,10,625,346,2723,0.635,0.559,4.319,str('t-test'),str('bounded'),2
Completed,0.55,360,2865,4586,2222,0.918,0.086,9.803,str('ks-test'),str('bounded'),5
Completed,0.55,87,1503,4486,796,0.592,0.429,5.777,str('t-test'),str('bounded'),4
Completed,0.55,4,1558,2109,2502,0.455,0.091,8.954,str('t-test'),str('bounded'),2
Completed,0.55,133,699,1283,4939,0.668,0.952,6.73,str('t-test'),str('bounded'),4
Completed,0.55,1946,4953,1539,3236,0.837,0.546,7.712,str('ks-test'),str('bounded'),6
Completed,0.55,5048,2309,1726,877,0.911,0.842,4.267,str('ks-test'),str('bounded'),7
Completed,0.55,2576,564,3125,700,0.256,0.952,0.954,str('t-test'),str('bounded'),6
Completed,0.55,819,3801,2825,2396,0.239,0.547,4.427,str('ks-test'),str('bounded'),5
Completed,0.55,82,3411,3649,127,0.888,0.411,2.198,str('ks-test'),str('bounded'),4
Completed,0.55,309,1229,4337,2044,0.087,0.77,3.484,str('ks-test'),str('bounded'),4
Completed,0.55,446,3312,327,1411,0.077,0.567,4.677,str('ks-test'),str('bounded'),3
Completed,0.55,530,3859,1150,1033,0.804,0.454,2.453,str('ks-test'),str('bounded'),5
