Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Completed,0.32,2499,814,1367,1,0.083,0.9
Completed,0.32,2700,234,730,10,0.088,0.3
Failed,,,1980,3024,2251,0.638,0.0
Failed,,,3098,4321,4358,0.8,0.1
Failed,,,2103,2468,1246,0.439,0.0
Failed,,,687,2915,2762,0.67,0.0
Failed,,,4183,1062,2143,0.091,0.8
Failed,,,3905,4962,3103,0.434,0.0
Failed,,,2801,419,869,0.706,0.0
Failed,,,1830,929,3747,0.165,0.01
Failed,,,379,1180,806,0.353,0.0
Failed,,,4593,4619,3011,0.868,0.5
Failed,,,3173,2448,1967,0.116,0.01
Failed,,,1762,3389,4213,0.601,0.0
Failed,,,2215,1598,3696,0.675,0.0
Failed,,,2678,2538,277,0.159,0.3
Failed,,,3757,328,4701,0.918,0.8
Failed,,,1096,3769,1323,0.435,0.0
Failed,,,2037,1571,3592,0.235,0.0
Failed,,,2201,4030,669,0.308,0.4
Failed,,,3820,282,3384,0.53,0.0
Failed,,,2606,3202,1451,0.141,0.7
Failed,,,1061,1949,3853,0.925,0.0
Failed,,,471,2536,2604,0.764,0.9
Failed,,,3345,1289,201,0.043,0.2
Failed,,,4645,4619,4635,0.66,0.001
Failed,,,1855,867,1920,0.375,0.0
Failed,,,1633,4511,3254,0.997,0.0
Failed,,,4390,759,813,0.213,0.9
Failed,,,3250,2722,4036,0.585,0.0
Failed,,,420,1475,1282,0.362,0.01
Failed,,,1155,3310,38,0.447,0.0
Failed,,,2657,2057,2792,0.732,0.1
Failed,,,4189,1776,4927,0.416,0.01
Failed,,,4232,3595,1568,0.688,0.0
Failed,,,2851,805,3414,0.453,0.0
Failed,,,2064,4864,583,0.966,0.1
Failed,,,1306,112,2332,0.76,0.4
Failed,,,3645,4173,3834,0.277,0.0
Failed,,,4763,1343,1149,0.52,0.001
Failed,,,227,2902,2692,0.006,0.9
Failed,,,77,1457,1812,0.879,0.0
Failed,,,4916,3022,4681,0.396,0.01
Failed,,,3495,226,336,0.651,0.5
Failed,,,1458,4292,3169,0.137,0.0
Failed,,,1911,763,3921,0.094,0.0
Failed,,,3000,4827,2415,0.577,0.8
Failed,,,4080,1993,2602,0.315,0.2
Failed,,,794,3558,1059,0.828,0.0
Failed,,,946,604,2947,0.56,0.2
Failed,,,3910,4039,738,0.044,0.0
Failed,,,2528,1874,4284,0.784,0.0
Failed,,,2366,2808,2038,0.3,0.7
Failed,,,1609,2255,56,0.476,0.9
Failed,,,3322,3191,3473,0.99,0.001
Failed,,,4441,986,1549,0.243,0.0
Failed,,,530,4421,4929,0.728,0.3
Failed,,,617,2390,3329,0.821,0.0
Failed,,,4528,3330,497,0.337,0.8
Failed,,,3409,1160,4530,0.584,0.3
Failed,,,1695,4599,1661,0.071,0.0
Failed,,,2456,464,1220,0.145,0.0
Failed,,,2617,3905,2763,0.627,0.01
Failed,,,3999,1695,2264,0.388,0.5
Failed,,,1035,2635,3769,0.903,0.0
Failed,,,2305,1119,1627,0.468,0.01
Failed,,,2779,4559,4382,0.951,0.0
Failed,,,3888,2350,603,0.19,0.0
Failed,,,1237,3289,3394,0.703,0.5
Failed,,,777,13,258,0.934,0.0
Failed,,,4375,4073,3716,0.418,0.9
Failed,,,2944,1282,1265,0.659,0.4
Failed,,,2168,2843,4759,0.175,0.0
Failed,,,1358,2134,2992,0.101,0.0
Failed,,,3707,3693,825,0.616,0.1
Failed,,,4777,864,4156,0.368,0.6
Failed,,,250,4924,2025,0.853,0.0
Failed,,,92,666,3492,0.228,0.2
Failed,,,4941,4732,36,0.743,0.0
Failed,,,3550,1936,4988,0.49,0.0
Failed,,,1524,3501,1490,0.975,0.7
Failed,,,2003,1554,758,0.8,0.6
Failed,,,3102,3119,2927,0.284,0.0
Failed,,,4210,285,2097,0.544,0.0
Failed,,,933,4349,4224,0.06,0.01
Failed,,,1079,2313,2358,0.33,0.0
Failed,,,4052,3248,3979,0.812,0.4
Failed,,,2622,1082,1040,0.079,0.8
Failed,,,2471,4518,2620,0.592,0.001
Failed,,,1661,547,4623,0.635,0.0
Failed,,,3385,3982,1870,0.153,0.7
Failed,,,4454,1777,3150,0.894,0.2
Failed,,,553,2713,355,0.38,0.0
Failed,,,486,369,1329,0.037,0.5
Failed,,,4387,3808,4827,0.552,0.0
Failed,,,3318,1638,187,0.308,0.0
Failed,,,1594,2578,3644,0.792,0.01
Failed,,,2401,2487,4063,0.998,0.3
Failed,,,2553,3426,1936,0.483,0.0
Failed,,,3983,1217,3078,0.72,0.0
