Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,1994,2256,70,0.53,0.0
Failed,,,3626,2681,3212,0.18,0.1
Failed,,,4389,871,2384,0.952,0.5
Failed,,,1236,4195,4336,0.369,0.0
Failed,,,154,607,3095,0.47,0.0
Failed,,,4228,4478,1124,0.82,0.9
Failed,,,2525,1269,4530,0.047,0.4
Failed,,,1852,3648,1252,0.631,0.001
Failed,,,1290,1127,4903,0.8,0.1
Failed,,,3078,3827,1817,0.404,0.0
Failed,,,3841,1999,2567,0.744,0.0
Failed,,,531,3050,715,0.082,0.6
Failed,,,703,1677,2015,0.2,0.7
Failed,,,4932,3430,3768,0.596,0.0
Failed,,,3998,1177,116,0.098,0.0
Failed,,,374,3877,3166,0.697,0.7
Failed,,,3682,2496,547,0.36,0.0
Failed,,,2624,4023,2217,0.461,0.0
Failed,,,2124,1555,3033,0.699,0.0
Failed,,,1010,2843,1250,0.218,0.0
Failed,,,4245,389,4176,0.939,0.8
Failed,,,4157,3025,1866,0.281,0.1
Failed,,,1215,484,3550,0.504,0.7
Failed,,,1899,3880,333,0.023,0.0
Failed,,,2731,1344,4907,0.759,0.0
Failed,,,3458,4824,2846,0.919,0.5
Failed,,,1797,2278,2414,0.174,0.0
Failed,,,96,3331,4360,0.66,0.0
Failed,,,4651,800,1036,0.43,0.01
Failed,,,4717,4299,3882,0.23,0.0
Failed,,,538,1845,870,0.99,0.0
Failed,,,2904,3443,167,0.587,0.7
Failed,,,1556,4475,1615,0.526,0.0
Failed,,,1818,1699,3899,0.773,0.01
Failed,,,2620,3243,1533,0.25,0.0
Failed,,,4164,806,3098,0.622,0.0
Failed,,,274,4262,459,0.402,0.6
Failed,,,1025,171,1957,0.306,0.8
Failed,,,4676,4917,4645,0.718,0.0
Failed,,,3679,2334,1195,0.091,0.0
Failed,,,2022,2587,3531,0.933,0.4
Failed,,,2130,2431,1380,0.452,0.0
Failed,,,3559,2803,4049,0.541,0.5
Failed,,,4476,73,619,0.168,0.1
Failed,,,1212,4702,2936,0.825,0.001
Failed,,,88,669,4475,0.982,0.0
Failed,,,4362,4087,2129,0.01,0.3
Failed,,,2742,1836,3674,0.635,0.8
Failed,,,1709,3417,1054,0.358,0.0
Failed,,,1365,569,3141,0.109,0.7
Failed,,,3105,4650,804,0.883,0.0
Failed,,,4024,1931,4879,0.26,0.0
Failed,,,446,2849,2191,0.732,0.01
Failed,,,872,1316,68,0.576,0.4
Failed,,,4836,3444,2707,0.416,0.0
Failed,,,3214,1184,1768,0.791,0.0
Failed,,,2494,4056,4133,0.201,0.8
Failed,,,2351,1519,2983,0.373,0.0
Failed,,,3193,3725,339,0.651,0.2
Failed,,,4697,986,3783,0.026,0.9
Failed,,,847,3779,1412,0.997,0.0
Failed,,,336,391,1154,0.841,0.0
Failed,,,3946,4394,3496,0.183,0.5
Failed,,,2990,2114,1917,0.556,0.1
Failed,,,1293,3110,4610,0.468,0.001
Failed,,,683,4449,1227,0.693,0.9
Failed,,,480,963,1516,0.599,0.5
Failed,,,3822,3796,3838,0.378,0.0
Failed,,,2826,1535,403,0.751,0.001
Failed,,,1476,3702,3076,0.226,0.2
Failed,,,1742,282,163,0.474,0.0
Failed,,,2541,4949,2533,0.502,0.3
Failed,,,4083,2220,1588,0.127,0.8
Failed,,,199,2553,4232,0.849,0.0
Failed,,,945,1566,3359,0.942,0.0
Failed,,,4599,3187,666,0.035,0.6
Failed,,,3604,936,4746,0.658,0.01
Failed,,,1940,4316,2405,0.319,0.0
Failed,,,3943,1139,1057,0.991,0.4
Failed,,,371,3931,3750,0.017,0.0
Failed,,,792,543,3998,0.176,0.0
Failed,,,4759,4547,1354,0.832,0.01
Failed,,,3138,1954,2923,0.46,0.7
Failed,,,2413,2950,552,0.548,0.0
Failed,,,2432,413,1709,0.875,0.2
Failed,,,3269,4496,4348,0.102,0.001
Failed,,,4773,2089,284,0.722,0.0
Failed,,,927,3006,2649,0.254,0.5
Failed,,,1654,2272,3460,0.531,0.0
Failed,,,2804,2643,1114,0.445,0.01
Failed,,,4307,225,4533,0.817,0.6
Failed,,,150,4855,1914,0.16,0.0
Failed,,,1209,822,365,0.002,0.0
Failed,,,4512,4239,3033,0.975,0.8
Failed,,,3555,1676,1479,0.348,0.4
Failed,,,2165,3258,3796,0.629,0.0
Failed,,,1967,1852,941,0.241,0.6
Failed,,,3741,3395,3629,0.767,0.0
Failed,,,4621,645,2054,0.394,0.001
Failed,,,1087,4103,4390,0.614,0.1
Failed,,,271,11,2883,0.709,0.3
Failed,,,4199,4757,517,0.299,0.0
Failed,,,2617,2486,3958,0.923,0.0
Failed,,,1853,2741,1318,0.085,0.9
Failed,,,2941,2247,2675,0.31,0.0
Failed,,,1517,2502,22,0.713,0.5
Failed,,,1857,1014,2894,0.962,0.0
Failed,,,2581,3769,582,0.062,0.8
Failed,,,4203,1488,4007,0.685,0.3
Failed,,,235,3734,1343,0.339,0.0
Failed,,,3520,4579,3067,0.727,0.0
Failed,,,4515,2006,1487,0.106,0.0
Failed,,,1173,2923,3867,0.887,0.9
Failed,,,127,1390,3568,0.796,0.5
Failed,,,4323,3519,1236,0.197,0.0
Failed,,,2781,1112,4682,0.574,0.0
Failed,,,1670,3983,1998,0.418,0.1
Failed,,,1404,2345,4756,0.172,0.0
Failed,,,3066,2715,2395,0.82,0.4
Failed,,,4063,152,3330,0.449,0.7
Failed,,,407,4782,696,0.543,0.0
Failed,,,912,748,1579,0.64,0.0
Failed,,,4797,4166,4242,0.352,0.7
Failed,,,3253,1749,191,0.979,0.01
Failed,,,2455,3332,2504,0.013,0.0
Failed,,,1400,620,1005,0.329,0.0
Failed,,,2512,3994,4077,0.798,0.01
Failed,,,587,1191,1576,0.862,0.9
Failed,,,4244,4672,3505,0.269,0.0
Failed,,,4351,2269,4322,0.242,0.4
Failed,,,500,3279,1222,0.647,0.0
Failed,,,1694,1027,3321,0.425,0.0
Failed,,,2843,4518,1441,0.954,0.7
Failed,,,3501,13,390,0.786,0.6
Failed,,,2266,4129,4692,0.317,0.0
Failed,,,1158,1251,1968,0.595,0.0
Failed,,,4923,2887,2646,0.002,0.01
Failed,,,3909,3830,823,0.486,0.0
Failed,,,3789,545,2992,0.59,0.8
Failed,,,133,3910,2401,0.061,0.0
Failed,,,2789,2668,267,0.369,0.3
Failed,,,3369,2176,1712,0.39,0.01
Failed,,,2095,3685,3523,0.983,0.0
Failed,,,713,934,642,0.199,0.0
Failed,,,4440,4923,3811,0.668,0.7
Failed,,,4802,1488,1021,0.919,0.0
Failed,,,994,3123,4210,0.45,0.9
Failed,,,2458,245,1310,0.728,0.2
Failed,,,3651,4362,3141,0.134,0.001
Failed,,,2760,1892,4404,0.975,0.5
Failed,,,1454,3498,54,0.382,0.0
Failed,,,104,635,2935,0.66,0.0
Failed,,,3799,4761,2305,0.191,0.2
Failed,,,3978,866,3883,0.858,0.0
Failed,,,246,4992,724,0.265,0.8
Failed,,,1322,2129,3468,0.543,0.4
Failed,,,2591,3735,1608,0.074,0.0
Failed,,,3246,1735,166,0.185,0.0
Failed,,,1897,2717,4605,0.715,0.01
Failed,,,902,478,2485,0.494,0.6
Failed,,,4553,3980,3067,0.898,0.0
Failed,,,4991,2414,2103,0.654,0.9
Failed,,,1109,3288,2665,0.25,0.0
Failed,,,2335,1158,565,0.962,0.001
Failed,,,3452,4551,4983,0.433,0.3
Failed,,,2852,295,3224,0.325,0.1
Failed,,,1664,4314,1384,0.794,0.0
Failed,,,509,1558,4109,0.009,0.0
Failed,,,4321,3057,969,0.603,0.5
Failed,,,4273,145,1870,0.886,0.0
Failed,,,577,4154,3682,0.482,0.1
Failed,,,1616,1402,801,0.695,0.6
Failed,,,2920,2891,3970,0.166,0.0
Failed,,,3290,551,4168,0.739,0.0
Failed,,,3307,3261,1399,0.213,0.3
Failed,,,2212,526,4376,0.02,0.0
Failed,,,3556,3929,75,0.611,0.9
Failed,,,2905,914,1758,0.631,0.6
Failed,,,1632,4942,3638,0.224,0.0
Failed,,,561,2157,913,0.938,0.0
Failed,,,4288,3705,4014,0.407,0.1
Failed,,,3264,4416,3022,0.642,0.2
Failed,,,2611,117,3761,0.6,0.3
Failed,,,1301,4185,690,0.008,0.001
Failed,,,267,1355,3590,0.783,0.0
Failed,,,3958,2941,1642,0.316,0.8
Failed,,,3814,1435,4517,0.732,0.0
Failed,,,87,3023,98,0.141,0.01
Failed,,,1471,192,2823,0.915,0.7
Failed,,,2744,4260,2261,0.448,0.0
Failed,,,3414,1211,812,0.31,0.0
Failed,,,2071,4653,3952,0.841,0.8
Failed,,,757,2448,1852,0.119,0.4
Failed,,,4414,3410,3693,0.525,0.0
Failed,,,4833,601,1452,0.781,0.1
Failed,,,945,4014,3313,0.374,0.0
Failed,,,2489,1838,1193,0.589,0.0
Failed,,,3601,2771,4353,0.058,0.5
Failed,,,3026,2076,2596,0.201,0.9
Failed,,,1833,3633,2015,0.668,0.0
Failed,,,370,832,4759,0.384,0.0
Failed,,,4178,4870,321,0.976,0.2
Failed,,,341,3805,615,0.773,0.0
Failed,,,1843,1595,2734,0.051,0.0
Failed,,,2996,2547,2036,0.582,0.1
Failed,,,3669,1984,977,0.66,0.4
Failed,,,2440,3561,4097,0.193,0.0
Failed,,,1013,726,1353,0.968,0.0
Failed,,,4784,4822,3253,0.376,0.7
Failed,,,2620,4642,867,0.243,0.7
Failed,,,3215,202,2313,0.016,0.8
Failed,,,1947,4250,2923,0.607,0.0
Failed,,,872,1463,24,0.324,0.0
Failed,,,3478,3641,2524,0.26,0.0
Failed,,,2955,3880,3539,0.027,0.4
Failed,,,3546,654,4670,0.232,0.01
Failed,,,2241,4741,252,0.638,0.0
Failed,,,1202,1912,2976,0.415,0.0
Failed,,,4897,3479,2415,0.946,0.6
Failed,,,4613,43,2750,0.703,0.0
Failed,,,843,4101,2169,0.171,0.9
Failed,,,1956,1301,4913,0.886,0.3
Failed,,,3186,2839,475,0.48,0.001
Failed,,,2533,2319,1299,0.279,0.0
Failed,,,1379,3232,3159,0.87,0.2
Failed,,,190,1057,1039,0.088,0.5
Failed,,,4036,4490,4199,0.555,0.0
Failed,,,3892,1137,1988,0.396,0.3
Failed,,,10,4570,2618,0.988,0.0
Failed,,,1549,2395,362,0.205,0.0
Failed,,,2667,3308,4712,0.672,0.8
Failed,,,3337,1537,3349,0.57,0.7
Failed,,,3090,3952,1687,0.233,0.0
Failed,,,856,56,1236,0.99,0.3
Failed,,,4627,4084,4308,0.398,0.0
Failed,,,4893,1900,857,0.143,0.1
Failed,,,3492,2056,4091,0.579,0.0
Failed,,,2304,3643,991,0.048,0.1
Failed,,,4961,4887,1367,0.364,0.0
Failed,,,4598,1446,3490,0.112,0.8
Failed,,,867,3004,1590,0.519,0.0
Failed,,,1942,209,3866,0.303,0.001
Failed,,,3211,4247,746,0.834,0.3
Failed,,,292,2465,222,0.723,0.0
Failed,,,3942,3397,4543,0.131,0.5
Failed,,,3751,2227,1791,0.789,0.0
Failed,,,142,3160,3603,0.322,0.4
Failed,,,1407,990,878,0.606,0.8
Failed,,,2797,4403,4047,0.014,0.0
