Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.55,1,139,1421,1222,False
Completed,0.55,0,5000,3220,154,False
Completed,0.55,0,1,3325,728,False
Completed,0.55,0,648,931,1751,True
Completed,0.55,0,327,2622,1078,True
Completed,0.55,1,4220,368,3140,False
Completed,0.55,0,4628,4074,2764,True
Completed,0.55,0,3701,3404,3139,True
Completed,0.55,0,2673,2134,3894,True
Completed,0.55,0,991,2729,1747,False
Completed,0.55,0,2126,533,2507,True
Completed,0.55,0,4193,4956,595,False
Completed,0.55,1,3760,1644,2986,False
Completed,0.55,0,2385,3490,134,True
Completed,0.55,1,712,668,4373,False
Completed,0.55,0,3087,3841,1286,True
Completed,0.55,0,3353,153,747,True
Completed,0.55,1,1691,1056,385,False
Completed,0.55,0,175,3253,3956,True
Completed,0.55,0,3716,4229,2241,True
Completed,0.55,1,2324,1496,4476,False
Completed,0.55,0,2348,4217,418,True
Completed,0.55,1,3449,1310,2559,False
Completed,0.55,0,4195,2689,1582,True
Completed,0.55,1,596,573,3895,False
Completed,0.55,0,937,3533,3319,False
Completed,0.55,0,589,295,1486,True
Completed,0.55,0,1257,3118,2915,False
Completed,0.55,0,4888,2365,216,True
Completed,0.55,0,4803,2957,4982,False
Completed,0.55,0,1558,2224,1900,True
Completed,0.55,0,3209,4563,4107,False
Completed,0.55,0,1,2947,995,True
Completed,0.55,0,5000,2879,768,True
Completed,0.55,0,1,501,1,True
Completed,0.55,0,1,1784,1,True
Completed,0.55,0,1,4459,1116,False
Completed,0.55,0,5000,4294,5000,False
Completed,0.55,0,1,2634,5000,True
Completed,0.55,0,5000,5000,3782,False
Completed,0.55,0,1,1178,3664,True
Completed,0.55,0,1,1,1058,False
Completed,0.55,1,5000,525,1,True
Completed,0.55,0,5000,2003,5000,True
Completed,0.55,0,1,3516,4351,False
Completed,0.55,1,5000,1711,5000,False
Completed,0.55,0,5000,2885,1,True
Completed,0.55,0,5000,4584,1,True
Completed,0.55,0,1,4552,1,True
Completed,0.55,0,1,2710,2930,True
Completed,0.55,0,5000,1,1,False
Completed,0.55,0,5000,3931,1,True
Completed,0.55,0,1,3993,5000,False
Completed,0.55,0,1,2854,1992,True
Completed,0.55,0,1,5000,3676,False
Completed,0.55,0,5000,4531,877,False
Completed,0.55,0,1,2905,1,True
Completed,0.55,0,1,1765,5000,False
Completed,0.55,0,3571,589,5000,True
Completed,0.55,0,344,1974,1,False
Completed,0.55,1,3585,703,1,True
Completed,0.55,0,1,1962,5000,False
Completed,0.55,0,4259,1,1,True
Completed,0.55,0,1544,2077,5000,False
Completed,0.55,0,3837,1011,5000,True
Completed,0.55,0,4651,2439,5000,False
Completed,0.55,0,3627,5000,1,True
Completed,0.55,0,5000,2418,1,False
Completed,0.55,0,2005,5000,5000,True
Completed,0.55,0,3598,1,1,False
Completed,0.56,1,5000,477,1,False
Completed,0.55,0,1332,4638,5000,True
Completed,0.55,0,1618,2131,1,False
Completed,0.55,0,1016,5000,1,True
Completed,0.55,0,3682,3842,1,False
Completed,0.55,0,3842,1068,1,True
Completed,0.55,0,4247,1,5000,True
Completed,0.55,0,5000,3383,1,True
Completed,0.55,0,1,3708,5000,True
Completed,0.55,0,3573,3165,1,False
Completed,0.55,0,1787,1,5000,False
Completed,0.55,0,1458,1084,5000,True
Completed,0.55,0,1964,4173,5000,False
Completed,0.55,0,2935,3453,5000,False
Completed,0.55,0,3739,4774,5000,True
Completed,0.55,0,3792,3627,5000,False
Completed,0.55,0,1812,4591,1,True
Completed,0.55,0,1905,4115,1,False
Completed,0.55,1,5000,272,5000,False
Completed,0.55,1,5000,157,5000,False
Completed,0.55,1,5000,382,5000,False
Completed,0.55,0,823,520,5000,True
Completed,0.55,1,1466,132,5000,False
Completed,0.55,1,5000,215,5000,False
Completed,0.55,0,5000,83,5000,False
Completed,0.55,1,1989,234,5000,False
Completed,0.55,1,5000,321,5000,False
Completed,0.58,4,5000,129,1,False
Completed,0.55,1,3077,274,5000,False
Completed,0.55,1,1,236,5000,False
Completed,0.55,0,1,90,5000,False
Completed,0.57,3,5000,196,1,False
Completed,0.55,1,5000,185,5000,False
Completed,0.57,2,5000,286,1,False
Completed,0.55,0,5000,122,5000,False
Completed,0.58,2,5000,237,1,False
Completed,0.55,0,1,645,5000,True
Completed,0.55,1,5000,421,5000,False
Completed,0.57,2,1267,204,1,False
Completed,0.57,4,1354,93,1,False
Completed,0.55,1,5000,297,5000,False
Completed,0.55,0,5000,44,5000,False
Completed,0.55,1,2538,254,5000,False
Completed,0.56,5,5000,89,1,False
Completed,0.55,0,1565,464,5000,True
Completed,0.58,2,1590,237,1,False
Completed,0.57,3,5000,165,1,False
Completed,0.55,1,3410,299,5000,False
Completed,0.55,0,1,334,1,False
Completed,0.55,0,1,1561,5000,True
Completed,0.55,0,174,4303,1,True
Completed,0.55,0,2058,530,1,False
Completed,0.55,0,1,1759,5000,True
Completed,0.55,0,1,426,1,False
Completed,0.55,0,4804,3011,5000,True
Completed,0.55,0,4487,2393,5000,True
Completed,0.55,0,5000,3148,1,True
Completed,0.55,1,1,308,1633,False
Completed,0.55,0,1961,2580,1,True
Completed,0.55,0,1,297,1,False
Completed,0.55,0,157,4419,5000,True
Completed,0.55,0,1,4791,1,True
Completed,0.55,0,2162,1458,1,True
Completed,0.55,0,3,3934,5000,True
Completed,0.55,0,1425,2046,1,True
Completed,0.55,0,1,498,1,False
Completed,0.55,0,1,376,1,False
Completed,0.55,0,2141,1457,5000,True
Completed,0.55,0,1,1664,5000,True
Completed,0.56,1,5000,622,1,False
Completed,0.55,0,3692,3261,5000,False
Completed,0.55,0,5000,2863,5000,True
Completed,0.55,0,1,2704,5000,False
Completed,0.55,0,3719,1486,2067,True
Completed,0.55,1,1,1137,5000,False
Completed,0.55,0,883,180,5000,True
Completed,0.55,0,1,264,1,False
Completed,0.55,0,532,4410,1477,True
Completed,0.55,0,1335,1,1,True
Completed,0.56,1,1123,742,1,False
Completed,0.55,1,1078,1203,1,False
Completed,0.55,1,1148,685,1,True
Completed,0.56,1,1151,452,1,False
Completed,0.55,1,1095,951,1,False
Completed,0.55,0,998,5000,1,False
Completed,0.55,0,1021,1,1,True
Completed,0.55,0,2693,5000,1,False
Completed,0.55,0,1309,1,1704,True
Completed,0.55,1,1034,1505,1,False
Completed,0.55,0,1260,1,1,False
Completed,0.57,1,1168,299,1,False
Completed,0.55,0,1529,1,1,True
Completed,0.55,0,790,5000,5000,False
Completed,0.55,0,2884,5000,5000,True
Completed,0.55,0,912,1932,1,False
Completed,0.55,0,1138,1172,1,True
Completed,0.56,1,1139,601,1,False
Completed,0.55,0,2904,1,5000,True
Completed,0.55,0,2693,5000,1,True
Completed,0.56,1,1246,372,1,True
Completed,0.55,0,1638,3182,5000,True
Completed,0.55,0,1074,1,1,False
Completed,0.55,0,5000,5000,1,False
Completed,0.55,0,1260,1,2584,True
Completed,0.55,0,4168,5000,5000,False
Completed,0.55,0,1313,5000,5000,False
Completed,0.55,0,1218,1,1,True
