Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.91,0,2857,484,3558,False
Completed,0.91,0,1422,2997,657,True
Completed,0.91,0,2481,645,1719,True
Completed,0.91,0,3233,3142,3756,False
Completed,0.91,0,5000,1,1,True
Completed,0.91,0,1,5000,5000,False
Completed,0.91,0,4281,4700,2219,False
Completed,0.91,0,1108,4817,151,True
Completed,0.91,0,844,1134,2706,True
Completed,0.91,0,4721,3669,571,False
Completed,0.91,0,2692,1742,4191,True
Completed,0.91,0,1628,4238,1273,False
Completed,0.91,0,1965,1887,1080,False
Completed,0.91,0,3713,4400,3145,True
Completed,0.91,0,3877,74,2097,False
Completed,0.91,0,303,1540,2222,True
Completed,0.91,0,4877,1072,4701,True
Completed,0.91,0,4180,4045,4502,False
Completed,0.91,0,3391,897,896,True
Completed,0.91,0,2327,3364,3641,False
Completed,0.91,0,1267,398,3986,False
Completed,0.91,0,3015,2921,1792,True
Completed,0.91,0,4419,2334,2815,False
Completed,0.91,0,687,3579,2014,False
Completed,0.91,0,950,2414,4575,False
Completed,0.91,0,566,2548,4941,True
Completed,0.91,0,409,300,341,False
Completed,0.91,0,4032,2785,2633,True
Completed,0.91,0,3556,2119,1512,False
Completed,0.91,0,2121,4642,4275,True
Completed,0.91,0,1784,1676,3374,True
Completed,0.91,0,4574,4889,2452,True
Completed,0.91,0,2911,5000,1,True
Completed,0.91,0,1564,5000,5000,False
Completed,0.91,0,1,1,3196,True
Completed,0.91,0,1,2155,1,False
Completed,0.91,0,1,1892,5000,True
Completed,0.91,0,1,3395,5000,False
Completed,0.91,0,5000,2614,1,False
Completed,0.91,0,1180,5000,5000,True
Completed,0.91,0,1,3395,5000,True
Completed,0.91,0,1,1,3658,False
Completed,0.91,0,5000,5000,3651,False
Completed,0.91,0,1,3795,1,False
Completed,0.91,0,5000,5000,3455,True
Completed,0.91,0,1,3550,1,True
Completed,0.91,0,1482,1,5000,False
Completed,0.91,0,1,1,1858,True
Completed,0.91,0,1,5000,1713,False
Completed,0.91,0,5000,5000,1711,True
Completed,0.91,0,5000,1,3700,False
Completed,0.91,0,5000,3801,1,False
Completed,0.91,0,3410,1,1,False
Completed,0.91,0,5000,1,1222,True
Completed,0.91,0,1339,1,5000,True
Completed,0.91,0,5000,3702,5000,False
Completed,0.91,0,1,1,1262,False
Completed,0.91,0,5000,3801,1,True
Completed,0.91,0,3740,3625,1531,True
Completed,0.91,0,1518,331,4067,False
Completed,0.91,0,885,4078,434,True
Completed,0.91,0,4367,2376,2662,False
Completed,0.91,0,4505,4997,4648,False
Completed,0.91,0,398,1694,2259,True
Completed,0.91,0,2279,2942,3546,False
