Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.04,14,3823,19,27,1619,307
Completed,0.04,65,4865,7,246,1874,149
Completed,0.08,20,1361,9,94,1346,285
Completed,0.04,45,1885,19,380,1769,353
Completed,0.04,51,1276,3,407,633,79
Completed,0.06,12,1074,12,47,365,86
Completed,0.04,48,1476,1,81,1214,51
Completed,0.04,85,1778,11,384,1668,119
Completed,0.05,70,1194,17,273,510,17
Completed,0.04,19,1289,15,134,863,199
Completed,0.06,25,942,12,352,178,35
Completed,0.04,21,1576,4,56,1330,124
Completed,0.06,42,1398,8,163,489,22
Completed,0.04,48,1856,20,373,878,90
Completed,0.06,24,1638,12,221,743,131
Completed,0.04,55,1919,7,413,1043,161
Completed,0.06,14,1245,5,1,986,136
Completed,0.06,21,1970,14,68,249,26
Completed,0.04,107,1673,0,490,753,29
Completed,0.04,60,1892,16,173,1453,62
Completed,0.05,60,1610,13,297,1166,224
Completed,0.05,14,1805,17,33,1131,145
Completed,0.04,101,1711,15,436,1496,77
Completed,0.04,26,1892,4,308,1193,281
Completed,0.04,31,1992,10,245,796,106
Completed,0.04,28,1252,18,284,338,38
Completed,0.04,49,1472,19,462,1452,269
Completed,0.06,14,1389,14,25,537,95
Completed,0.04,28,1108,16,383,844,183
Completed,0.04,53,1748,2,403,1691,378
Completed,0.08,83,1688,9,251,1544,56
Completed,0.05,22,1637,13,34,492,43
Completed,0.04,126,1650,20,401,1249,32
Completed,0.04,47,1953,10,280,1444,361
Completed,0.04,33,909,11,230,903,157
Completed,0.06,11,1870,12,6,1380,245
Completed,0.06,23,1262,5,227,1140,241
Completed,0.05,20,702,13,76,401,59
Completed,0.04,57,1990,18,310,1743,184
Completed,0.04,80,1450,19,60,788,15
Completed,0.08,28,1803,9,477,329,68
Completed,0.04,20,1840,4,40,1682,304
Completed,0.04,60,906,2,498,601,58
Completed,0.06,35,1663,8,138,1254,183
Completed,0.06,22,4238,5,138,1705,310
Completed,0.06,67,3586,14,352,1646,394
Completed,0.06,39,4364,14,182,1052,112
Completed,0.06,45,4716,14,318,989,228
Completed,0.06,29,3875,8,126,1774,208
Completed,0.06,47,4910,5,83,1244,53
Completed,0.06,15,3801,14,62,1288,268
Completed,0.06,12,3076,8,42,853,201
Completed,0.06,41,1654,8,337,1208,263
Completed,0.06,600,1529,12,222,1158,3
Completed,0.06,113,4133,14,500,1692,129
Completed,0.06,58,3656,5,358,1328,165
Completed,0.06,16,3460,14,125,565,114
Completed,0.06,26,4260,12,45,930,59
Completed,0.06,41,4067,8,310,1178,220
Completed,0.06,41,796,5,209,401,20
Completed,0.06,25,1469,14,116,794,75
Completed,0.06,67,3221,8,251,905,35
Completed,0.06,51,4934,5,282,1802,172
Completed,0.06,9,3416,12,18,1144,250
Completed,0.06,55,4416,8,295,1746,337
Completed,0.06,51,1977,14,386,1232,211
Completed,0.06,61,4862,12,149,1633,85
Completed,0.06,25,1143,12,218,885,189
Completed,0.06,50,3856,5,386,1643,229
Completed,0.06,15,1699,5,49,570,81
Completed,0.06,24,3527,12,97,1777,420
Completed,0.06,76,4402,14,352,1593,171
Completed,0.06,14,4396,5,39,1865,349
Completed,0.06,22,1997,12,126,1351,230
Completed,0.06,62,3884,12,322,1222,135
Completed,0.06,191,1779,14,83,1631,11
Completed,0.06,41,3852,14,199,1932,285
Completed,0.06,24,3280,5,10,520,30
Completed,0.06,14,4953,14,4,254,25
Completed,0.06,22,3111,5,191,1167,287
Completed,0.06,58,4662,12,293,1287,97
Completed,0.06,40,1337,8,488,918,218
Completed,0.06,48,3690,5,26,1628,45
Completed,0.06,20,4251,5,234,447,94
Completed,0.06,42,4823,8,178,1004,90
Completed,0.06,80,4651,8,221,1717,60
Completed,0.06,68,4785,12,337,1666,301
Completed,0.06,59,3479,12,365,946,72
Completed,0.06,24,3598,8,99,1193,147
Completed,0.06,37,1719,14,269,1116,245
Completed,0.06,47,3955,8,328,1806,424
Completed,0.06,14,1713,5,81,1343,298
Completed,0.06,36,4524,5,298,908,129
Completed,0.06,56,4074,12,240,1826,187
Completed,0.06,32,1045,14,144,235,13
Completed,0.06,25,4643,14,34,1172,94
Completed,0.06,38,3052,8,448,1282,275
Completed,0.06,350,4851,8,343,1363,9
Completed,0.06,19,4050,14,152,406,53
Completed,0.06,33,4428,12,224,1257,257
Completed,0.06,45,1744,14,245,1252,166
Completed,0.06,50,3686,12,155,687,26
Completed,0.06,72,4388,8,261,1915,109
Completed,0.06,62,1771,12,369,1587,251
Completed,0.06,77,3308,5,472,847,76
Completed,0.06,37,3193,14,238,1108,142
Completed,0.06,20,1928,8,120,779,100
Completed,0.06,30,3915,12,158,1395,213
Completed,0.06,39,4683,5,453,1501,304
Completed,0.06,262,3797,8,422,650,6
Completed,0.06,17,1078,14,60,866,171
Completed,0.06,43,1192,5,295,1120,114
Completed,0.06,31,3982,5,97,1974,182
Completed,0.06,39,4939,12,414,759,132
Completed,0.06,93,1680,8,375,1376,58
Completed,0.06,30,1503,12,193,1488,302
Completed,0.06,17,567,8,154,188,36
Completed,0.06,27,3558,12,68,1572,149
Completed,0.06,88,4804,5,435,1389,100
Completed,0.06,85,3923,8,353,1609,133
Completed,0.06,196,1661,5,115,1011,7
Completed,0.06,65,1562,14,453,1123,260
Completed,0.06,28,3618,14,126,1970,438
Completed,0.06,104,3105,8,483,1114,46
Completed,0.06,37,4624,8,193,1886,261
Completed,0.06,772,4811,12,375,1999,6
Completed,0.06,67,1695,12,179,1620,99
Completed,0.06,35,1909,5,363,648,86
Completed,0.06,45,625,5,399,323,26
Completed,0.06,65,1956,8,358,1946,378
Completed,0.06,321,4436,14,447,1462,13
Completed,0.06,61,3567,8,388,1424,194
Completed,0.04,50,1938,16,377,1769,224
Completed,0.05,37,1346,17,214,1282,256
Completed,0.06,19,1183,8,120,1039,182
Completed,0.06,15,828,12,237,174,32
Completed,0.04,22,1694,11,4,1606,99
Completed,0.06,86,4870,14,433,1585,342
Completed,0.06,75,3744,14,398,802,39
Completed,0.06,22,4079,5,112,862,135
Completed,0.06,20,3548,5,132,1055,246
Completed,0.06,28,1760,8,173,1408,343
