Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.96,20,1984,6,295,1520,144
Completed,0.96,62,1452,17,40,798,4
Completed,0.96,6,1773,50,60,1614,263
Completed,0.96,21,1902,53,250,597,16
Completed,0.96,22,1546,11,390,1181,63
Completed,0.96,4,1809,31,29,1414,224
Completed,0.96,9,799,14,331,671,80
Completed,0.96,11,1639,69,356,862,208
Completed,0.96,29,1598,34,321,369,10
Completed,0.96,8,1223,36,158,898,112
Completed,0.96,14,1959,63,55,1909,56
Completed,0.96,11,1184,68,332,1060,257
Completed,0.96,12,1418,1,327,1099,202
Completed,0.96,132,785,47,476,389,2
Completed,0.96,23,1693,48,411,1674,223
Completed,0.96,5,698,67,229,426,86
Completed,0.96,5,970,21,98,268,38
Completed,0.96,9,1358,66,199,1244,229
Completed,0.96,14,524,38,465,509,32
Completed,0.96,10,1522,59,146,1264,145
Completed,0.96,14,1911,20,475,958,161
Completed,0.96,5,1054,69,391,43,6
Completed,0.96,6,1678,0,116,693,124
Completed,0.96,21,1733,31,380,1359,261
Completed,0.96,15,1755,43,257,1031,77
Completed,0.96,14,1732,57,10,1038,24
Completed,0.96,16,1842,23,370,747,40
Completed,0.96,10,1575,8,229,982,237
Completed,0.96,21,1998,37,401,1304,191
Completed,0.96,9,362,10,299,219,13
Completed,0.96,5,985,62,211,548,116
Completed,0.96,39,1784,29,437,1715,58
Completed,0.96,10,1699,33,82,903,49
Completed,0.96,9,1605,46,173,1086,212
Completed,0.96,18,1878,68,434,1107,139
Completed,0.96,14,889,48,238,852,58
Completed,0.96,13,1785,9,344,911,99
Completed,0.96,8,1408,61,181,324,31
Completed,0.96,10,1640,52,47,1375,83
Completed,0.96,14,1360,45,384,742,102
Completed,0.96,12,1190,16,243,1044,87
Completed,0.96,21,1454,32,356,1309,128
Completed,0.96,4,1096,65,27,975,175
Completed,0.96,3,1133,28,48,482,109
Completed,0.96,41,1509,43,460,753,22
Completed,0.96,11,927,26,478,718,142
Completed,0.96,26,1931,1,163,1462,38
Completed,0.96,10,1665,21,303,1195,250
Completed,0.96,5,1321,24,144,813,192
Completed,0.96,15,1089,8,252,579,25
Completed,0.96,31,1852,35,399,1598,81
Completed,0.96,16,1477,38,112,1136,41
Completed,0.96,23,1751,16,122,1668,46
Completed,0.96,21,1375,54,401,1065,84
Completed,0.96,7,1050,25,230,649,99
Completed,0.96,10,1281,5,369,885,188
Completed,0.96,23,1993,42,357,1701,423
Completed,0.96,12,1862,41,421,715,175
Completed,0.96,12,1688,2,217,1001,129
Completed,0.96,18,1955,18,327,1266,88
Completed,0.96,14,1219,9,465,286,19
Completed,0.96,5,1595,61,60,948,104
Completed,0.96,24,1804,58,350,1777,131
Completed,0.96,9,1937,30,118,1869,277
Completed,0.96,28,1542,37,240,1510,93
Completed,0.96,11,1275,64,98,561,20
Completed,0.96,42,1742,71,442,1428,40
Completed,0.96,5,741,46,136,672,153
Completed,0.96,17,1824,29,177,856,25
Completed,0.96,6,1979,51,86,1163,237
Completed,0.96,4,348,6,250,328,61
Completed,0.96,13,975,66,275,908,69
Completed,0.96,18,1503,63,339,1155,161
Completed,0.96,4,1033,56,92,433,53
Completed,0.96,16,1659,13,431,834,77
Completed,0.96,6,1745,19,73,1249,307
Completed,0.96,16,1766,47,197,1390,124
Completed,0.96,4,1610,20,135,228,57
Completed,0.96,11,1235,50,360,508,66
Completed,0.96,130,1940,58,494,1550,10
Completed,0.96,5,1315,12,31,1216,112
Completed,0.96,9,1471,70,247,772,149
Completed,0.96,20,1884,39,299,988,62
Completed,0.96,5,1258,33,211,279,67
Completed,0.96,35,1557,6,64,1290,15
Completed,0.96,17,1790,26,456,1056,209
Completed,0.96,6,989,35,420,128,23
Completed,0.96,12,1371,62,255,1354,213
Completed,0.96,15,1994,10,222,1879,159
Completed,0.96,7,1195,19,115,922,228
Completed,0.96,15,1464,4,475,658,51
Completed,0.96,21,1727,30,361,1646,118
Completed,0.96,3,1232,71,44,1010,191
Completed,0.96,15,595,25,130,471,13
Completed,0.96,15,1077,12,203,939,41
Completed,0.96,11,1648,46,215,1630,288
Completed,0.96,46,1497,50,438,1276,26
Completed,0.96,6,1528,49,25,644,37
Completed,0.96,3,908,30,38,828,158
Completed,0.96,55,1921,15,352,1071,21
Completed,0.96,7,674,10,428,592,121
Completed,0.96,12,1684,35,246,1336,203
Completed,0.96,5,1348,40,69,851,87
Completed,0.96,10,1973,30,408,384,35
Completed,0.96,21,1309,63,427,1200,294
Completed,0.96,6,1935,7,81,1535,336
Completed,0.96,8,1441,18,162,1168,174
Completed,0.96,17,1818,52,316,1564,197
Completed,0.96,9,1117,60,459,616,128
Completed,0.96,8,1897,55,112,1498,187
Completed,0.96,35,899,42,310,742,11
Completed,0.96,7,1536,25,253,785,140
Completed,0.96,5,1803,5,142,553,83
Completed,0.96,7,1429,65,367,214,47
