Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.1,494,1424,2,307,401,73
Completed,0.1,437,1569,19,315,878,211
Completed,0.1,905,427,14,65,257,18
Completed,0.1,516,1753,6,139,1485,245
Completed,0.1,593,993,6,365,643,125
Completed,0.11,1974,1926,1,496,1765,337
Completed,0.1,1086,722,5,202,661,41
Completed,0.1,663,1524,7,304,1441,169
Completed,0.1,1930,1879,21,309,1462,57
Completed,0.1,4068,1636,8,177,404,29
Completed,0.19,1068,251,26,452,242,35
Completed,0.1,718,869,2,244,199,28
Completed,0.1,2454,1411,15,470,765,26
Completed,0.1,1418,1337,12,344,1236,192
Completed,0.1,602,859,16,32,593,71
Completed,0.1,2117,1894,23,462,1312,201
Completed,0.11,651,1801,9,118,1333,309
Completed,0.1,419,1452,18,53,1060,238
Completed,0.1,809,1650,19,471,1577,392
Completed,0.1,816,1560,22,146,786,196
Completed,0.1,1775,1991,18,424,611,28
Completed,0.1,1132,1495,11,398,1322,108
Completed,0.1,848,1737,4,359,169,34
Completed,0.1,719,1187,24,90,809,79
Completed,0.14,1144,1947,3,422,869,182
Completed,0.1,1663,614,24,402,604,30
Completed,0.1,647,1640,15,98,1261,152
Completed,0.19,1791,1804,26,296,1129,98
Completed,0.1,913,1061,20,461,345,43
Completed,0.1,1547,1612,12,222,741,69
Completed,0.11,3840,1853,0,337,690,17
Completed,0.1,725,1998,23,13,514,39
Completed,0.1,521,1405,6,308,1268,251
Completed,0.1,720,1938,13,87,1174,179
Completed,0.1,1770,1137,24,382,1043,46
Completed,0.11,2204,1452,0,424,1136,171
Completed,0.1,5319,1876,16,479,1536,48
Completed,0.1,1049,1683,18,367,1397,162
Completed,0.12,1886,865,4,470,612,74
Completed,0.1,573,1624,4,99,1498,373
Completed,0.1,1843,1421,14,115,688,26
Completed,0.19,1894,1853,26,212,1190,79
Completed,0.1,503,1668,14,78,1651,388
Completed,0.11,1981,1931,9,237,1911,160
Completed,0.1,431,1722,24,417,591,127
Completed,0.1,498,1799,19,6,758,115
Completed,0.1,1114,1167,13,487,238,31
Completed,0.1,1247,1491,20,166,1261,60
Completed,0.14,963,1064,3,192,521,125
Completed,0.1,395,1892,19,206,1289,274
Completed,0.1,1113,1629,11,109,1022,54
Completed,0.1,1692,4294,25,485,1003,202
Completed,0.1,2277,1536,25,266,812,41
Completed,0.1,7128,1867,7,86,1694,12
Completed,0.1,465,1303,21,13,1102,146
Completed,0.1,828,851,16,358,116,16
Completed,0.1,507,1852,11,359,1447,285
Completed,0.1,933,1180,21,374,742,67
Completed,0.1,7201,1622,19,456,1239,13
Completed,0.11,609,1782,0,136,262,47
Completed,0.1,822,1358,16,206,908,174
Completed,0.1,415,1917,24,123,1408,243
Completed,0.1,1551,596,11,230,568,22
Completed,0.1,382,1212,7,184,1184,238
Completed,0.12,620,1878,1,91,1793,316
Completed,0.1,2574,1646,22,219,1518,108
Completed,0.11,3486,1949,10,431,979,78
Completed,0.1,3752,1715,4,175,967,18
Completed,0.14,1713,3576,3,165,1610,158
Completed,0.1,2096,1574,22,146,1179,50
Completed,0.1,1523,1771,11,450,328,17
Completed,0.1,1031,1251,19,323,1042,167
Completed,0.1,4062,1826,4,268,1629,52
Completed,0.1,722,1911,7,36,1096,83
Completed,0.1,2513,1519,16,72,872,22
Completed,0.1,1237,1344,5,140,595,29
Completed,0.1,715,1612,2,388,1304,158
Completed,0.1,695,932,15,277,707,78
Completed,0.12,594,1126,0,101,867,210
Completed,0.19,467,887,26,90,641,111
Completed,0.1,1426,1568,13,198,1363,155
Completed,0.19,1519,1631,26,461,1281,319
Completed,0.1,1822,1894,4,349,1033,106
Completed,0.1,432,1701,15,61,463,72
Completed,0.11,2500,1335,9,448,534,34
Completed,0.1,391,1923,6,44,1628,311
Completed,0.1,411,1078,18,154,959,207
Completed,0.1,625,1493,11,242,1196,142
Completed,0.14,1149,914,3,397,211,20
Completed,0.1,1689,1728,7,489,904,45
Completed,0.11,1121,1927,10,278,1859,371
Completed,0.1,1666,1657,19,414,1579,81
Completed,0.1,7244,1929,25,169,1600,15
Completed,0.11,1398,1997,1,249,916,111
Completed,0.1,373,1597,5,177,1557,384
Completed,0.11,1151,1542,9,330,747,131
Completed,0.1,651,1865,24,10,1754,164
Completed,0.19,1342,1337,26,398,970,139
Completed,0.1,1473,1904,14,309,1471,195
Completed,0.11,1874,582,0,420,506,41
Completed,0.11,442,1842,0,42,1384,279
Completed,0.1,572,1140,17,55,677,121
Completed,0.1,475,2855,18,331,664,141
Completed,0.11,1140,1262,9,167,861,82
Completed,0.14,2356,1952,4,7,1362,27
Completed,0.1,421,1847,8,132,1250,247
Completed,0.14,408,1407,3,42,754,178
Completed,0.1,1666,1116,12,380,585,64
Completed,0.1,617,1984,19,112,420,43
Completed,0.1,1360,1913,22,396,1355,289
Completed,0.11,8217,1674,0,291,1083,10
Completed,0.11,642,1153,1,179,173,32
Completed,0.1,2392,1754,22,317,824,74
Completed,0.1,605,1501,4,195,368,76
Completed,0.1,1860,1400,23,299,628,38
Completed,0.1,493,1572,7,285,1436,314
Completed,0.1,858,1840,15,406,1126,110
Completed,0.1,371,816,7,164,549,114
Completed,0.1,569,1635,20,49,1459,152
Completed,0.1,513,3968,6,278,473,72
Completed,0.11,3880,708,0,183,485,8
Completed,0.12,1818,1897,10,214,681,61
Completed,0.1,670,1332,2,118,1182,117
