Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Failed,,,1554,0,413,1368,934
Failed,,,1935,3,357,1232,532
Failed,,,1726,1,318,961,147
Failed,,,1845,4,390,566,260
Failed,,,1209,2,492,1090,1055
Failed,,,1211,3,178,948,513
Failed,,,1996,4,303,1603,212
Failed,,,828,3,253,667,456
Failed,,,1389,1,157,1235,183
Failed,,,1117,2,481,606,149
Failed,,,1708,2,160,1589,955
Failed,,,1485,1,282,993,255
Failed,,,1569,3,337,1475,1053
Failed,,,1473,2,249,1252,800
Failed,,,1821,2,429,303,121
Failed,,,1636,1,99,1426,1292
Failed,,,1092,0,60,1168,214
Failed,,,4883,4,433,85,1567
Failed,,,3753,0,344,305,1793
Failed,,,278,4,212,1447,425
Failed,,,1897,2,467,715,592
Failed,,,3419,2,88,1537,1189
Failed,,,3406,0,333,544,706
Failed,,,1881,4,207,1704,1076
Failed,,,301,1,459,438,1906
Failed,,,3780,3,80,1310,312
Failed,,,4857,2,178,1090,85
Failed,,,1070,2,300,158,1697
Failed,,,1750,0,54,1922,1286
Failed,,,2960,4,423,826,933
Failed,,,2678,1,8,74,1139
Failed,,,4496,4,253,1838,1847
Failed,,,1308,4,28,918,25
Failed,,,1531,2,406,1515,701
Failed,,,1174,2,211,555,380
Failed,,,881,1,61,750,202
Failed,,,1803,0,9,1560,442
Failed,,,1018,1,386,905,768
Failed,,,1317,3,410,1161,414
Failed,,,1598,2,239,1380,217
Failed,,,1982,4,63,1017,315
Failed,,,843,2,9,207,72
Failed,,,1799,2,217,687,602
Failed,,,1527,0,325,639,345
Failed,,,1893,3,376,775,248
Failed,,,1418,2,301,1143,1081
Failed,,,1692,1,416,1035,574
Failed,,,1825,4,346,1429,960
Failed,,,1469,0,42,375,156
Failed,,,1966,0,151,1511,1048
Failed,,,1836,1,184,826,471
Failed,,,1704,4,117,712,123
Failed,,,1770,4,412,1593,1293
Failed,,,1291,4,273,458,378
Failed,,,1882,0,93,1472,699
Failed,,,1514,3,147,1116,836
Failed,,,1160,1,466,64,30
Failed,,,529,4,500,269,196
Failed,,,1788,1,254,1068,93
Failed,,,1670,2,446,1455,440
Failed,,,1611,4,292,875,727
Failed,,,1624,0,106,1228,1217
Failed,,,1991,3,157,1373,1314
Failed,,,1446,2,20,741,484
Failed,,,1849,2,340,1689,663
Failed,,,1064,0,212,846,114
Failed,,,1272,4,236,1086,693
Failed,,,1550,2,362,496,16
Failed,,,749,3,245,549,162
Failed,,,1942,1,7,1850,50
Failed,,,1239,3,89,1061,204
Failed,,,1409,1,113,754,600
Failed,,,1136,3,474,804,359
Failed,,,1921,2,102,1645,932
Failed,,,1253,2,297,659,238
Failed,,,1809,1,403,1290,1091
Failed,,,1744,1,77,421,263
Failed,,,1466,0,451,1013,962
Failed,,,1467,4,34,1411,524
Failed,,,1862,0,354,394,330
Failed,,,1085,1,228,1048,879
Failed,,,1678,0,181,1270,1000
Failed,,,1251,2,189,761,299
Failed,,,1918,2,384,1809,621
Failed,,,1133,1,11,656,171
Failed,,,937,0,222,587,473
Failed,,,1761,1,209,1650,234
Failed,,,1039,0,335,807,558
Failed,,,1373,4,375,1004,138
Failed,,,1221,4,105,857,789
Failed,,,1943,3,479,1702,487
Failed,,,1355,1,158,743,683
Failed,,,865,4,468,512,243
Failed,,,1426,0,66,1085,393
Failed,,,1154,2,459,1099,649
Failed,,,1931,4,85,444,76
Failed,,,1065,4,304,699,425
Failed,,,1449,2,497,844,46
Failed,,,1989,1,328,1207,1126
Failed,,,959,3,129,917,607
Failed,,,1621,4,380,1313,1278
Failed,,,1995,3,15,815,678
Failed,,,1400,3,23,1196,1150
Failed,,,1642,2,203,922,629
Failed,,,969,2,81,206,66
Failed,,,1837,3,379,1743,1368
Failed,,,1973,2,236,1017,137
Failed,,,1600,4,111,1478,309
Failed,,,1853,1,322,1445,677
Failed,,,1341,0,98,408,228
Failed,,,1730,4,447,1047,753
Failed,,,1905,1,492,892,260
Failed,,,1528,3,367,603,186
Failed,,,1514,1,48,1082,604
Failed,,,1430,3,401,443,378
Failed,,,1057,1,276,60,53
Failed,,,1887,3,173,1418,967
Failed,,,1744,1,140,513,460
Failed,,,1870,4,15,990,95
Failed,,,1629,0,384,1388,86
Failed,,,1751,2,259,1115,469
Failed,,,633,4,293,327,156
Failed,,,1933,1,120,1653,1018
Failed,,,1927,2,466,499,60
Failed,,,1688,1,472,1593,551
Failed,,,1365,2,71,951,469
Failed,,,1239,0,197,553,102
Failed,,,1118,0,361,983,584
Failed,,,1953,4,213,1623,435
Failed,,,1861,0,415,1148,1078
Failed,,,949,1,119,685,365
Failed,,,1262,3,328,1076,93
Failed,,,795,4,376,713,30
Failed,,,1521,2,205,1262,1144
Failed,,,1153,4,135,886,810
Failed,,,1478,0,180,1041,303
Failed,,,1828,2,38,401,336
Failed,,,1225,3,390,1011,684
Failed,,,910,4,56,750,532
Failed,,,1017,4,299,580,254
Failed,,,1907,3,8,638,387
Failed,,,1707,1,57,1294,880
Failed,,,1346,3,394,185,109
Failed,,,1834,3,182,1208,550
Failed,,,1587,2,377,1239,432
Failed,,,1723,3,238,1528,1071
Failed,,,968,0,409,453,193
Failed,,,1670,0,313,670,506
Failed,,,1878,4,386,1876,1145
Failed,,,680,2,215,82,25
Failed,,,1811,0,243,1352,350
Failed,,,1683,2,118,1141,205
Failed,,,1946,2,69,799,712
Failed,,,1817,1,499,727,226
Failed,,,1693,3,374,766,329
Failed,,,1925,0,313,1173,836
Failed,,,1006,4,230,282,176
Failed,,,1548,3,438,1322,734
Failed,,,1173,4,61,1168,359
Failed,,,989,3,385,907,488
Failed,,,1825,2,87,1385,1197
Failed,,,616,0,260,587,67
Failed,,,1984,1,292,1847,309
Failed,,,1069,3,126,737,703
Failed,,,1872,2,144,1682,756
Failed,,,1198,2,305,793,233
Failed,,,1322,0,431,707,338
Failed,,,1884,0,44,223,183
Failed,,,1436,2,257,1135,725
Failed,,,1508,3,169,277,263
Failed,,,1418,4,65,680,50
Failed,,,1046,1,190,828,381
Failed,,,1898,2,355,1717,609
Failed,,,1731,2,334,375,100
Failed,,,1340,2,250,1233,888
Failed,,,1459,3,320,1304,426
Failed,,,1283,4,494,858,513
Failed,,,1771,3,207,1757,79
Failed,,,644,4,235,559,297
