detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
D3,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.39394345373742484,0.5314132396638961,0.7127253459435101,0.8496996241644945,3151,4,87,0.7826086956521737,1.0,1.0,0.6242893948718746,-0.08554024699987699,-0.12117337560703577,0.10869565217391314,0.04847042648993137,True,20,0.1481084102130738,0.06046511627906977,0.4,0.85,0.08695652173913049,0.0,1.0,0.5,0.7826086956521737,1.0
D3,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5329155172037313,0.697672631214544,0.6184405908206254,0.7897970420682947,1362,21,100,0.2058823529411763,1.0,1.0,0.0212540825291768,0.07380987761029631,0.10814842657792098,0.14277302915938778,0.027859076931064694,True,20,0.07696804178690411,0.14696969696969694,0.15,0.5,0.06330678578761229,0.8148148148148151,0.9566590870771878,0.8857369509460015,0.8529411764705884,0.9575802584173392
D3,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.47690204869466307,0.6439667983083792,0.6277129926010417,0.7968224080036854,2193,13,44,0.1944444444444445,1.0,1.0,0.0,-0.10419236361387262,-0.15125178954941348,0.2121585641205725,0.09086090853311374,True,20,0.1546445949243,0.23488372093023252,0.05,0.1,0.169131360701787,0.5517241379310344,0.9361151919122714,0.7439196649216528,0.6388888888888888,0.9361151919122714
D3,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6334250907198502,0.8155136195078335,0.6282830256293368,0.8105842830900274,2018,19,216,0.1549295774647887,1.0,1.0,0.5932337400662006,-0.08291296459849884,-0.12234832736951912,0.0754310224480412,0.026239591276610887,True,20,0.10447758072666007,0.2811627906976744,0.05,0.4,0.07063793151683653,1.0,0.917687853563672,0.958843926781836,1.0,0.9665181960469716
D3,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.583343358169223,0.7651534572399161,0.6644629320873645,0.840797280075322,3646,14,163,0.108108108108108,1.0,1.0,0.576404595172558,-0.11500379542426714,-0.16602079082954269,0.11486220770691166,0.020030990550585076,True,20,0.0741692484438708,0.040123456790123455,0.55,1.0,0.05577160891517542,0.9393939393939396,1.0,0.9696969696969697,0.945945945945946,1.0
D3,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6429589112615748,0.822528248870821,0.15497245468214335,0.22352707529979554,1862,20,173,0.0576923076923076,1.0,1.0,0.1299270154231833,0.09268207885227135,0.1354111437782288,0.24081764122916072,0.09581372716481021,True,20,0.07992596339897524,0.08284883720930232,0.45,0.75,0.08901899492357798,0.5714285714285716,0.8625493735252228,0.7169889724768972,0.5961538461538463,0.8804079231911374
IBDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.22589143063230172,0.31385774546877065,0.5719179798921956,0.7431105106409989,3035,7,383,0.6785714285714283,1.0,1.0,0.6419656258679005,0.35961157062337207,0.5122294580645588,0.13926182371984264,0.08528382257805442,True,20,0.2216849944941773,0.049738219895287955,0.65,0.9,0.15948970609654683,1.0,0.3041790529165538,0.6520895264582769,1.0,0.7508721827029736
IBDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.35697137231550746,0.5119759525175509,0.6067651336883397,0.7886577136389703,1324,17,154,0.0689655172413793,1.0,1.0,0.2197013291513858,0.2552814381096714,0.35989803837334156,0.1959221697273417,0.06051662520976919,True,20,0.06692961588111657,0.03562091503267974,0.75,0.9,0.06567077939359056,0.6666666666666669,0.9404832152682393,0.8035749409674531,0.6896551724137933,0.953559131980624
IBDD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.38531102692701524,0.5384096105904764,0.5610516815257705,0.7310631498957589,3021,14,172,0.2222222222222222,1.0,1.0,0.0,0.26783229418232607,0.38010428032903204,0.1765964532776545,0.04959216242028816,True,20,0.10908917601757553,0.04678362573099415,0.45,1.0,0.09337768454190877,0.6785714285714283,1.0,0.8392857142857142,0.7499999999999998,1.0
IBDD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.11024026500685906,0.1560217628273729,0.5214610279081873,0.7027146868767521,2080,15,913,0.1136363636363637,1.0,1.0,0.3394954230160151,0.35197841944428515,0.49721640285721186,0.08879742261231233,0.015865508825048863,True,20,0.1406957766469377,0.09956140350877193,0.45,0.6,0.035200037541481856,0.9743589743589749,0.9018912392150593,0.9381251067870171,0.9772727272727276,0.9351987144593198
IBDD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.33684848570205117,0.46805719147430697,0.31102240238950707,0.42021374346438706,2927,16,284,0.1428571428571428,1.0,1.0,0.2418936600596047,0.30930375652376507,0.4291643535197914,0.11653063447850084,0.012332199352667425,True,20,0.049499256070429334,0.01607773851590106,1.0,1.0,0.04406533206583722,1.0,1.0,1.0,1.0,1.0
IBDD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.4359647182455932,0.5940129797291067,0.38461935821364407,0.5217507880919695,1131,20,73,0.0588235294117647,1.0,1.0,0.1587785428363808,0.41251475065727183,0.5663760905501992,0.20629997837665734,0.04486133029177056,True,20,0.05440279872082813,0.04375,0.65,0.95,0.059388200118445714,0.9166666666666667,0.6713596973276534,0.7940131819971601,0.9215686274509804,0.7235407257032758
CSDDM,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.44190165814148896,0.5998964439248403,0.6535087453616208,0.8064595047792779,1145,4,59,0.6923076923076921,1.0,1.0,0.797001904203346,0.14116944818958754,0.19940193555515817,0.06245692977955465,0.02806844511242973,True,20,0.1440018744535443,0.07672413793103447,0.25,0.7,0.06458180339756349,0.75,1.0,0.875,0.923076923076923,1.0
CSDDM,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6578644490648403,0.8298026476785569,0.6355581764711241,0.8021814734064572,1792,23,157,0.0,1.0,1.0,0.0,-0.05192752389863534,-0.07493461330913398,0.14807568645457198,0.027941773746865586,True,20,0.055304442034913956,0.11217948717948718,0.2,0.5,0.06487596484271135,0.8888888888888888,0.98768002116219,0.9382844550255394,0.8888888888888888,0.98768002116219
CSDDM,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5407340700367991,0.7190731548108704,0.674541065251488,0.8379373232492283,1197,13,38,0.2000000000000001,1.0,1.0,0.276355362675966,0.002394609586195381,0.00493303431605278,0.16703538456393302,0.04026768863587321,True,20,0.09225321084889217,0.1391891891891892,0.0,0.15,0.10746452915279293,0.8333333333333333,1.0,0.9166666666666666,0.8666666666666666,1.0
CSDDM,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.752432320759519,0.8992984468619569,0.6046062806845911,0.7798089977872652,1832,16,192,0.7027027027027027,1.0,1.0,0.7315151478405352,0.038142510483286506,0.05569558429798713,0.0413677503220265,0.010655444367208264,True,20,0.03011915623310136,0.07853403141361257,0.2,0.7,0.026549352064367086,0.9545454545454543,0.8723574710494763,0.9134514627974653,0.9864864864864864,0.9657299144854584
CSDDM,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6105872365316661,0.789076235995287,0.6102405485265998,0.7834203159971207,2146,19,126,0.0588235294117647,1.0,1.0,0.4340883984053918,-0.011036724906611037,-0.01646535664404802,0.10753093927798754,0.023310795684276478,True,20,0.034249788432631524,0.039999999999999994,0.65,1.0,0.04085118870077784,0.9062499999999999,1.0,0.953125,0.9117647058823528,1.0
CSDDM,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7033243010900083,0.8765711031215664,0.3064600204207439,0.4281903880364867,1223,27,119,0.04,1.0,1.0,0.0054472308920031,0.02876463209771751,0.04075742896984161,0.12593715557961893,0.02769139178383602,True,20,0.05821891661517799,0.11906779661016949,0.25,0.45,0.04987305844297451,0.8333333333333334,1.0,0.9166666666666667,0.8400000000000001,1.0
OCDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.43847484019598876,0.6126946538249411,0.5793941517485159,0.743269342850466,1212,5,139,0.6206896551724137,1.0,1.0,0.7981490078090399,0.3413367152131798,0.49010847318552103,0.1460339039335048,0.09535876999339589,True,20,0.1664428113677398,0.07101449275362318,0.5,0.85,0.14418980314466195,0.363636363636364,1.0,0.681818181818182,0.7586206896551725,1.0
OCDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5441789777020479,0.7298480102233083,0.6450281759689361,0.825461125569764,1104,21,128,0.0,1.0,1.0,0.1987336299799975,0.4580958215617461,0.6245468633192655,0.12539539151126097,0.015666206979094793,True,20,0.0205225035930513,0.018503937007874015,1.0,1.0,0.03280598415585471,0.923076923076923,0.9907613988770722,0.9569191609769976,0.923076923076923,0.9925974196141688
OCDD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5701351517835547,0.7713913767469932,0.6452244528589024,0.8201944707814974,1123,13,61,0.1794871794871796,1.0,1.0,0.5504273534020434,0.17296754233997969,0.24494235810956091,0.1080632096534702,0.02764650599650499,True,20,0.08064306340846464,0.07916666666666665,0.35,0.7,0.06703509873272726,0.8437499999999999,1.0,0.921875,0.8717948717948717,1.0
OCDD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6361384090130354,0.8192947642504358,0.5940462444520327,0.7796804849729223,1107,17,100,0.4999999999999999,1.0,1.0,0.7384227494845222,0.3640848449288355,0.5196574283265514,0.04550496605618033,0.011865572675695678,True,20,0.07648113206656243,0.1580808080808081,0.1,0.3,0.03496935744735771,0.9677419354838712,0.9865968124813111,0.9771693739825912,0.9838709677419356,0.996494031060718
