detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.05752727505063252,6,0.05886433555551202,6,0.5583333333333332,6,0.85,6,0.0687793077831375,6,0.7471531729393366,6,0.9408929986070803,6,0.8440230857732084,6,0.13273523740274848,6,0.04467299898879251,6,0.2544162280626498,6,0.35686733000210163,6,,0,,0,0.6841956342347532,6,0.8357308638258365,6,0.49339927112426113,6,0.6748465588353224,6
CDBD,0.21838566316579625,6,0.11647714430189253,6,0.39999999999999997,6,0.6583333333333333,6,0.0693961479444775,6,0.7726190476190476,6,0.8793164136197325,6,0.8259677306193902,6,0.07156675772616096,6,0.03762994242004639,6,0.3170107292856057,6,0.4381076125577175,6,,0,,0,0.1787354391637356,6,0.22245445112622467,6,0.40010193752890205,6,0.5459844057003674,6
CSDDM,0.06697893738736743,6,0.08736010581599062,6,0.39166666666666666,6,0.6749999999999999,6,0.049362416379660386,6,0.8539211560044891,6,0.9210535631560974,6,0.8874873595802933,6,0.10655773499603007,6,0.024146350554829523,6,0.010071220271682441,6,0.015564112820161874,6,,0,,0,0.7087731517048738,6,0.8532257816954999,6,0.60770802821496,6,0.7627846813098814,6
D3,0.06817161050225244,6,0.046514455493783656,6,0.7916666666666666,6,0.875,6,0.06135820377712667,6,0.7514227228102435,6,0.9667692721001031,6,0.8590959974551732,6,0.12248307271127469,6,0.02490584006262954,6,0.0029871276362128476,6,0.0053151226255104544,6,,0,,0,0.5603392462703677,6,0.7118701797066712,6,0.5719040774326478,6,0.7113453621611271,6
DAWIDD,0.06328155108563828,6,0.04213547458175048,6,0.7666666666666666,6,0.8666666666666667,6,0.1111985843878578,6,0.5508597883597884,6,0.999110611600241,6,0.7749851999800147,6,0.1799127733327619,6,0.05872389211583312,6,0.20712381937361754,6,0.2893457114913443,6,,0,,0,0.40341395370596156,6,0.5234273378463087,6,0.6211052690326891,6,0.8033714100933343,6
IBDD,0.07331791585319203,6,0.026984665435385035,6,0.875,6,0.9666666666666667,6,0.07990016082600924,6,0.7749516687016688,6,0.9128253552448662,6,0.8438885119732675,6,0.15096838391954737,6,0.04180891166709557,6,0.3712652883853859,6,0.5066483969699549,6,,0,,0,0.27738723475970256,6,0.38811226586545117,6,0.5654065525423754,6,0.7070279646998335,6
OCDD,0.04828552226489327,6,0.039493470395738424,6,0.6666666666666666,6,0.9166666666666666,6,0.07929414789107304,6,0.7240452759605986,6,0.9898189814512327,6,0.8569321287059156,6,0.1303802851414918,6,0.05358069744043963,6,0.3091983171560548,6,0.4160338526701431,6,,0,,0,0.6665115650513023,6,0.832985236630198,6,0.6392803685995666,6,0.8065137610705896,6
PCACD,0.05613163533510449,6,0.03665273283596037,6,0.8083333333333332,6,0.8500000000000001,6,0.048638269163645144,6,0.8482905982905983,6,0.9552362885544508,6,0.9017634434225245,6,0.08780206770841414,6,0.02685746160889815,6,0.5245050032657824,6,0.706211224406542,6,,0,,0,0.0661330536028255,6,0.08355290392322862,6,0.7080900528939605,6,0.8729597060280612,6
SPLL,0.17967784455114968,6,0.1676218635847937,6,0.35000000000000003,6,0.5,6,0.08295113653335556,6,0.8270071684587813,6,0.6818557124354171,6,0.7544314404470992,6,0.11427489220495911,6,0.04425113112776908,6,0.3867961764166486,6,0.5137079196489586,6,,0,,0,0.7187109794363681,6,0.8669555895008233,6,0.3547531885311139,6,0.47174561076289573,6
UDetect,0.03160760022044376,6,0.024418456989068638,6,0.8583333333333333,6,1.0,6,0.0574236776425362,6,0.8595959595959596,6,0.9595863342004213,6,0.9095911468981903,6,0.1448883409903159,6,0.030278359737893636,6,0.15859334790856536,6,0.22383011676960451,6,,0,,0,0.5504241910899331,6,0.6661451227405352,6,0.6399752937653429,6,0.8274940098521801,6
