detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
D3,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.41465362583302195,0.5559354576523957,0.7285809414468754,0.8542955226712559,3151,4,87,0.7826086956521737,1.0,1.0,0.6242893948718746,-0.030680884832869064,-0.043307863861955675,0.1304347826086958,0.07020955692471402,True,20,0.12176883020304012,0.0377906976744186,1.0,1.0,0.1304347826086958,0.0,1.0,0.5,0.7391304347826084,1.0
D3,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5707947146922555,0.7217584222294224,0.6336265120235337,0.7948885735533934,1362,21,100,0.2058823529411763,1.0,1.0,0.0212540825291768,0.09247851507795005,0.13384827599586946,0.1332485208510215,0.01833456862269843,True,20,0.03653152881688101,0.04090909090909091,0.5,1.0,0.042398933418232886,0.8518518518518521,0.9490003856405427,0.9004261187461974,0.8823529411764708,0.9500843356530948
D3,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.42329468856809827,0.5710868236317733,0.5589427944399051,0.7209455956933917,2193,13,44,0.1944444444444445,1.0,1.0,0.0,-0.011093041768696714,-0.016013068029128042,0.17520319962112704,0.05390554403366829,True,20,0.08419402020663615,0.10813953488372093,0.1,0.4,0.10607683491343047,0.6551724137931034,1.0,0.8275862068965517,0.7222222222222222,1.0
D3,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.48165823846810024,0.6341306885516726,0.5639672333129931,0.7355841082222437,2018,19,216,0.1549295774647887,1.0,1.0,0.5932337400662006,0.14364157190582896,0.20464363619382717,0.059928489351405,0.010737058179974682,True,20,0.03535032509272338,0.026511627906976743,1.0,1.0,0.03197459593182204,1.0,0.9570258530441328,0.9785129265220665,1.0,0.9825195669689164
D3,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6878855294299724,0.8491930963522039,0.7332582081860669,0.8874346910164127,3646,14,163,0.108108108108108,1.0,1.0,0.576404595172558,-0.00859417222556591,-0.010696837621488207,0.10848658269680814,0.013655365540481551,True,20,0.057766354365406655,0.018518518518518524,1.0,1.0,0.04714353980869951,0.9696969696969695,0.9486364635002663,0.959166716598618,0.9729729729729728,0.9782426419630262
D3,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7079866936953315,0.8566942463000512,0.18320463915528082,0.2619256991763281,1862,20,173,0.0576923076923076,1.0,1.0,0.1299270154231833,0.17164873610130535,0.2441788557152733,0.16665082899496655,0.021646914930616046,True,20,0.06553635662765876,0.022093023255813953,0.9,1.0,0.04666956411094639,0.9183673469387754,0.8625493735252228,0.8904583602319991,0.923076923076923,0.8804079231911374
IBDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.2072393799944064,0.30079529184159287,0.7357701988156653,0.8853445906487487,3035,7,383,0.6785714285714283,1.0,1.0,0.6419656258679005,0.5841805760966889,0.7342522622118949,0.1235938475452663,0.0696158464034781,True,20,0.16950228781427779,0.03232984293193717,0.8,1.0,0.13861659187238454,0.33333333333333354,1.0,0.6666666666666667,0.7857142857142856,1.0
IBDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.41628119645832706,0.5824859351366916,0.7024937069482028,0.8700117448022475,1324,17,154,0.0689655172413793,1.0,1.0,0.2197013291513858,0.31435027133193594,0.44688989593749046,0.18260064050996289,0.047195095992390385,True,20,0.07094605654405906,0.05326797385620915,0.65,0.85,0.07703255700606915,0.777777777777778,0.8092336820235564,0.7935057299006671,0.7931034482758623,0.851145295640297
IBDD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.590142418645139,0.7659804700185674,0.5336001719788523,0.6723060335833836,3021,14,172,0.2222222222222222,1.0,1.0,0.0,0.3190183754880191,0.4500606491842367,0.1813118725393574,0.05430758168199107,True,20,0.11349437920595229,0.04502923976608188,0.5,1.0,0.09961089845761072,0.7857142857142856,0.7995211066466084,0.792617696180447,0.8333333333333333,0.7995211066466084
IBDD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.247483773877522,-0.2892911850575264,0.7170021488054606,0.8844751196311009,2080,15,913,0.1136363636363637,1.0,1.0,0.3394954230160151,0.255695067580343,0.36641726412179243,0.08987273702782206,0.016940823240558595,True,20,0.05166844480183096,0.02532894736842105,0.8,1.0,0.04738676225894792,0.948717948717949,0.8864094707669026,0.9175637097424258,0.9545454545454548,0.924972935539506
