detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
D3,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.41286786775064066,0.5559730907935394,0.7151558829733177,0.8424406305657595,3151,4,87,0.7826086956521737,1.0,1.0,0.6242893948718746,0.002088941735325238,0.0041010170276352615,0.1102578808301822,0.050032655146200436,True,20,0.09562677571091584,0.030813953488372087,1.0,1.0,0.10203739718330188,0.0,1.0,0.5,0.7826086956521737,1.0
D3,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5725775253886496,0.7276604870012305,0.6189915882461721,0.7818460559543452,1362,21,100,0.2058823529411763,1.0,1.0,0.0212540825291768,-0.02305168910189074,-0.03342882358047497,0.1348531949229205,0.019939242694597417,True,20,0.05129170637477328,0.07474747474747473,0.2,0.65,0.05137325764191048,0.8888888888888887,0.9566590870771878,0.9227739879830383,0.9117647058823528,0.9575802584173392
D3,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5027186586276019,0.6675526228503952,0.6253295820016502,0.7957431994332991,2193,13,44,0.1944444444444445,1.0,1.0,0.0,-0.1474549537330309,-0.21246064477163776,0.16372811041692728,0.04243045482946853,True,20,0.11922664024692989,0.15348837209302324,0.0,0.25,0.11421902425698516,0.8275862068965519,0.9361151919122714,0.8818506994044117,0.8611111111111113,0.9361151919122714
D3,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5874507215705812,0.758943471999535,0.6050191545107476,0.7813365515447935,2018,19,216,0.1549295774647887,1.0,1.0,0.5932337400662006,0.03742884394360865,0.05337579798317898,0.0625579509694216,0.013366519797991284,True,20,0.02795827022683569,0.018139534883720932,1.0,1.0,0.03362779642856801,1.0,1.0,1.0,1.0,1.0
D3,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7074617210777352,0.8698069371049348,0.73007848005794,0.884611127677879,3646,14,163,0.108108108108108,1.0,1.0,0.576404595172558,-0.005638779430831752,-0.007691620630232015,0.11057101417226627,0.01573979701593968,True,20,0.0526909284515046,0.01820987654320988,1.0,1.0,0.050705358238651625,0.9393939393939396,1.0,0.9696969696969697,0.945945945945946,1.0
D3,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6622051811166617,0.8234764421085876,0.1859462563488566,0.26515449099213384,1862,20,173,0.0576923076923076,1.0,1.0,0.1299270154231833,0.09001938498170738,0.12784602586273633,0.16538419480109617,0.020380280736745665,True,20,0.06394452597243006,0.015988372093023256,1.0,1.0,0.05264394792023528,0.9387755102040818,0.8625493735252228,0.9006624418646523,0.9423076923076924,0.8804079231911374
IBDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.06851607616192236,0.1054810092074741,0.7568535670810791,0.9040332421506307,3035,7,383,0.6785714285714283,1.0,1.0,0.6419656258679005,0.5796973337202153,0.7274636874529341,0.12326921111912696,0.06929120997733876,True,20,0.19597876158700628,0.04410994764397906,0.65,0.95,0.1379001327087886,0.33333333333333354,1.0,0.6666666666666667,0.7857142857142856,1.0
IBDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.40326438109012547,0.5707419412188282,0.7580704516346893,0.9194450500042008,1324,17,154,0.0689655172413793,1.0,1.0,0.2197013291513858,0.3545583520344037,0.49601824146587814,0.18705915208394025,0.05165360756636775,True,20,0.05191849255942016,0.0238562091503268,0.85,1.0,0.06786018342569333,0.7407407407407409,0.8092336820235564,0.7749872113821487,0.7586206896551726,0.851145295640297
IBDD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.4960260603837806,0.6727890743716675,0.45092962375079426,0.6050952858980156,3021,14,172,0.2222222222222222,1.0,1.0,0.0,0.18333258991624715,0.2614703662425637,0.1759320611260481,0.04892777026868175,True,20,0.1116174085857983,0.03888888888888888,0.65,1.0,0.09558152521632515,0.6785714285714283,1.0,0.8392857142857142,0.7499999999999998,1.0
IBDD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.01199092983202979,0.015446235380810877,0.6914554386403594,0.8663874148018026,2080,15,913,0.1136363636363637,1.0,1.0,0.3394954230160151,0.43537705863762677,0.5925138447541698,0.09946617234705123,0.026534258559787763,True,20,0.06315633837492672,0.16052631578947368,0.5,0.55,0.04625444183231094,0.948717948717949,0.7698226700254109,0.85927030937168,0.9545454545454548,0.847966820033831
