detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.161294317525663,6,0.24246119213030978,6,0.225,6,0.375,6,0.09858749665774331,6,0.975925925925926,6,0.851963310837596,6,0.9139446183817611,6,0.12817310611967736,6,0.04011086770572139,6,0.1403948115550521,6,0.19798663211488687,6,0.30352024535168015,6,0.43472562181239643,6,,0,,0,,0,,0
CDBD,0.27431609166066934,6,0.19498185204937898,6,0.2916666666666667,6,0.43333333333333335,6,0.16459392628392613,6,0.6701336675020886,6,0.7871766820341688,6,0.7286551747681287,6,0.12247203909108473,6,0.08853522378497015,6,0.2159063996747721,6,0.31035909897542074,6,0.19347338195678468,6,0.276544067277732,6,,0,,0,,0,,0
CSDDM,0.1349016882961462,6,0.2625706255057281,6,0.16666666666666666,6,0.25,6,0.07951530870596256,6,0.8692129629629631,6,0.8904694237662993,6,0.879841193364631,6,0.11642206906390508,6,0.034010684622704505,6,-0.03266214942842917,6,-0.051034974543537004,6,0.4415684790818207,6,0.5890149170421465,6,,0,,0,,0,,0
D3,0.15412101337361234,6,0.25471198853304794,6,0.19999999999999998,6,0.3583333333333334,6,0.10759941716454062,6,0.773143271008624,6,0.9148767378727739,6,0.844010004440699,6,0.14317446597069208,6,0.045597233322046904,6,-0.041870685165464196,6,-0.06098277193556825,6,0.42263555189282814,6,0.571777169555789,6,,0,,0,,0,,0
DAWIDD,0.086190177123383,6,0.166237468402843,6,0.3833333333333333,6,0.5166666666666667,6,0.06777383329446353,6,0.5809523809523809,6,0.9813678351471915,6,0.7811601080497862,6,0.16155635612601366,6,0.04036747490908487,6,-0.15338772834558512,6,-0.2208456740618555,6,0.4190544824844029,6,0.5834340418703249,6,,0,,0,,0,,0
IBDD,0.1403259498326779,6,0.13457855470523794,6,0.5499999999999999,6,0.6416666666666667,6,0.08540737348294987,6,0.8684371184371186,6,0.8892986581115853,6,0.8788678882743518,6,0.14794813336565107,6,0.0387886611131993,6,0.20112224066635706,6,0.27201827633020703,6,0.4001692335197132,6,0.5412319720100156,6,,0,,0,,0,,0
OCDD,0.14455482248510965,6,0.21881819488983825,6,0.2333333333333333,6,0.4166666666666667,6,0.08229141543907119,6,0.8164300130763547,6,0.924086455043088,6,0.8702582340597212,6,0.1197570251673896,6,0.0429574374663374,6,0.11238698855410922,6,0.1507596346100116,6,0.37494686085403,6,0.52214846544029,6,,0,,0,,0,,0
PCACD,0.2055209403660505,6,0.18045304308939017,6,0.48333333333333334,6,0.6416666666666666,6,0.05570868610210186,6,0.8675213675213675,6,0.9265483098269659,6,0.8970348386741668,6,0.08362993434194553,6,0.02268532824242953,6,-0.04518482265279225,6,-0.07596261381968551,6,0.3356039457083642,6,0.46087213006688205,6,,0,,0,,0,,0
SPLL,0.2543376947814409,6,0.2852166066724368,6,0.18333333333333335,6,0.30833333333333335,6,0.11516251135516248,6,0.814964157706093,6,0.6029423778074774,6,0.7089532677567852,6,0.12469268830325442,6,0.054668927226064395,6,0.2090236171464023,6,0.29796823649088927,6,0.3002382194299477,6,0.417033492958982,6,,0,,0,,0,,0
UDetect,0.10820988974199565,6,0.15558715398329523,6,0.35000000000000003,6,0.5666666666666667,6,0.06871050381313287,6,0.8167953667953669,6,0.9286307343603717,6,0.8727130505778694,6,0.14727014667967064,6,0.0326601654272484,6,-0.10869579652533368,6,-0.15290329180873127,6,0.4246458327492732,6,0.5788820627557424,6,,0,,0,,0,,0
