detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.1744196381462461,6,0.2446409418468242,6,0.20833333333333334,6,0.4083333333333334,6,0.100116121792561,6,0.819992679112176,6,0.9050439037721271,6,0.8625182914421515,6,0.13756430616672366,6,0.0495020677527677,6,0.13914774612627986,6,0.1929766594538128,6,0.40320498354409956,6,0.542881061089716,6,,0,,0,,0,,0
CDBD,0.24535596713874433,6,0.18600421051834473,6,0.2833333333333334,6,0.5,6,0.06856835085798337,6,0.8773809523809524,6,0.8493386357414036,6,0.863359794061178,6,0.06791814636117359,6,0.03398133105505904,6,0.2629959828493598,6,0.3733798655841847,6,0.20661254760903888,6,0.28557912184416395,6,,0,,0,,0,,0
CSDDM,0.14563298489423285,6,0.2832481549404979,6,0.15833333333333335,6,0.3416666666666666,6,0.08283799818161108,6,0.8843995510662177,6,0.8916923663949707,6,0.8880459587305943,6,0.11829164269992436,6,0.03588025825872379,6,-0.040684264655200475,6,-0.05899472012112455,6,0.5158569111797584,6,0.6615964596133621,6,,0,,0,,0,,0
D3,0.15014997752408038,6,0.23484766919844438,6,0.3,6,0.4833333333333334,6,0.0892182155420941,6,0.7706364015477315,6,0.9108001491057175,6,0.8407182753267245,6,0.13585084853547055,6,0.03827361588682538,6,-0.014500128771839316,6,-0.0233703838917296,6,0.44639377856419893,6,0.5872249998621365,6,,0,,0,,0,,0
DAWIDD,0.09622179044966357,6,0.17520639849453304,6,0.325,6,0.4916666666666667,6,0.09172488200268936,6,0.514814814814815,6,0.9853779193019875,6,0.7500963670584011,6,0.17763214933314012,6,0.05644326811621134,6,-0.17273788913791402,6,-0.2486694229772022,6,0.4132271654400337,6,0.5771630637046562,6,,0,,0,,0,,0
IBDD,0.13906321788621342,6,0.13495075709472765,6,0.45,6,0.6333333333333333,6,0.10334725572105485,6,0.7624372541039208,6,0.8984278054388564,6,0.8304325297713886,6,0.15869987823209694,6,0.04954040597964517,6,0.26320240088344327,6,0.3455094989177465,6,0.41682451032596685,6,0.5496620852115407,6,,0,,0,,0,,0
OCDD,0.19551086692300512,6,0.2698840885979374,6,0.21666666666666667,6,0.4083333333333334,6,0.10753358388700535,6,0.7775455104821746,6,0.8899866922166219,6,0.8337661013493983,6,0.13396012444606087,6,0.057160536745008705,6,0.04379941771693269,6,0.050764835637994526,6,0.4685111778098768,6,0.6130435650509457,6,,0,,0,,0,,0
PCACD,0.27417036644688547,6,0.27431068075529946,6,0.3916666666666666,6,0.5083333333333333,6,0.07039572416164622,6,0.873931623931624,6,0.9217177849490232,6,0.8978247044403235,6,0.0884497513836306,6,0.027505145284114612,6,-0.09277813808680348,6,-0.13301446925139684,6,0.390904347699647,6,0.5193300856355675,6,,0,,0,,0,,0
SPLL,0.20681253590852236,6,0.24132984737491536,6,0.2833333333333334,6,0.425,6,0.07234504371730648,6,0.8401493428912783,6,0.8173361551901682,6,0.8287427490407233,6,0.10300020028506614,6,0.032976439207876136,6,0.3026041297644621,6,0.41418831781248006,6,0.3773904333602062,6,0.4988886705635264,6,,0,,0,,0,,0
UDetect,0.09508655183338656,6,0.129312088234352,6,0.3666666666666667,6,0.6166666666666667,6,0.06934856074244829,6,0.8863997113997115,6,0.9476179976792882,6,0.9170088545394997,6,0.1438065148499952,6,0.02919653359757297,6,-0.09945043806805343,6,-0.14079489093809608,6,0.464548108890602,6,0.6025691112165532,6,,0,,0,,0,,0
