detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.08174374429850498,6,0.11797370113546583,6,0.28333333333333327,6,0.6,6,0.1478454925052248,6,0.4532844164919636,6,0.9172550917579555,6,0.6852697541249597,6,0.2176988142360998,6,0.12963657582214383,6,0.2873184821403012,6,0.39901590494598665,6,0.3299715121444447,6,0.47137624707158093,6,,0,,0,,0,,0
CDBD,0.2676256141151749,6,0.17810333785182197,6,0.35000000000000003,6,0.5416666666666666,6,0.10230607835832566,6,0.5031746031746033,6,0.845556551065556,6,0.6743655771200796,6,0.09900701359492435,6,0.0650701982888098,6,0.3614962716575443,6,0.5013332484270413,6,0.3384025420936658,6,0.4706423244076947,6,,0,,0,,0,,0
CSDDM,0.07962421347721825,6,0.15527298501612044,6,0.225,6,0.47500000000000003,6,0.15255620251437263,6,0.5081369248035914,6,0.9116083175823974,6,0.7098726211929943,6,0.20239766656291078,6,0.11998628212171021,6,0.16219896645516088,6,0.21871763941939537,6,0.1473269901831261,6,0.2128499734704261,6,,0,,0,,0,,0
D3,0.12684750490294475,6,0.1805251263713796,6,0.26666666666666666,6,0.5499999999999999,6,0.18879634621166907,6,0.3977447474984421,6,0.9391088215971144,6,0.6684267845477784,6,0.2323555419704765,6,0.13477830932183135,6,0.14608296051760786,6,0.20181525810676096,6,0.09322234804142793,6,0.13784876649060626,6,,0,,0,,0,,0
DAWIDD,0.07808043176717502,6,0.06641413184528917,6,0.6166666666666666,6,0.8166666666666668,6,0.39050699489771806,6,0.0,6,0.9942988048441185,6,0.49714940242205924,6,0.3622225131470435,6,0.24103363193011473,6,0.4570558805380125,6,0.6350535994030396,6,0.3183564188920545,6,0.4294076392600337,6,,0,,0,,0,,0
IBDD,0.10095788947592575,6,0.04979775512709198,6,0.7083333333333334,6,0.8583333333333334,6,0.0964767218521882,6,0.6618564306064306,6,0.9564876657034987,6,0.8091720481549647,6,0.16466624907700061,6,0.055506776824548826,6,0.33447727905858077,6,0.4679094247911786,6,0.35019863281521496,6,0.48488282534353977,6,,0,,0,,0,,0
OCDD,0.07202990802086623,6,0.1061055816991265,6,0.40833333333333327,6,0.6666666666666666,6,0.17181229649086058,6,0.444214727542324,6,0.9486088085267327,6,0.6964117680345283,6,0.219031433127449,6,0.1422318454263968,6,0.38461987661331104,6,0.5024880365777412,6,0.41228954854435923,6,0.5626235833277621,6,,0,,0,,0,,0
PCACD,0.04940938550856861,6,0.04938042024674796,6,0.6833333333333332,6,0.85,6,0.26324810991131375,6,0.1676769477625245,6,0.9659047735023666,6,0.5667908606324455,6,0.29349226686686514,6,0.23254766076734915,6,0.678754215525862,6,0.8503323659090368,6,0.6931444537109881,6,0.8627479342315431,6,,0,,0,,0,,0
SPLL,0.21858342985314824,6,0.2136367085235837,6,0.2833333333333333,6,0.4166666666666667,6,0.14831421924612087,6,0.706636798088411,6,0.4570144094689697,6,0.5818256037786903,6,0.15456483121067208,6,0.08454107013348207,6,0.39491864311010105,6,0.5334915690223084,6,0.39889985799915767,6,0.5325790385360855,6,,0,,0,,0,,0
UDetect,0.03866043443733574,6,0.032528427387656926,6,0.7583333333333333,6,0.9666666666666668,6,0.4678588112470468,6,0.0,6,0.9595863342004213,6,0.47979316710021064,6,0.3921183995359834,6,0.27750841828356115,6,0.4751358062834868,6,0.6507936724452955,6,0.46445857414249786,6,0.6436189937573812,6,,0,,0,,0,,0
