detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
D3,Electricity,distance,distance_I,not_applicable,distance_I,-0.04589195295246226,-0.06915983644815063,,,,,3151,4,87,0.7826086956521737,1.0,1.0,0.6242893948718746,0.19250741227748774,0.2712419928011779,0.11517056302386797,0.0549453373398862,True,20,0.19153023663909627,0.0738372093023256,0.25,0.9,0.1282296652940981,0.0,1.0,0.5,0.7826086956521737,1.0
D3,ForestCovertype,distance,distance_I,not_applicable,distance_I,0.06138230978166755,0.1011653056394373,,,,,1362,21,100,0.2058823529411763,1.0,1.0,0.0212540825291768,-0.09713375996555934,-0.14570619356582737,0.2330018646244455,0.11808791239612242,True,20,0.08245489485292332,0.19444444444444448,0.15,0.45,0.18276696580163268,0.48148148148148145,0.9527936082648717,0.7171375448731766,0.588235294117647,0.9537969368107148
D3,GasSensor,distance,distance_I,not_applicable,distance_I,-0.11197006853265132,-0.15636347703913156,,,,,2193,13,44,0.1944444444444445,1.0,1.0,0.0,-0.09050430819575375,-0.1196133328160606,0.2866672333522944,0.16536957776483563,True,20,0.19202201456103155,0.3081395348837209,0.0,0.05,0.2581729452935867,0.3103448275862069,0.9361151919122714,0.6232300097492391,0.4444444444444445,0.9361151919122714
D3,PokerHand,distance,distance_I,not_applicable,distance_I,0.13992440271934192,0.2057966963284725,,,,,2018,19,216,0.1549295774647887,1.0,1.0,0.5932337400662006,0.29988549324814673,0.4277869755878121,0.07037000316597805,0.021178571994547736,True,20,0.07260942813843135,0.06744186046511627,0.3,0.9,0.05665487164724223,0.9833333333333334,0.917687853563672,0.9505105934485027,0.9859154929577464,0.9665181960469716
D3,RialtoBridgeTimelapse,distance,distance_I,not_applicable,distance_I,0.2962321753330724,0.42968979985401196,,,,,3646,14,163,0.108108108108108,1.0,1.0,0.576404595172558,0.316594719413197,0.44939040982736306,0.1254805178628346,0.03064930070650801,True,20,0.05524430819591049,0.03827160493827161,0.7,0.95,0.07059987134934052,0.8787878787878787,1.0,0.9393939393939393,0.8918918918918918,1.0
D3,SensorStream,distance,distance_I,not_applicable,distance_I,-0.26547634277049476,-0.3911583215354994,,,,,1862,20,173,0.0576923076923076,1.0,1.0,0.1299270154231833,-0.33120562860204306,-0.4719905134496607,0.41446458632013033,0.26946067225577985,True,20,0.2223039358434195,0.41482558139534886,0.35,0.4,0.32441820425280776,0.12244897959183673,1.0,0.5612244897959183,0.173076923076923,1.0
IBDD,Electricity,distance,distance_I,not_applicable,distance_I,0.5539856611143604,0.7260490478288382,,,,,3035,7,383,0.6785714285714283,1.0,1.0,0.6419656258679005,0.5189700684461225,0.6760855102079533,0.12326921111912696,0.06929120997733876,True,20,0.17220335361995226,0.031151832460732977,0.8,1.0,0.1379001327087886,0.33333333333333354,1.0,0.6666666666666667,0.7857142857142856,1.0
IBDD,ForestCovertype,distance,distance_I,not_applicable,distance_I,0.38017615067838467,0.5248594171172248,,,,,1324,17,154,0.0689655172413793,1.0,1.0,0.2197013291513858,0.31258471936970766,0.45495479079273415,0.18862366428817784,0.05321811977060534,True,20,0.06786391458900133,0.03104575163398693,0.7,0.95,0.07070416365218204,0.7037037037037039,1.0,0.851851851851852,0.724137931034483,1.0
IBDD,GasSensor,distance,distance_I,not_applicable,distance_I,0.05519820388805061,0.06566234181052086,,,,,3021,14,172,0.2222222222222222,1.0,1.0,0.0,0.18601363916880814,0.26908484819516093,0.1940631883809125,0.06705889752354616,True,20,0.1288189480903319,0.1154970760233918,0.55,0.75,0.11795661730721882,0.6071428571428569,1.0,0.8035714285714284,0.6944444444444442,1.0
IBDD,PokerHand,distance,distance_I,not_applicable,distance_I,0.3454603003985204,0.47983935183965687,,,,,2080,15,913,0.1136363636363637,1.0,1.0,0.3394954230160151,0.3668052898348902,0.5082324652456182,0.07572481577204238,0.0027929019847789116,True,20,0.030327784811496943,0.004385964912280702,0.95,1.0,0.013342903804435865,0.9743589743589749,0.9911056429470795,0.9827323086530272,0.9772727272727276,0.9941252364572162
IBDD,RialtoBridgeTimelapse,distance,distance_I,not_applicable,distance_I,0.37611717898317776,0.5312278978979127,,,,,2927,16,284,0.1428571428571428,1.0,1.0,0.2418936600596047,0.3992176221027811,0.5591060328023784,0.14564077036820908,0.04144233524237566,True,20,0.10416354865294675,0.027561837455830386,0.85,1.0,0.0771240710261191,0.7666666666666668,1.0,0.8833333333333334,0.8000000000000002,1.0
