detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.08290005225517733,6,0.14162462129373893,6,0.25833333333333336,6,0.5,6,0.14932431115070977,6,0.48412032877441674,6,0.8464918146914444,6,0.6653060717329305,6,0.21389690193066926,6,0.1258346635167133,6,0.3203485675618994,6,0.44823052687240145,6,0.3542339598448841,6,0.5033003936724803,6,,0,,0,,0,,0
CDBD,0.2928071134891376,6,0.20718146363861137,6,0.3,6,0.45,6,0.17824859580287278,6,0.561215538847118,6,0.6736884448803,6,0.6174519918637089,6,0.13520950664925727,6,0.10127269134314269,6,0.35666571356843363,6,0.49504566716525317,6,0.33891922243331024,6,0.4715840037623509,6,,0,,0,,0,,0
CSDDM,0.08841605617597119,6,0.17870847426055536,6,0.15833333333333335,6,0.38333333333333336,6,0.14248261800808537,6,0.5689008136924804,6,0.9088044823729033,6,0.7388526480326917,6,0.19086637779738788,6,0.10845499335618732,6,0.14611635003649193,6,0.1985954879404945,6,0.1499362934861754,6,0.21788332997486204,6,,0,,0,,0,,0
D3,0.13602746970513543,6,0.1828267059048713,6,0.2916666666666667,6,0.6083333333333333,6,0.17014042060645132,6,0.4627327501301229,6,0.9677661089568025,6,0.7152494295434627,6,0.20752579472492516,6,0.10994856207627997,6,0.04835732136257923,6,0.06851822306413406,6,0.012366753929745594,6,0.01999502779985669,6,,0,,0,,0,,0
DAWIDD,0.08099354095158197,6,0.05886352161291783,6,0.5916666666666667,6,0.8166666666666668,6,0.25073519424650764,6,0.187962962962963,6,0.9942988048441185,6,0.5911308839035407,6,0.2862369553664231,6,0.16504807414949432,6,0.42647509392946487,6,0.5971359790898283,6,0.291845417227698,6,0.39938218709998324,6,,0,,0,,0,,0
IBDD,0.09809270778432111,6,0.04929226226622232,6,0.7083333333333334,6,0.8833333333333333,6,0.09012669468113114,6,0.6648953669787004,6,0.9447073879996878,6,0.8048013774891941,6,0.16533359374304163,6,0.05617412149058983,6,0.3703665519683315,6,0.5110466252192912,6,0.34978136042788727,6,0.4788158238280607,6,,0,,0,,0,,0
OCDD,0.06974779796806399,6,0.11896483380397167,6,0.375,6,0.6666666666666669,6,0.18752326677769227,6,0.40261268039592196,6,0.9513071798850902,6,0.676959930140506,6,0.2325114570507543,6,0.15571186934970216,6,0.3931849495236484,6,0.5158348215687448,6,0.43000742457169405,6,0.5840733044393488,6,,0,,0,,0,,0
PCACD,0.055524507838152236,6,0.05771447166622228,6,0.6749999999999999,6,0.8250000000000001,6,0.25324118694923164,6,0.19148647157204832,6,0.9606170158364465,6,0.5760517437042475,6,0.28389413948449777,6,0.2229495333849818,6,0.6853458805461008,6,0.8531172339061848,6,0.6986371108904356,6,0.8653233808902586,6,,0,,0,,0,,0
SPLL,0.21172960466093763,6,0.20957866192224342,6,0.2833333333333333,6,0.4166666666666667,6,0.14748923893641527,6,0.6957048984468339,6,0.4570144094689697,6,0.5763596539579018,6,0.15613290718167505,6,0.08610914610448506,6,0.421708326824064,6,0.5588408948735731,6,0.4395970926434738,6,0.5767544968678276,6,,0,,0,,0,,0
UDetect,0.038159902055060695,6,0.030782635754179565,6,0.7666666666666666,6,0.975,6,0.4678119835219084,6,0.0,6,0.9604760609780518,6,0.4802380304890259,6,0.39211586953403305,6,0.2775058882816109,6,0.4824515877703261,6,0.6616915585893969,6,0.4786424960173006,6,0.6573693285251004,6,,0,,0,,0,,0
