detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.15942253125966802,6,0.22907208940297177,6,0.20833333333333334,6,0.425,6,0.0935085863571015,6,0.8408921500116469,6,0.8966150663414756,6,0.8687536081765614,6,0.13527676704651603,6,0.04721452863256007,6,0.16210140462260572,6,0.22268594695515134,6,0.37249687941292486,6,0.5056678766236201,6,,0,,0,,0,,0
CDBD,0.2553375508454371,6,0.18172117620217484,6,0.2833333333333334,6,0.5083333333333333,6,0.05806365023299128,6,0.8773809523809524,6,0.8601372363915938,6,0.868759094386273,6,0.06417393947885448,6,0.030237124172739927,6,0.2985075135316696,6,0.42138250461241195,6,0.24233681905597937,6,0.3344111440786204,6,,0,,0,,0,,0
CSDDM,0.13103111611112078,6,0.25054477937357383,6,0.20000000000000004,6,0.35000000000000003,6,0.0714422905051005,6,0.8885030864197532,6,0.9060038668820547,6,0.8972534766509038,6,0.11223738577165578,6,0.029826001330455227,6,-0.0353516944457166,6,-0.051612663842082324,6,0.49374378417491044,6,0.6435521064280892,6,,0,,0,,0,,0
D3,0.14641859041743535,6,0.22629669868364957,6,0.2833333333333334,6,0.4333333333333333,6,0.08444105639965686,6,0.761494213382555,6,0.8791335724477444,6,0.8203138929151494,6,0.1368426183051444,6,0.039265385656499244,6,-0.016118159499129103,6,-0.026809717010697228,6,0.42457613681045164,6,0.5625069870491898,6,,0,,0,,0,,0
DAWIDD,0.08409354462829387,6,0.14692870720721754,6,0.3583333333333334,6,0.525,6,0.0933310922253975,6,0.5532407407407408,6,0.9927816862897613,6,0.773011213515251,6,0.1744382219215808,6,0.053249340704652,6,-0.13586463468888635,6,-0.19685990027496467,6,0.34668600776008224,6,0.4916541939873382,6,,0,,0,,0,,0
IBDD,0.1392335363333071,6,0.1408077533906175,6,0.4416666666666667,6,0.6666666666666666,6,0.10479216648115046,6,0.7521672771672773,6,0.8865967460143906,6,0.8193820115908338,6,0.15996984843239628,6,0.050810376179944515,6,0.26801999685638983,6,0.3479906634544403,6,0.4221846718891664,6,0.5548970805826264,6,,0,,0,,0,,0
OCDD,0.17002902678403395,6,0.25251893844761825,6,0.25833333333333336,6,0.425,6,0.09555558319656149,6,0.7869868952186027,6,0.8783577888431454,6,0.832672342030874,6,0.1274754567476463,6,0.05067586904659413,6,0.08814071763083793,6,0.11244963430859263,6,0.4342266589783059,6,0.5781650693954457,6,,0,,0,,0,,0
PCACD,0.22053705387477385,6,0.20465318252333187,6,0.5166666666666667,6,0.6333333333333333,6,0.04917944063323381,6,0.873931623931624,6,0.9242013021515253,6,0.8990664630415747,6,0.08204106198734047,6,0.02109645588782447,6,0.13802787730281593,6,0.17663691846522325,6,0.341122066469789,6,0.45608178075141864,6,,0,,0,,0,,0
SPLL,0.2023021376090112,6,0.23428149359035677,6,0.27499999999999997,6,0.4166666666666667,6,0.09058513743362168,6,0.8401493428912783,6,0.6997915997040082,6,0.7699704712976433,6,0.12304184893266322,6,0.05301808785547322,6,0.3415281586208318,6,0.46345415087674646,6,0.3941800460693439,6,0.5226145028299097,6,,0,,0,,0,,0
UDetect,0.08561216144651525,6,0.12403682990131752,6,0.4166666666666667,6,0.6000000000000001,6,0.05988641927567944,6,0.8775974025974026,6,0.9541220803304,6,0.9158597414639013,6,0.14206300622692467,6,0.027453024974502412,6,-0.0886593958965185,6,-0.12910288307054585,6,0.3836252383385637,6,0.5085177604822494,6,,0,,0,,0,,0
