detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,preference_regions_enabled,n_preference_regions,preference_accuracy_weights,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,kendall_internal_target_WACC_0p1_WRT_0p9,spearman_internal_target_WACC_0p1_WRT_0p9,kendall_internal_target_WACC_0p3_WRT_0p7,spearman_internal_target_WACC_0p3_WRT_0p7,kendall_internal_target_WACC_0p5_WRT_0p5,spearman_internal_target_WACC_0p5_WRT_0p5,kendall_internal_target_WACC_0p7_WRT_0p3,spearman_internal_target_WACC_0p7_WRT_0p3,kendall_internal_target_WACC_0p9_WRT_0p1,spearman_internal_target_WACC_0p9_WRT_0p1,kendall_internal_target,spearman_internal_target,n_selected_from_WACC_0p1_WRT_0p9_at_20,n_selected_from_WACC_0p3_WRT_0p7_at_20,n_selected_from_WACC_0p5_WRT_0p5_at_20,n_selected_from_WACC_0p7_WRT_0p3_at_20,n_selected_from_WACC_0p9_WRT_0p1_at_20,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20,kendall_pareto_best_region,spearman_pareto_best_region,kendall_pareto_WACC_0p1_WRT_0p9,spearman_pareto_WACC_0p1_WRT_0p9,kendall_pareto_WACC_0p3_WRT_0p7,spearman_pareto_WACC_0p3_WRT_0p7,kendall_pareto_WACC_0p5_WRT_0p5,spearman_pareto_WACC_0p5_WRT_0p5,kendall_pareto_WACC_0p7_WRT_0p3,spearman_pareto_WACC_0p7_WRT_0p3,kendall_pareto_WACC_0p9_WRT_0p1,spearman_pareto_WACC_0p9_WRT_0p1
D3,Electricity,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6537348855506249,0.8153414128692608,0.28072441515256885,0.3903446676374343,0.24383025607488779,0.3619924795154649,0.40567563944139556,0.567751422977044,0.31512719923816135,0.4583078857140257,0.3798184790915277,0.5187475737426459,4,4,4,4,4,3151,4,87,0.7826086956521737,1.0,1.0,0.6242893948718746,-0.0030639826273366035,-0.00893317019561104,0.09875655028725012,0.03853132460326836,True,20,0.16011229309643946,0.12848837209302327,0.25,0.45,0.09302693868896275,0.1999999999999997,1.0,0.5999999999999999,0.8260869565217389,1.0,-0.0964637050496564,-0.1349259395361758,0.3722629197045209,0.488247934401997,0.27496351636445066,0.3752663571116142,0.017010360072753444,0.01626243086516187,-0.32298294637114966,-0.4448329243953638,-0.3565737629072584,-0.4796096489614644
D3,ForestCovertype,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6091047341420874,0.776810610913248,0.6067350211164448,0.7805808660645391,0.5227138027181853,0.7156430030259143,0.5897197046372412,0.7712405368127325,0.5493957354467996,0.7222799134715262,0.5755337996121517,0.7533109860575921,4,4,4,4,4,1362,21,100,0.2058823529411763,1.0,1.0,0.0212540825291768,-0.09673106538404022,-0.1391700411414151,0.14395587138858693,0.029041919160263843,True,20,0.07673564009384425,0.14393939393939395,0.2,0.3,0.06966507838530255,0.8518518518518521,0.9310301117269991,0.8914409817894255,0.8823529411764708,0.9324960034243815,0.1555069494634891,0.23527631891534007,0.14493308494144783,0.20954305547987032,-0.041602351124217556,-0.06197118585195672,-0.260586012027948,-0.3719976196026322,-0.16364142284312388,-0.2367108089783478,-0.16275862586635953,-0.23471364675400908
D3,GasSensor,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.49224429433373307,0.6541747530693098,0.117920018272083,0.17160527626140867,0.2839004872792112,0.42131523612810684,0.41639702592439015,0.5882494677373814,0.39163491022952235,0.5577256063900555,0.34041934720778794,0.4786140679172525,4,4,4,4,4,2193,13,44,0.1944444444444445,1.0,1.0,0.0,-0.06668024393772343,-0.09688037327764122,0.17582475171556117,0.054527096128102415,True,20,0.13198595420473397,0.23837209302325585,0.05,0.2,0.11528973649377629,0.689655172413793,0.9361151919122714,0.8128851821630323,0.75,0.9361151919122714,-0.04882038067810342,-0.06881160966747658,0.2449517246695692,0.3330273046417906,0.2525049433066654,0.3457391772789211,-0.26226178811043843,-0.3787069643146027,-0.2743322698299213,-0.38166755148387754,-0.29426382972449194,-0.4027938325104376
D3,PokerHand,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.593839175792956,0.770191390814722,0.3824325294732661,0.5217023915700616,-0.1083863307440249,-0.16305286198356106,-0.11778447528051326,-0.1678833902386343,0.2280792358558939,0.3278181743018818,0.19563602701951557,0.25775514089289403,4,4,4,4,4,2018,19,216,0.1549295774647887,1.0,1.0,0.5932337400662006,-0.014037513272751063,-0.023585046752969685,0.07282458578081992,0.023633154609389605,True,20,0.128463155949127,0.296046511627907,0.25,0.5,0.060605288300635364,1.0,0.8814183903109329,0.9407091951554665,1.0,0.9517650021298486,-0.038530661718390424,-0.05822447206696076,0.3560034902195834,0.49656494486058544,0.19956764795685883,0.2880094607546273,-0.12405767741983405,-0.18358501584857437,-0.2538562694628479,-0.3664869795563811,-0.2478447576575156,-0.35242764397510573
D3,RialtoBridgeTimelapse,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6969674346917649,0.8653875762631128,0.5917627336795793,0.7670417701931911,0.34110641696566246,0.49584564100567735,0.5476717315358195,0.7408157508823346,0.6581607722385531,0.8395260093046548,0.5671338178222759,0.7417233495297941,4,4,4,4,4,3646,14,163,0.108108108108108,1.0,1.0,0.576404595172558,-0.09509134428541195,-0.12924820715614843,0.12770934186770863,0.032878124711382045,True,20,0.24031994562096864,0.3700617283950617,0.3,0.5,0.0951407000892291,0.909090909090909,1.0,0.9545454545454545,0.9189189189189187,1.0,-0.02434337647214164,-0.03953986366601662,0.4896185360595909,0.6490557589885834,0.25019732145159257,0.35641278334122517,-0.3469859190435045,-0.48374216461494757,-0.43823708248104737,-0.5895932220118771,-0.4300495774136914,-0.578374191483726
D3,SensorStream,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.07923043798572106,0.1188546992196283,0.41747786717697677,0.575905092771106,0.5751976028467106,0.7533326153526451,0.6993974790142679,0.8634550135849878,0.7151172726098438,0.8719988205909889,0.497284131926704,0.6367092483038712,4,4,4,4,4,1862,20,173,0.0576923076923076,1.0,1.0,0.1299270154231833,0.18368560361503278,0.24453045291934025,0.20065668526930375,0.05565277120495324,True,20,0.13618496826688203,0.1752906976744186,0.65,0.7,0.0791666056085952,0.9183673469387754,0.6392617693969345,0.7788145581678549,0.923076923076923,0.6861314110482308,0.10190771804473964,0.1465785492503201,-0.4414443616993127,-0.6066527375391747,0.007710251313827829,-0.019207904474547868,0.4350783013109853,0.5986005591357414,0.4562014672524333,0.621003260106708,0.4608823598972301,0.6289090873679745
IBDD,Electricity,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.7564885491265732,0.8961547757707449,0.7417004975741943,0.9033551089327226,0.6652697761573759,0.8530855549082622,0.2712649522357956,0.413091426923087,0.1885972057843947,0.2928997664272378,0.5246641961756666,0.6717173265924109,4,4,4,4,4,3035,7,383,0.6785714285714283,1.0,1.0,0.6419656258679005,0.3941734219350656,0.47293671342664334,0.13817137702666638,0.08419337588487816,True,20,0.20817131854940074,0.06361256544502616,0.6,0.85,0.1660955470748823,0.22222222222222227,1.0,0.6111111111111112,0.7499999999999998,1.0,0.44643213977933827,0.595109788682229,0.7106547178946719,0.8400010194316377,0.679204189759176,0.8364576589138588,0.5968177120738928,0.7746432815464652,0.11498727916178145,0.1293029439843321,-0.13079678921419413,-0.21572133674307706
IBDD,ForestCovertype,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.7548633245786495,0.9170498651543311,0.6729899163035581,0.865484420860207,0.5457667739773403,0.7309414428940634,0.38158150891827936,0.53531605374739,0.39983421168632677,0.5774101178800092,0.5510071470928308,0.7252403801072002,4,4,4,4,4,1324,17,154,0.0689655172413793,1.0,1.0,0.2197013291513858,0.2676717617600349,0.3636899097850497,0.18395638848550705,0.04855084396793455,True,20,0.093546481506626,0.12941176470588237,0.4,0.65,0.07854183096881795,0.777777777777778,0.8092336820235564,0.7935057299006671,0.7931034482758623,0.851145295640297,0.34941445492651546,0.4829929541021456,0.48036511781660834,0.6412953339345728,0.4940292341804881,0.6700629594897197,0.4235142305855846,0.5853564364867823,-0.0084520780193423,-0.0037795400831801633,-0.05109769576316435,-0.07448564090264628
IBDD,GasSensor,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5084096119852948,0.6425800024178638,0.6316579553077791,0.7834817503504388,0.4368383057516139,0.5777795440078031,0.2335822511826825,0.3481460251741353,0.6155815124463585,0.8185829766684181,0.4852139273347458,0.6341140597237318,4,4,4,4,4,3021,14,172,0.2222222222222222,1.0,1.0,0.0,0.18179636047435094,0.23595094477079429,0.17465081153792114,0.047646520680554805,True,20,0.13829558934159356,0.147953216374269,0.4,0.6,0.10920211043483923,0.714285714285714,1.0,0.857142857142857,0.7777777777777776,1.0,0.277860431764086,0.39722910735640893,0.3526129230188666,0.4538190567513089,0.3962043556331407,0.5251629836263493,0.31903566703764824,0.44241146345062904,0.041276997181999314,0.05124757583429221,-0.2001481404999001,-0.29288635580860806
IBDD,PokerHand,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.7042826906391094,0.8751883756561749,0.718304175668642,0.8893847683009889,0.6646954447409783,0.8529856956682782,0.07030306732233903,0.07558065038261114,-0.23349084153298538,-0.3072850627623976,0.3848189073676167,0.4771708854491311,4,4,4,4,4,2080,15,913,0.1136363636363637,1.0,1.0,0.3394954230160151,0.31138333495870024,0.3743277813874036,0.09081471290299985,0.017882799115736384,True,20,0.09909525538275951,0.18453947368421053,0.55,0.6,0.05628912457584861,0.9743589743589749,0.8864094707669026,0.9303842225629387,0.9772727272727276,0.924972935539506,0.16944537372788293,0.24828431613303284,0.6818725816279805,0.8526008886378457,0.693096494127662,0.86440566949764,0.6472346696030726,0.8352203614388172,0.03717041833719172,0.024106817416933775,-0.5024574889024057,-0.7046948300542192
