detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,preference_regions_enabled,n_preference_regions,preference_accuracy_weights,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,kendall_internal_target_WACC_0p1_WRT_0p9,spearman_internal_target_WACC_0p1_WRT_0p9,kendall_internal_target_WACC_0p3_WRT_0p7,spearman_internal_target_WACC_0p3_WRT_0p7,kendall_internal_target_WACC_0p5_WRT_0p5,spearman_internal_target_WACC_0p5_WRT_0p5,kendall_internal_target_WACC_0p7_WRT_0p3,spearman_internal_target_WACC_0p7_WRT_0p3,kendall_internal_target_WACC_0p9_WRT_0p1,spearman_internal_target_WACC_0p9_WRT_0p1,kendall_internal_target,spearman_internal_target,n_selected_from_WACC_0p1_WRT_0p9_at_20,n_selected_from_WACC_0p3_WRT_0p7_at_20,n_selected_from_WACC_0p5_WRT_0p5_at_20,n_selected_from_WACC_0p7_WRT_0p3_at_20,n_selected_from_WACC_0p9_WRT_0p1_at_20,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20,kendall_pareto_best_region,spearman_pareto_best_region,kendall_pareto_WACC_0p1_WRT_0p9,spearman_pareto_WACC_0p1_WRT_0p9,kendall_pareto_WACC_0p3_WRT_0p7,spearman_pareto_WACC_0p3_WRT_0p7,kendall_pareto_WACC_0p5_WRT_0p5,spearman_pareto_WACC_0p5_WRT_0p5,kendall_pareto_WACC_0p7_WRT_0p3,spearman_pareto_WACC_0p7_WRT_0p3,kendall_pareto_WACC_0p9_WRT_0p1,spearman_pareto_WACC_0p9_WRT_0p1
D3,Electricity,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.7081601847161129,0.8494243269046441,0.3535451525981108,0.4818189686897729,0.23578205628470658,0.3233322410361777,0.36055684142680106,0.49260027885330143,0.39595815516370125,0.5334905888231618,0.4108004780378865,0.5361332808614117,4,4,4,4,4,3151,4,87,0.7826086956521737,1.0,1.0,0.6242893948718746,-0.024372237457056432,-0.036866692613008276,0.10887500939984578,0.04864978371586401,True,20,0.17397561599586206,0.1744186046511628,0.25,0.6,0.1285933342358764,0.1999999999999997,1.0,0.5999999999999999,0.8260869565217389,1.0,-0.09723553629301522,-0.13557994136111673,0.3748727770146731,0.49459643445758433,0.2796362346518531,0.3836109885493277,-0.09200338822665237,-0.13099335971071732,-0.33613241694887963,-0.4602204639065425,-0.3482343937762764,-0.4713270624546936
D3,ForestCovertype,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6223520704825656,0.7917298830735211,0.4904261832495112,0.6568133563018592,0.29748534706467566,0.43122295618889234,0.5288278104771051,0.7049201100258636,0.5373595915464642,0.7011745770771209,0.49529020056406436,0.6571721765334514,4,4,4,4,4,1362,21,100,0.2058823529411763,1.0,1.0,0.0212540825291768,-0.07686161027647216,-0.11134313630104065,0.1405967846433699,0.025682832415046805,True,20,0.06806167731754358,0.15,0.25,0.6,0.08296358424376106,0.9259259259259258,0.9566590870771878,0.9412925065015568,0.9411764705882352,0.9575802584173392,0.1670751715697082,0.24882310789891957,0.16219111352415388,0.23538401479658985,-0.018623537206863713,-0.02613096515818178,-0.2317102882559515,-0.3350932611617997,-0.14974715515464063,-0.21759939267451617,-0.1464181842890588,-0.2132760773072954
D3,GasSensor,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6430390695421713,0.8117355619285969,0.3480378163948228,0.48268772335210064,0.2519633581529544,0.36679666499105446,0.4498434237465734,0.6163815047936197,0.4793837463650768,0.6464238691561353,0.4344534828403197,0.5848050648443014,4,4,4,4,4,2193,13,44,0.1944444444444445,1.0,1.0,0.0,-0.056718216295056266,-0.08586146539056413,0.18876931615191736,0.06747166056445861,True,20,0.1429376423349449,0.25930232558139543,0.0,0.1,0.1416826763504002,0.689655172413793,0.9361151919122714,0.8128851821630323,0.75,0.9361151919122714,0.07768425115805024,0.1117417448669044,0.35844103064293786,0.47921727730206376,0.30530242767397525,0.41644279637972975,-0.2650632246265117,-0.3859046205382201,-0.3417287775514651,-0.47397458628734357,-0.3405425376142176,-0.4650881938090504
D3,PokerHand,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6481867145935009,0.827912338264025,0.4307088607008218,0.5895645444190425,-0.16731088703193872,-0.2552347592933993,0.046515564922152614,0.08921064798452116,0.5468056272539228,0.7475519893963399,0.3009811760876918,0.3998009521541059,4,4,4,4,4,2018,19,216,0.1549295774647887,1.0,1.0,0.5932337400662006,-0.05102730709454785,-0.07213360293068019,0.070237511108135,0.02104607993670469,True,20,0.1377884021562426,0.313953488372093,0.15,0.35,0.055132703895588046,1.0,0.917687853563672,0.958843926781836,1.0,0.9665181960469716,0.0226095258944213,0.031120748600857374,0.39048360648288677,0.5407422300643492,0.24299181733408656,0.35199707989662654,-0.19219474045630972,-0.2764032619111539,-0.34696643478345673,-0.48775731102903797,-0.3494507840499461,-0.4892467516741849
D3,RialtoBridgeTimelapse,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.682863680852227,0.8553583202529533,0.5057497764844504,0.6712204332701223,0.3639812128747747,0.526298468612612,0.5119746285227137,0.7122634592936862,0.5903695629586551,0.772266190774417,0.5309877723385642,0.7074813744407582,4,4,4,4,4,3646,14,163,0.108108108108108,1.0,1.0,0.576404595172558,-0.0180297715591503,-0.0318775823286213,0.12375632218032614,0.02892510502399956,True,20,0.1807439695956789,0.24290123456790128,0.35,0.5,0.0820730112336634,0.9393939393939396,1.0,0.9696969696969697,0.945945945945946,1.0,-0.027361909734831588,-0.041790898608372436,0.4662378838109664,0.624772778432501,0.3791494532351235,0.520513103856624,-0.17421380394958197,-0.24736071210941213,-0.37638042957870327,-0.5249599431268939,-0.3849419613135562,-0.5323531386959255
D3,SensorStream,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.15249045258814195,0.21898494608036306,0.2191515472578854,0.3203169698150856,0.40599563047215054,0.5761238693231259,0.6303342399693351,0.8147510938024436,0.6431201505173011,0.8217401560526982,0.4102184041609628,0.5503834070147432,4,4,4,4,4,1862,20,173,0.0576923076923076,1.0,1.0,0.1299270154231833,0.06573522746182082,0.09006211472392656,0.17550083794832175,0.03049692388397124,True,20,0.13425498530733335,0.20232558139534884,0.5,0.6,0.0654146981457081,0.8571428571428571,0.8625493735252228,0.85984611533404,0.8653846153846153,0.8804079231911374,-0.022801768976941982,-0.030611968032237178,-0.4591751562368879,-0.6222065759189319,-0.3365081660579427,-0.4948854600808695,0.2595575847671541,0.3740817434094801,0.432211312555302,0.5970655828493983,0.4325905622814786,0.5962552833605558
IBDD,Electricity,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.598754946620381,0.770815011189098,0.6463876449481454,0.8211592676995375,0.5902418551372862,0.764789838149249,0.227533921119006,0.32508310830156817,0.22671053139858233,0.3154263606017316,0.4579257798446802,0.5994547171882367,4,4,4,4,4,3035,7,383,0.6785714285714283,1.0,1.0,0.6419656258679005,0.31284021497898495,0.39119475446973684,0.0949356574890495,0.04095765634726129,True,20,0.23891062919765801,0.08795811518324609,0.6,0.75,0.13858185510868784,1.0,1.0,1.0,1.0,1.0,0.37527245886520744,0.5204142565133367,0.5776797237126375,0.7440427229873983,0.6239671235039531,0.7935106501357095,0.5714407316700325,0.7389321658945366,-0.053774190242441684,-0.08404215059699364,-0.15511231374925682,-0.23646961607196657
IBDD,ForestCovertype,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6296581391840184,0.8114017445579988,0.6656343613747434,0.8450741187340646,0.5485668316202367,0.7227796233558841,0.4529315732762757,0.6211926602764241,0.36993123758254437,0.5287843949180523,0.5333444286075638,0.7058465083684847,4,4,4,4,4,1324,17,154,0.0689655172413793,1.0,1.0,0.2197013291513858,0.17918084377966415,0.24754119007694966,0.16970576070687554,0.03430021618930304,True,20,0.06068947744865032,0.08366013071895426,0.7,0.75,0.04715235824007407,0.777777777777778,1.0,0.8888888888888891,0.7931034482758623,1.0,0.27895818294174163,0.3861760214955223,0.3436528705048321,0.47728561666812463,0.37405375232264004,0.5142727503199581,0.3408164026508097,0.4836071929935523,-0.057779561023165296,-0.08268987774904651,-0.10483924555679579,-0.1547697318478402
IBDD,GasSensor,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5820804718546877,0.7532664638279936,0.620390911803096,0.7980569231811316,0.4500586690344879,0.6128476041101634,0.2932318506723507,0.4158483289608629,0.39432097309292996,0.5499373186422174,0.4680165752915104,0.6259913277444737,4,4,4,4,4,3021,14,172,0.2222222222222222,1.0,1.0,0.0,0.26027467653103586,0.35066001616915177,0.18312399675168062,0.05611970589431428,True,20,0.14423740153847694,0.19795321637426902,0.45,0.6,0.11716252348591193,0.6785714285714283,1.0,0.8392857142857142,0.7499999999999998,1.0,0.3069866742974756,0.42749970985376873,0.4290573185893249,0.5780488096288179,0.4735016117443231,0.6338923209631129,0.4540152674227812,0.6218827488933483,0.02217503450839353,0.033807817149053065,-0.07737584960964355,-0.1143316157885732
IBDD,PokerHand,distance,tchebycheff,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5584055153018593,0.7417071388247335,0.6072287746849764,0.7922961694795433,0.5361312904851431,0.7227189270270885,0.050237254526075734,0.06487468271635502,0.0956204136669623,0.14043799715199523,0.36952464973300336,0.4924069830399431,4,4,4,4,4,2080,15,913,0.1136363636363637,1.0,1.0,0.3394954230160151,0.30259558895507416,0.39342019416137686,0.09543177514657962,0.022499861359316156,True,20,0.15554622925505485,0.1736842105263158,0.5,0.5,0.04765627697117529,0.948717948717949,1.0,0.9743589743589745,0.9545454545454548,1.0,0.37595909820611595,0.5267439773074629,0.5470060934536237,0.7302484263748968,0.5922848816263993,0.7761307377404423,0.5288653338214702,0.7136319302825607,-0.01657720420931287,-0.03591620484211481,-0.13860115991680932,-0.21699391874890067
