detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.14662995578233698,6,0.225112701840643,6,0.2416666666666666,6,0.4583333333333333,6,0.11221080878355309,6,0.8261655186183487,6,0.9573684405994453,6,0.8917669796088971,6,0.13820481391717934,6,0.050142575503223374,6,0.17297879855631548,6,0.23815209180628624,6,0.4599523930944273,6,0.6106449871266224,6,,0,,0,,0,,0
CDBD,0.28354046442328995,6,0.21933065430919285,6,0.3166666666666667,6,0.44166666666666665,6,0.07990298167849412,6,0.6392857142857145,6,0.9212911913139777,6,0.7802884527998462,6,0.07852883893677944,6,0.04459202363066487,6,0.304262975034871,6,0.4224321079095997,6,0.2997636693352008,6,0.39459151913800966,6,,0,,0,,0,,0
CSDDM,0.15919763262449174,6,0.3110467353522546,6,0.17500000000000002,6,0.26666666666666666,6,0.09158846271452582,6,0.8843995510662177,6,0.9087881212216375,6,0.8965938361439276,6,0.11992750806631791,6,0.03751612362511736,6,-0.027900995594606876,6,-0.04143397867833364,6,0.5231408503964814,6,0.6667953343545875,6,,0,,0,,0,,0
D3,0.16044801434620368,6,0.2556998168593776,6,0.275,6,0.4333333333333333,6,0.09754118711419195,6,0.7710621146171227,6,0.9464998056039718,6,0.8587809601105474,6,0.13616152576113388,6,0.03858429311248871,6,-0.0037906393350385322,6,-0.009858408084647377,6,0.45430963538465224,6,0.5907254344811005,6,,0,,0,,0,,0
DAWIDD,0.07180404159562742,6,0.11409798231066888,6,0.43333333333333335,6,0.625,6,0.08924217207625755,6,0.5699074074074073,6,0.999110611600241,6,0.784509009503824,6,0.16988635567906932,6,0.04869747446214053,6,-0.024108100962468525,6,-0.037573205107925736,6,0.38583618547295084,6,0.5056614001088816,6,,0,,0,,0,,0
IBDD,0.12310771996891805,6,0.12706010712452417,6,0.4833333333333334,6,0.6666666666666666,6,0.09539603322509958,6,0.7517704517704518,6,0.9342526809902131,6,0.8430115663803325,6,0.1549636659178632,6,0.04580419366541141,6,0.2732634534305926,6,0.34962347339832966,6,0.4588114815239274,6,0.5909234827791888,6,,0,,0,,0,,0
OCDD,0.18045620050406927,6,0.25368825929657773,6,0.2333333333333333,6,0.4583333333333333,6,0.09365384982432338,6,0.7900240126710427,6,0.9616477400894259,6,0.8758358763802344,6,0.12619946677688942,6,0.04939987907583723,6,0.15417720163052404,6,0.20266206717221721,6,0.5024908814980363,6,0.6571875100316295,6,,0,,0,,0,,0
PCACD,0.10520383131073681,6,0.07498706876822199,6,0.75,6,0.8166666666666668,6,0.029357321430291034,6,0.8675213675213675,6,0.9281502450663076,6,0.8978358062938375,6,0.07516541156895105,6,0.014220805469435058,6,0.4564618764787706,6,0.6001371230639105,6,0.333364612337397,6,0.4181582823979375,6,,0,,0,,0,,0
SPLL,0.2320253835473223,6,0.2591269401103294,6,0.24166666666666667,6,0.375,6,0.11596909243725018,6,0.846816009557945,6,0.6457245491377278,6,0.7462702793478364,6,0.13379813358982476,6,0.06377437251263475,6,0.3341194190939943,6,0.4514587213187269,6,0.4855667134695058,6,0.6327410928535445,6,,0,,0,,0,,0
UDetect,0.08958769727069978,6,0.1128888288717028,6,0.44166666666666665,6,0.6666666666666666,6,0.05729947176280357,6,0.8851731601731602,6,0.9943143086913473,6,0.9397437344322538,6,0.13785852372427568,6,0.023248542471853467,6,-0.00876500025180154,6,-0.027449794907335123,6,0.4803195334551204,6,0.6107973927367141,6,,0,,0,,0,,0
