detector,gd_plus_at_20,n_valid_datasets__gd_plus_at_20,mn_pd_at_20,n_valid_datasets__mn_pd_at_20,top_5pct_npd_hit_rate_at_20,n_valid_datasets__top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,n_valid_datasets__top_10pct_npd_hit_rate_at_20,igd_plus_at_20,n_valid_datasets__igd_plus_at_20,aec_at_20,n_valid_datasets__aec_at_20,rec_at_20,n_valid_datasets__rec_at_20,pec_w0p5_at_20,n_valid_datasets__pec_w0p5_at_20,mean_exact_r2_selected_at_20,n_valid_datasets__mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,n_valid_datasets__mean_r2_gap_selected_at_20,kendall_pareto_all,n_valid_datasets__kendall_pareto_all,spearman_pareto_all,n_valid_datasets__spearman_pareto_all,kendall_internal_target,n_valid_datasets__kendall_internal_target,spearman_internal_target,n_valid_datasets__spearman_internal_target,kendall_accuracy,n_valid_datasets__kendall_accuracy,spearman_accuracy,n_valid_datasets__spearman_accuracy,kendall_runtime,n_valid_datasets__kendall_runtime,spearman_runtime,n_valid_datasets__spearman_runtime
BNDM,0.15479775441611196,6,0.22516589755560343,6,0.21666666666666667,6,0.4333333333333333,6,0.10940851916107903,6,0.8495341253202889,6,0.9260975992140669,6,0.8878158622671779,6,0.13541790243830143,6,0.04735566402434546,6,0.17880156299678307,6,0.24508671545984487,6,0.4674949847715661,6,0.6215038373524439,6,,0,,0,,0,,0
CDBD,0.26841390451217134,6,0.18377876937418258,6,0.375,6,0.5166666666666667,6,0.17078935054705588,6,0.639578111946533,6,0.7784775117090444,6,0.7090278118277887,6,0.12750461090357604,6,0.09356779559746144,6,0.309414400088678,6,0.4305574941205619,6,0.31082350202673176,6,0.4130136044568485,6,,0,,0,,0,,0
CSDDM,0.16109387191501037,6,0.32412859894023005,6,0.18333333333333335,6,0.28333333333333327,6,0.09809337960141483,6,0.8780864197530863,6,0.894311631321114,6,0.8861990255371003,6,0.1246206745714978,6,0.04220929013029725,6,-0.030215243540207836,6,-0.044444271732428216,6,0.5071356558532347,6,0.6505673909575648,6,,0,,0,,0,,0
D3,0.14835069256978686,6,0.23136699684180304,6,0.27499999999999997,6,0.4166666666666667,6,0.08963036563204717,6,0.797297176155961,6,0.9579927424203403,6,0.8776449592881507,6,0.13127978769661747,6,0.033702555047972295,6,-0.018152255057126344,6,-0.028933574040458238,6,0.45643496738764505,6,0.5968814477845784,6,,0,,0,,0,,0
DAWIDD,0.0756280499637895,6,0.11732596508225644,6,0.4583333333333333,6,0.6416666666666666,6,0.09943912829665223,6,0.5365740740740742,6,0.9932190767736359,6,0.764896575423855,6,0.17951893016393325,6,0.05833004894700446,6,-0.019066095266110177,6,-0.03561340011601836,6,0.3643454277108673,6,0.47908424218143986,6,,0,,0,,0,,0
IBDD,0.11602421853299776,6,0.12507330562443444,6,0.5750000000000001,6,0.7000000000000001,6,0.08559221137468954,6,0.7340896757563425,6,0.9455073545643075,6,0.839798515160325,6,0.15382773403842384,6,0.04466826178597207,6,0.29557701129060937,6,0.38247911538356094,6,0.4540822210660911,6,0.5878233472310398,6,,0,,0,,0,,0
OCDD,0.17759018769672608,6,0.25504851060397543,6,0.2333333333333333,6,0.5083333333333334,6,0.0979827349189961,6,0.8046434125800768,6,0.9816834056294482,6,0.8931634091047624,6,0.12838946105301438,6,0.0515898733519622,6,0.1671573670580879,6,0.21990838969743112,6,0.5065907783903062,6,0.6652421274830828,6,,0,,0,,0,,0
PCACD,0.10457084790563605,6,0.06906005899521717,6,0.7333333333333334,6,0.8416666666666667,6,0.03803128027716477,6,0.873931623931624,6,0.9264439608792864,6,0.9001877924054553,6,0.07694197861686805,6,0.01599737251735205,6,0.5036592639847051,6,0.6661809234277886,6,0.3343466522151066,6,0.4188228457065218,6,,0,,0,,0,,0
SPLL,0.20354399117926114,6,0.22619280120205507,6,0.3,6,0.4416666666666667,6,0.08493169539345576,6,0.8401493428912783,6,0.7638270626936113,6,0.8019882027924449,6,0.11676875914321098,6,0.04674499806602098,6,0.3617005273851142,6,0.48619719643358267,6,0.5185208048148855,6,0.67329393956939,6,,0,,0,,0,,0
UDetect,0.07998967864388103,6,0.10925215267166498,6,0.4749999999999999,6,0.6749999999999999,6,0.0731550249144333,6,0.8942640692640692,6,0.9947566727950514,6,0.9445103710295605,6,0.14356217061141222,6,0.02895218935898999,6,-0.012907365967753949,6,-0.03219273580914435,6,0.4873670297637293,6,0.6194833836499011,6,,0,,0,,0,,0
