index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0.6511955911019381,0.8690473777378755,1763,3,1953,KL,3,stdev,0.588468156775368,37
1,0.6527450693727789,0.8647185727664563,1610,3,2090,KL,3,stdev,0.5912156373252038,34
2,0.6648150250353554,0.8636126381210365,712,3,1792,KL,3,stdev,0.5809824410993606,34
3,0.6967940220922668,0.8633954777220356,591,3,1319,KL,3,stdev,0.5666966337812143,2
4,0.7035691995852922,0.862555625379764,768,3,947,KL,3,stdev,0.673759784387471,15
5,0.7106528112219542,0.8600652676787026,854,3,1319,KL,3,stdev,0.6778000205449287,2
6,0.7528004815961469,0.856534105347038,2961,3,3014,H,2,stdev,0.6445974934179757,3
7,0.7783228318617892,0.8357507237847808,768,3,2330,KL,1,stdev,0.5433538606393727,5
8,0.8145652257004162,0.8221679166214678,783,3,1968,KL,1,stdev,0.6199652726540957,1
9,0.8158742307839311,0.8217588145348361,591,3,1319,KL,1,stdev,0.5410510808109575,1
10,0.8206796238963419,0.8216110257834844,685,3,1749,KL,1,stdev,0.4634425635786475,1
11,0.6472007701716167,0.8688776587156256,1873,3,2040,KL,3,stdev,0.5803037782721221,39
12,0.6501481577036275,0.8636155608657066,1800,3,1870,KL,3,stdev,0.5776876650338221,41
13,0.6527242670947527,0.8633606419302094,1882,3,1799,KL,3,stdev,0.6093024655232131,32
14,0.6984986049000492,0.8621093468058993,591,3,1481,KL,3,stdev,0.6778000205449287,5
15,0.7015992336505751,0.861746548727895,733,3,833,KL,3,stdev,0.6933493338283151,13
16,0.7139925706149907,0.8559690717394024,3897,3,2099,H,2,stdev,0.3978158863913268,2
17,0.7519385009364364,0.854395471554452,2669,3,3038,H,2,stdev,0.5902385774832218,2
18,0.7778702461491414,0.8331444515462605,657,3,1319,KL,1,stdev,0.5410510808109575,7
19,0.8184975920192638,0.8209971955263782,571,3,2136,KL,1,stdev,0.5740851038124342,1
