index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0.62145032,0.866653358,4999,3,4987,H,3,stdev,0.001134424,1
1,0.655890951,0.854332164,4999,3,4987,KL,3,stdev,0.001134424,1
2,0.664285017,0.828582383,4999,3,1875,KL,3,stdev,0.001134424,1
3,0.675242236,0.791433994,4999,3,1318,KL,1,stdev,0.010178658,12
4,0.681852671,0.777556529,4999,3,4943,KL,1,stdev,0.001134424,8
5,0.690105056,0.754751488,4999,3,2325,KL,1,stdev,0.001134424,1
6,0.612132295,0.865501723,4999,3,4988,H,3,stdev,0.006494788,1
7,0.653306724,0.853794968,4999,3,4987,KL,3,stdev,0.001134424,35
8,0.667108136,0.798293356,4999,3,2325,KL,1,stdev,0.010178658,13
9,0.676149324,0.779581854,4999,3,1214,KL,1,stdev,0.010751306,7
10,0.682088637,0.74638568,4999,3,4943,KL,1,stdev,0.010178658,1
11,0.689712476,0.746060785,4999,3,4987,KL,1,stdev,0.001134424,1
12,0.596567118,0.8641278,4999,3,4987,H,3,stdev,0.010751306,1
13,0.596567118,0.8641278,4999,3,4988,H,3,stdev,0.010178658,1
14,0.605935729,0.856247887,4999,3,4987,H,3,stdev,0.001134424,12
15,0.662136817,0.798285807,4999,3,2582,KL,1,stdev,0.010751306,13
16,0.662947733,0.797480704,4999,3,2668,KL,1,stdev,0.010178658,13
17,0.66614773,0.793096015,4999,3,4318,KL,1,stdev,0.010178658,12
18,0.667738968,0.785349564,4999,3,1103,KL,1,stdev,0.010751306,13
19,0.68042197,0.74638568,4999,3,4943,KL,1,stdev,0.010751306,1
