index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0.497265683,0.792944746,18,0.863104179,0.870832916,1,1540,1710
1,0.505155975,0.786933002,4771,0.885506421,0.777473786,1,3839,98
2,0.507598294,0.781523088,3290,0.46978742,0.944775186,4,239,16
3,0.525389176,0.758430969,265,0.970847488,0.962602232,8,10,2253
4,0.53230477,0.727042692,321,0.978757156,0.998791835,54,6,2470
5,0.556389354,0.642769431,817,0.003669112,0.036447916,17,4436,55
6,0.557797731,0.598957021,50,0.787704994,0.769600951,1521,5,4689
7,0.63842569,0.34137682,2014,0.981819998,0.695422419,2052,11,3440
8,0.484404297,0.81327459,1036,0.397620834,0.969765682,1,1895,4930
9,0.494852847,0.80157136,1971,0.530271572,0.929526098,1,873,2877
10,0.505234559,0.761146921,41,0.505275325,0.743858856,2,30,170
11,0.508841445,0.744218906,3367,0.942946443,0.511461672,2,781,383
12,0.514156988,0.741536499,4508,0.091133793,0.727385697,10,1559,6
13,0.516445807,0.729808865,2439,0.377544014,0.991236916,34,360,196
14,0.520250901,0.728341843,36,0.081669401,0.992296865,24,2130,224
15,0.528388613,0.688944935,3814,0.651427424,0.896851809,17,357,219
16,0.548497201,0.639297267,5,0.216915678,0.077336603,4740,33,2691
17,0.607026601,0.424306483,2074,0.859857079,0.968593473,4035,2,2717
18,0.63569934,0.341884368,2143,0.96097563,0.26633107,4524,4,2120
19,0.653013174,0.228616204,4214,0.984441838,0.041085098,3010,2,3860
