index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0.520102006,0.567749438,3723,0.018100013,0.997287687,10,3374,447
1,0.709063263,0.56335325,23,0.010178658,0.013130166,289,26,3183
2,0.713417203,0.56257161,23,0.010178658,0.013130166,355,49,4493
3,0.715912899,0.565163891,23,0.010178658,0.013130166,289,26,4493
4,0.716477155,0.567828809,23,0.010178658,0.013130166,355,26,4493
5,0.718219487,0.558691816,23,0.010178658,0.013130166,278,26,4286
6,0.732698987,0.546440642,23,0.010178658,0.013130166,4343,49,4208
7,0.734999718,0.548753601,23,0.010178658,0.013130166,2885,26,4191
8,0.736765365,0.547833543,14,0.010178658,0.013130166,2838,26,4493
9,0.73754947,0.539915559,23,0.010178658,0.013130166,2838,26,3319
10,0.746367599,0.532493915,14,0.010178658,0.065080519,3246,26,3346
11,0.746474031,0.506423791,23,0.010178658,0.115258663,3246,26,3183
12,0.747798339,0.525057737,23,0.010178658,0.1022686,2953,26,4493
13,0.750396484,0.520752893,14,0.010178658,0.1022686,3124,26,447
14,0.750487112,0.500280124,14,0.010178658,0.174547459,2838,26,3346
15,0.751368982,0.511437978,23,0.010178658,0.1022686,2938,26,3319
16,0.751677315,0.507632862,23,0.010178658,0.1022686,2938,49,3346
17,0.753651581,0.485441401,23,0.010178658,0.488868887,3246,26,3183
18,0.755549943,0.483086073,23,0.010178658,0.369314916,2838,26,3183
19,0.757418797,0.505369241,14,0.010178658,0.258092006,3246,26,3319
