index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0.626315742,0.412635653,5,0.216915678,0.077336603,4740,33,2691
1,0.620264297,0.425258739,12,0.096191502,0.056954045,4100,222,4459
2,0.619807734,0.439265591,7,0.305915784,0.257262855,4528,396,4492
3,0.617627939,0.435561567,27,0.019353895,0.057190669,4419,43,3077
4,0.616583152,0.433784956,27,0.02342437,0.057190669,4799,136,4294
5,0.616411095,0.4381361,27,0.02342437,0.105358705,4799,136,4697
6,0.616256045,0.44155783,27,0.02342437,0.042867321,4799,136,4294
7,0.593127371,0.43842679,27,0.019353895,0.45838404,4124,43,2666
8,0.478314142,0.515807515,41,0.505275325,0.743858856,2,30,170
9,0.459874261,0.606933865,508,0.998885711,0.914792554,4,9,618
10,0.457444255,0.521223483,18,0.863104179,0.870832916,1,1540,1710
11,0.378884166,0.555844051,1036,0.397620834,0.969765682,1,1895,4930
12,0.372085679,0.573763947,1917,0.322175446,0.99644706,4,1409,4359
13,0.371371995,0.539827942,3958,0.964015669,0.820904558,3,212,2665
14,0.369250356,0.551576592,4450,0.540421878,0.378016086,1,326,782
15,0.354228183,0.567680417,3981,0.047579873,0.100555469,2,1129,1416
16,0.347987361,0.604926642,4529,0.014667156,0.064627472,3,1162,1029
17,0.309694264,0.572402551,3812,0.02445624,0.504404528,2,3242,4726
18,0.309632446,0.603073744,3239,0.003406057,0.817743709,1,2674,2073
19,0.290697997,0.62101893,3723,0.018100013,0.997287687,11,3374,447
