index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.3926877190055556,0.9276645314492192,50.0,4397.0,0.7861062825425023,1.0,0.025
1,0.4012796824602381,0.9253490451559984,152.0,4549.0,0.6054517565165557,3.0,0.1
2,0.4043573926265447,0.9250728795520624,165.0,4497.0,0.6649930306722708,5.0,0.1
3,0.4203200785580901,0.9230799964059454,476.0,4440.0,0.2040543665205258,4.0,0.25
4,0.526797433565562,0.907225463297889,3551.0,4751.0,0.6990891421618026,8.0,0.005
5,0.5380056480457063,0.90392720986517,3822.0,4896.0,0.9030600056956724,11.0,0.025
6,0.542412976134029,0.8969406522782936,3553.0,4516.0,0.9121317827467974,33.0,0.025
7,0.5625254453283692,0.8903093057556812,4076.0,4361.0,0.8598154345985752,11.0,0.001
8,0.6178642369186231,0.856812272092138,4248.0,3386.0,0.8607010492421965,12.0,0.01
9,0.6491141507004085,0.8367434874813333,3789.0,2382.0,0.91035564084535,22.0,0.025
10,0.7377904903441451,0.7778281167879083,3382.0,1236.0,0.4772934807978509,1.0,0.05
11,0.7403928188422333,0.760709983577837,3584.0,1225.0,0.9329804888254872,21.0,0.05
12,0.782331483823004,0.6844252769218137,2379.0,402.0,0.875313443746944,16.0,0.05
13,0.7954868553017803,0.6447779705221476,814.0,297.0,0.864830593152706,14.0,0.025
14,0.8086213352241132,0.6070816882439659,3054.0,294.0,0.6525789654458702,19.0,0.25
15,0.8215758605096325,0.5866925839319896,3072.0,267.0,0.643584071798763,17.0,0.25
16,0.8239427496209655,0.5005251770000634,3612.0,212.0,0.8051868441906492,21.0,0.1
17,0.827928445989849,0.4415032528546244,4800.0,212.0,0.8101426966682719,23.0,0.1
18,0.8317519114143377,0.3865650653288199,4783.0,141.0,0.9050871540509088,27.0,0.1
19,0.8326659671367267,0.3481018384989267,4876.0,97.0,0.8919182206236902,20.0,0.1
