index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.2942265396975921,0.9197366754509504,317.0,4954.0,0.3905468519896519,34.0,0.05
1,0.3514022917654495,0.918351108119106,3309.0,4994.0,0.4265037349648773,31.0,0.05
2,0.3537889020599544,0.9135719584033036,1340.0,4946.0,0.4089397752918303,32.0,0.25
3,0.377074798482693,0.9114617537624472,3636.0,4437.0,0.2743025486283004,28.0,0.1
4,0.3807841657446918,0.9074669059321276,3691.0,4791.0,0.2192848522849381,31.0,0.25
5,0.3884555766292602,0.9066486730647978,4820.0,4951.0,0.4780089520439505,23.0,0.05
6,0.4254524340129598,0.8868941841417918,3490.0,3441.0,0.5318996735755355,28.0,0.05
7,0.4288919208682367,0.8835825527552259,3453.0,3341.0,0.4841471500322222,17.0,0.1
8,0.4374583847004897,0.8793746348522711,3327.0,3482.0,0.6352680511176586,27.0,0.25
9,0.4385299378325689,0.8788800571065957,3490.0,3441.0,0.5318996735755355,28.0,0.25
10,0.4420679389916228,0.8781726224042279,3729.0,3333.0,0.4205945763513445,23.0,0.05
11,0.4488334228965804,0.8754730119716794,3729.0,3333.0,0.4205945763513445,23.0,0.1
12,0.451444296928507,0.872187276462974,3589.0,3350.0,0.5080356824211699,25.0,0.25
13,0.4585768083873343,0.8649633531401403,3734.0,3139.0,0.1846289703175425,24.0,0.1
14,0.4701290659080134,0.8587621584723144,4599.0,3335.0,0.2004515933189541,25.0,0.25
15,0.5976951891076053,0.8005328793986072,450.0,496.0,0.7942619834318757,14.0,0.1
16,0.6024546416263289,0.7923121508926836,510.0,531.0,0.3155006787572056,18.0,0.1
17,0.6050964595457128,0.790696567889109,450.0,496.0,0.7942619834318757,14.0,0.025
18,0.6699741911077434,0.7009433406773227,540.0,305.0,0.2678921491028536,23.0,0.1
19,0.7283809072230121,0.6011797549183235,3294.0,305.0,0.6568005853753807,25.0,0.25
