index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.3399230231693683,0.912899352761346,59.0,4680.0,0.8601633348856121,20.0,0.1
1,0.3548780744194486,0.9116481113269056,221.0,4680.0,0.8305347359422461,2.0,0.1
2,0.359434463410779,0.9104308789783075,187.0,4554.0,0.920240374404937,22.0,0.005
3,0.3640732142961674,0.9092879380533436,187.0,4554.0,0.920240374404937,22.0,0.1
4,0.3644132786295067,0.9085608215044798,251.0,4383.0,0.7969762397203595,14.0,0.1
5,0.3729950709481409,0.907575337852999,257.0,4434.0,0.9234809215776624,23.0,0.1
6,0.382471307857565,0.9050316590679366,375.0,4419.0,0.9888480492066593,20.0,0.01
7,0.384869596789772,0.9040174393074516,2363.0,4694.0,0.6797758439891041,10.0,0.025
8,0.3849945748379956,0.90299435026023,489.0,4697.0,0.78497124790214,9.0,0.1
9,0.3912225563282578,0.9017575422525969,375.0,4419.0,0.9888480492066593,20.0,0.1
10,0.7943366596273028,0.6912710925881147,2755.0,459.0,0.8134502250499995,9.0,0.05
11,0.7982737504338382,0.681753636972294,2726.0,426.0,0.859153278706015,7.0,0.05
12,0.8007671727845698,0.6697669982190143,3005.0,459.0,0.9089101782981172,9.0,0.05
13,0.8013151894584645,0.6644691400482581,3647.0,722.0,0.7409245350062847,4.0,0.05
14,0.8013205799366612,0.6556082744646916,4153.0,794.0,0.4597824668269604,7.0,0.05
15,0.8060392685824583,0.6546004248229432,3812.0,726.0,0.4043147529400885,1.0,0.05
16,0.8084401508671029,0.6468483125109343,3268.0,459.0,0.7947179161735933,4.0,0.05
17,0.8113403164388376,0.6385441201856364,3268.0,426.0,0.7947179161735933,7.0,0.05
18,0.8153296177098727,0.6330159906825514,3192.0,380.0,0.8573023300684958,8.0,0.05
19,0.8257729972761724,0.5888220687069682,4927.0,463.0,0.8187975050900131,30.0,0.005
