index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0.3086749966842518,0.903695589554761,1665.0,3896.0,0.1426108370781614,0.4259306956458361
1,0.3726338671308263,0.8662161801487444,1953.0,3472.0,0.3919608260635286,0.4515474137440324
2,0.3743163113754977,0.8638765746138671,1734.0,2731.0,0.1590989488419145,0.468310542376712
3,0.4721892277911157,0.7786966384327778,57.0,727.0,0.3260444321997573,0.3818719275211765
4,0.5208703369847119,0.7416573529819376,44.0,503.0,0.3103115076888352,0.4133677344787866
5,0.6170614887921761,0.690644975553219,51.0,198.0,0.4117668753457637,0.3550378932292366
6,0.6245925069205677,0.6821391303099974,13.0,176.0,0.4037598256516156,0.3586728159420892
7,0.6285312317983921,0.6775179412379618,36.0,171.0,0.4102518057971618,0.353429402969613
8,0.6536483641932924,0.6770008597674858,51.0,145.0,0.4117668753457637,0.4152684817248021
9,0.6609896339046252,0.6507626304890274,80.0,145.0,0.3992992766574212,0.4152684817248021
10,0.674194990501492,0.630725372942572,59.0,107.0,0.3972622602268064,0.3723420100811566
11,0.6872863435814959,0.6014965224448281,98.0,109.0,0.3916637790352106,0.3994828997291624
12,0.6951647370344897,0.5978078525072735,106.0,107.0,0.4138304519354114,0.391679376475718
13,0.7154532263780837,0.5622943243776894,95.0,86.0,0.4319924747405169,0.3953838603269399
14,0.7347148078977289,0.526362497859979,55.0,43.0,0.4203261204561819,0.3917002367248506
15,0.7428320557953834,0.4874070568060963,2093.0,121.0,0.4067904000371823,0.3112212827202286
16,0.748134161411985,0.4679434066498839,206.0,67.0,0.4054189920009087,0.3966537302345015
17,0.7613902062321407,0.4584265430364007,142.0,46.0,0.4292431162522019,0.3924042188337151
18,0.7631123375820494,0.4406034774834111,224.0,57.0,0.4157732440092118,0.3688257019461938
19,0.7965577230565082,0.3847938414383692,2082.0,57.0,0.4193479190220636,0.2603295381432305
