index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.3933473440875631,0.9879703498732714,2337.0,21.0,3792.0,0.7093672922160477
1,0.3960074149591792,0.9879348122464074,3602.0,57.0,4172.0,0.6091708841541075
2,0.4008879372169245,0.9878944597276434,2670.0,44.0,4115.0,0.4553167251935229
3,0.4051297771776811,0.9877333220086878,2695.0,84.0,4123.0,0.4454957493737032
4,0.4056010356561862,0.9877295794734562,2911.0,66.0,4141.0,0.5360682001132518
5,0.408954162333588,0.9874780723335458,2743.0,84.0,4123.0,0.4454957493737032
6,0.4093975793024929,0.986528766476244,2223.0,11.0,2429.0,0.6604530523242429
7,0.4097345411278876,0.9854884971107236,2824.0,237.0,4939.0,0.3508442042497918
8,0.4330292975785667,0.980537567021472,28.0,1132.0,4913.0,0.3391132293809205
9,0.4380956922011206,0.9805055185529808,52.0,1325.0,4923.0,0.4664190095728263
10,0.5151547757519397,0.8520532799267968,4259.0,1925.0,2405.0,0.4344632239701442
11,0.5280039918100647,0.834309507445445,2841.0,372.0,441.0,0.1320090026432933
12,0.5956891867639499,0.6888444042682693,3057.0,775.0,240.0,0.6958948296094313
13,0.601943349916801,0.6845419309264774,3759.0,957.0,441.0,0.1320090026432933
14,0.6061856626166957,0.6805598375787513,3777.0,532.0,414.0,0.4909654521960765
15,0.6151802071691802,0.6778316237181755,3744.0,832.0,127.0,0.5303626911286264
16,0.6162833620711777,0.664493676365581,3759.0,689.0,357.0,0.4042877359888447
17,0.6227059120223786,0.663626193064283,3758.0,761.0,237.0,0.5630405699658816
18,0.6228938468451823,0.6609914969425512,3759.0,996.0,357.0,0.3882422289553816
19,0.6336824338338075,0.6588056405597543,3759.0,775.0,357.0,0.4897358998663977
