index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0.511813106601754,0.7795256905472773,1,35,0.0015324768397213,0.9876357472918872,217,EDFSMode.RANDOM
1,0.5281465653687877,0.7745963796859355,7,36,0.001193111196869,0.9865079447040328,201,EDFSMode.RANDOM
2,0.5525254331685491,0.7639084574071717,46,36,0.0017432230095326,0.9860932533151928,192,EDFSMode.RANDOM
3,0.5569531129766637,0.7580829656096113,46,46,0.0019870747326141,0.9871789474749396,192,EDFSMode.RANDOM
4,0.5924386188154299,0.7519072143441585,19,39,0.0011889402340007,0.9783660440129276,142,EDFSMode.RANDOM
5,0.6023865786879066,0.746521891123061,46,13,0.0019870747326141,0.9871789474749396,126,EDFSMode.RANDOM
6,0.605742599568082,0.7463367010004632,46,13,0.0019870747326141,0.9860932533151928,119,EDFSMode.RANDOM
7,0.6115688385464949,0.7387508343029617,46,19,0.0019870747326141,0.9871789474749396,110,EDFSMode.RANDOM
8,0.6218414050388683,0.7282125571348773,46,44,0.0019870747326141,0.9860932533151928,105,EDFSMode.RANDOM
9,0.6429474471895966,0.722779739917715,118,32,0.002313165021107,0.998139380317116,114,EDFSMode.RANDOM
10,0.652749274455192,0.7186307819867271,198,18,0.0019870747326141,0.9862342820797788,126,EDFSMode.RANDOM
11,0.6596474210393288,0.7179418980758698,150,32,0.0010172806224078,0.9759876229267772,110,EDFSMode.RANDOM
12,0.6782966908963283,0.6941789195633843,255,39,0.0015299142152752,0.9673886151271136,128,EDFSMode.RANDOM
13,0.691114617624279,0.6841426177785227,397,31,0.0013416844845284,0.9899127648296392,117,EDFSMode.RANDOM
14,0.7282023911854824,0.6487543867330141,697,58,0.0017432230095326,0.9860932533151928,133,EDFSMode.RANDOM
15,0.7299052623660108,0.6482663157381492,697,35,0.0019870747326141,0.9862342820797788,111,EDFSMode.RANDOM
16,0.7623264713904806,0.6134793962732087,1169,63,0.0019870747326141,0.0880090648702115,126,EDFSMode.RANDOM
17,0.8362827527410855,0.5664811819882383,4880,21,0.0019870747326141,0.9860932533151928,126,EDFSMode.RANDOM
18,0.8420727739115415,0.5636097892127597,4998,35,0.0026590195392351,0.9860932533151928,126,EDFSMode.RANDOM
19,0.8499039517246029,0.5524331579369528,4885,66,0.0026675370843704,0.9862342820797788,123,EDFSMode.RANDOM
