index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0.407998838,0.791167356,128.0,7.0,571.0,233.0,178.0
1,0.561972314,0.780895104,16.0,4.0,580.0,81.0,13.0
2,0.572779678,0.771402377,32.0,11.0,195.0,95.0,12.0
3,0.713270384,0.704784722,4.0,99.0,193.0,76.0,1.0
4,0.735283338,0.682466346,59.0,14.0,748.0,99.0,1.0
5,0.7595111,0.656635958,95.0,121.0,250.0,93.0,2.0
6,0.776059031,0.62052421,102.0,168.0,732.0,91.0,1.0
7,0.776127739,0.607787127,156.0,119.0,859.0,80.0,2.0
8,0.808660891,0.535987921,271.0,143.0,807.0,93.0,1.0
9,0.40264234,0.787327385,95.0,25.0,266.0,221.0,173.0
10,0.534810886,0.783970897,11.0,2.0,175.0,93.0,27.0
11,0.642886911,0.73083945,35.0,3.0,285.0,103.0,2.0
12,0.690194393,0.713266127,3.0,11.0,819.0,77.0,1.0
13,0.691610179,0.706483432,22.0,133.0,224.0,87.0,3.0
14,0.691915663,0.706122426,31.0,124.0,184.0,98.0,3.0
15,0.727118295,0.683417722,52.0,107.0,259.0,101.0,2.0
16,0.748033555,0.667282579,34.0,102.0,275.0,76.0,1.0
17,0.764190836,0.629309025,96.0,83.0,802.0,96.0,1.0
18,0.769213819,0.628139498,46.0,167.0,692.0,65.0,1.0
19,0.813901069,0.498073071,325.0,150.0,761.0,78.0,1.0
