index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0.6301705354032938,0.9333976009413014,6.0,76.0,586.0,230.0,196.0
1,0.6431702147769593,0.9325288256581684,2456.0,169.0,443.0,215.0,199.0
2,0.6495686239142121,0.930578101860377,581.0,103.0,532.0,248.0,220.0
3,0.6533558915835352,0.9229430214458616,2613.0,273.0,411.0,215.0,178.0
4,0.6569142659327751,0.922250326225732,2744.0,198.0,277.0,215.0,177.0
5,0.6643872444242187,0.9206300181036928,2725.0,236.0,399.0,211.0,167.0
6,0.666148348291053,0.9163382582357182,3260.0,307.0,399.0,211.0,168.0
7,0.6904777860464981,0.910373338425948,2993.0,557.0,266.0,157.0,125.0
8,0.6923606775521077,0.9070710879244568,2898.0,577.0,355.0,165.0,124.0
9,0.6985035595743002,0.9030798589521164,527.0,741.0,197.0,178.0,65.0
10,0.7162923603610726,0.8938675570791603,185.0,837.0,284.0,89.0,33.0
11,0.7168521504281318,0.8901761300678452,182.0,1050.0,278.0,101.0,24.0
12,0.7295920003668483,0.8756035666557119,2547.0,1253.0,446.0,207.0,16.0
13,0.7569572878865038,0.8465837301571519,2538.0,932.0,391.0,194.0,1.0
14,0.7676000008629322,0.7898545195694572,3509.0,759.0,557.0,188.0,1.0
15,0.7778846989161389,0.7036311172619124,2112.0,194.0,793.0,100.0,46.0
16,0.7979370089380228,0.6972535416655427,2240.0,230.0,862.0,104.0,41.0
17,0.846975088467989,0.4702037781653665,4330.0,130.0,389.0,87.0,21.0
18,0.8490701866779455,0.4608751798245265,4044.0,140.0,580.0,82.0,20.0
19,0.8702897220539207,0.2609878105074066,3540.0,64.0,425.0,100.0,2.0
