index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0.358971002281094,0.7933499777253503,24.0,33.0,412.0,222.0,165.0
1,0.3596596754108589,0.7913173067051262,16.0,15.0,504.0,228.0,163.0
2,0.3893988883083715,0.7864744331847673,2279.0,15.0,396.0,232.0,163.0
3,0.5115934095860568,0.7535364919650765,47.0,8.0,136.0,204.0,27.0
4,0.5424121659461417,0.7248631671027276,115.0,1.0,137.0,178.0,25.0
5,0.5653008351488747,0.7057570183040915,21.0,12.0,520.0,93.0,18.0
6,0.5779447808033003,0.7041996422507835,16.0,45.0,231.0,107.0,18.0
7,0.5798854288420934,0.6877607247929077,2.0,1.0,574.0,42.0,10.0
8,0.6266977067269497,0.6532078080600165,120.0,126.0,926.0,86.0,22.0
9,0.6272216547945086,0.6529072623723182,122.0,106.0,527.0,116.0,19.0
10,0.6665739559785373,0.6112913924186353,45.0,7.0,773.0,45.0,3.0
11,0.6980721614345263,0.5953568740202577,76.0,95.0,874.0,60.0,3.0
12,0.7008291906936542,0.58823702183966,52.0,13.0,525.0,35.0,1.0
13,0.7032014374527357,0.5522843323348887,132.0,37.0,646.0,47.0,1.0
14,0.7741978650509935,0.4526499246923773,255.0,734.0,553.0,37.0,1.0
15,0.7786181378153867,0.4508229862326584,278.0,810.0,733.0,49.0,1.0
16,0.7920772568771132,0.4333747896693682,377.0,742.0,145.0,41.0,1.0
17,0.7924992942829919,0.3615887811222085,610.0,789.0,672.0,48.0,1.0
18,0.793430452892073,0.3576680521886829,2422.0,755.0,986.0,58.0,1.0
19,0.7997401323638215,0.3068118452180909,1090.0,863.0,701.0,48.0,1.0
