index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,threshold,window_size
0,0.543074932,0.849508485,4.0,3.0,0.955700439,962.0
1,0.551608821,0.844676053,1.0,3.0,0.992247612,1180.0
2,0.555300163,0.834705218,4.0,3.0,0.921341981,873.0
3,0.568715374,0.808813716,2.0,3.0,0.728610656,1145.0
4,0.743429029,0.735617531,1.0,3.0,0.148835009,408.0
5,0.749957936,0.715695295,2.0,3.0,0.084365463,229.0
6,0.753909234,0.683120047,14.0,3.0,0.066084481,1237.0
7,0.67203896,0.772720998,1.0,3.0,0.331880434,180.0
8,0.707536335,0.744204907,2.0,3.0,0.202195837,899.0
9,0.75354988,0.653268254,30.0,3.0,0.06359088,2451.0
10,0.755039709,0.645279335,24.0,3.0,0.06359088,2811.0
11,0.75837754,0.639683715,30.0,3.0,0.06359088,2900.0
12,0.544129145,0.840812631,7.0,3.0,0.964695525,975.0
13,0.553763451,0.82784483,8.0,3.0,0.925299499,876.0
14,0.562575596,0.79926028,24.0,3.0,0.989690145,230.0
15,0.565235159,0.798501879,30.0,3.0,0.989690145,210.0
16,0.672245019,0.759845726,2.0,3.0,0.308684794,170.0
17,0.676127927,0.728275881,7.0,3.0,0.266066671,169.0
18,0.711068165,0.709904228,3.0,3.0,0.173730804,1583.0
19,0.754786435,0.634665549,30.0,3.0,0.052479312,2926.0
