index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,threshold,window_size
0,0.519248624,0.846668411,177.0,52.0,0.998992684,4751.0
1,0.528562732,0.842784986,352.0,53.0,0.998822264,4921.0
2,0.533241217,0.843720805,16.0,53.0,0.99520306,4715.0
3,0.536729829,0.842159111,21.0,49.0,0.998718238,4358.0
4,0.539896499,0.840427586,561.0,53.0,0.998718238,4358.0
5,0.540487333,0.83821433,44.0,53.0,0.998718238,4358.0
6,0.543427147,0.842353296,21.0,53.0,0.998718238,4358.0
7,0.544180414,0.838476404,823.0,53.0,0.998718238,4358.0
8,0.547358567,0.835114766,823.0,53.0,0.998718238,2697.0
9,0.548716941,0.83435597,823.0,53.0,0.998718238,2469.0
10,0.55139271,0.78801175,21.0,53.0,0.881651536,385.0
11,0.554432484,0.783401712,21.0,51.0,0.816587756,513.0
12,0.559490655,0.781474222,21.0,53.0,0.830710767,364.0
13,0.564926349,0.767727342,1.0,46.0,0.680215047,426.0
14,0.570090502,0.759079237,21.0,53.0,0.708327208,385.0
15,0.586630367,0.742343824,21.0,53.0,0.603280691,385.0
16,0.591477252,0.747232591,21.0,36.0,0.554974779,385.0
17,0.609457421,0.741385606,21.0,53.0,0.565199594,385.0
18,0.627694888,0.686559047,21.0,53.0,0.417576181,364.0
19,0.645630086,0.675092522,3.0,52.0,0.0011283,138.0
