index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,threshold,window_size
0,0.52234623,0.854369436,2.0,3.0,0.986363443,432.0
1,0.523658277,0.841819157,4.0,3.0,0.921341981,873.0
2,0.546531853,0.837112396,32.0,3.0,0.976219836,347.0
3,0.596474266,0.821815915,32.0,3.0,0.984679153,151.0
4,0.598926373,0.8152856,32.0,3.0,0.984679153,124.0
5,0.60218098,0.814877264,32.0,3.0,0.935856529,124.0
6,0.60291427,0.811346606,32.0,3.0,0.935856529,108.0
7,0.63235561,0.805957407,32.0,3.0,0.897234488,124.0
8,0.63371564,0.803797608,13.0,3.0,0.910786691,59.0
9,0.764793481,0.802233258,3.0,3.0,0.129638166,7.0
10,0.782997907,0.785188337,2.0,3.0,0.091868104,30.0
11,0.79057062,0.774938173,4.0,3.0,0.053574169,7.0
12,0.791702401,0.737673847,14.0,3.0,0.074536335,11.0
13,0.4466479,0.849859927,3785.0,3.0,0.966856144,734.0
14,0.588387922,0.820573275,32.0,3.0,0.984679153,160.0
15,0.60053386,0.813590508,24.0,3.0,0.935732481,124.0
16,0.627018037,0.804201245,24.0,3.0,0.897234488,136.0
17,0.672693887,0.801509792,12.0,3.0,0.893240106,22.0
18,0.78042236,0.739497456,10.0,3.0,0.022664628,5.0
19,0.787777935,0.705149554,21.0,3.0,0.064791603,27.0
