index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,threshold,window_size
0,0.332995347,0.793517796,4101.0,16.0,0.978389926,646.0
1,0.339540477,0.792559755,4278.0,15.0,0.955957459,742.0
2,0.377951728,0.775554033,3543.0,8.0,0.935856529,868.0
3,0.418139474,0.755684395,24.0,5.0,0.95238335,154.0
4,0.432327818,0.744968439,33.0,5.0,0.998718238,114.0
5,0.627654212,0.589974409,33.0,5.0,0.020153892,235.0
6,0.629870036,0.573129587,33.0,5.0,0.020153892,456.0
7,0.324214556,0.792611808,4159.0,16.0,0.961888712,1422.0
8,0.324309407,0.792353908,4439.0,16.0,0.972064534,751.0
9,0.355076875,0.783958317,4247.0,5.0,0.979812093,942.0
10,0.357683962,0.781034614,3245.0,5.0,0.961168521,959.0
11,0.365941461,0.778113622,4093.0,5.0,0.99735488,905.0
12,0.37491154,0.777573448,68.0,5.0,0.998718238,967.0
13,0.414618482,0.750153713,33.0,5.0,0.985029062,114.0
14,0.415428391,0.749596367,24.0,5.0,0.985029062,119.0
15,0.430673235,0.742955172,33.0,5.0,0.998718238,119.0
16,0.447835895,0.666767754,33.0,6.0,0.509403284,1203.0
17,0.580771287,0.661894034,8.0,5.0,0.136198519,116.0
18,0.583517,0.66013113,9.0,5.0,0.113228977,220.0
19,0.668300446,0.472337657,2040.0,5.0,0.016817767,485.0
