index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.4791417824074075,0.7370499598057066,4337.0,11.0,1.0,1.0,0.7594816867162925
1,0.4869427083333335,0.7200230322997578,4325.0,15.0,1.0,2.0,0.7541694012239558
2,0.4957349537037037,0.691936609646231,4392.0,13.0,1.0,9.0,0.7516394325969845
3,0.5103206018518518,0.6722688419091314,4829.0,81.0,1.0,1.0,0.7915231150347548
4,0.5602320601851855,0.5192106580847264,4428.0,229.0,1.0,24.0,0.7257028705790591
5,0.5641168981481486,0.5134586057753374,4509.0,168.0,1.0,37.0,0.7952915157903345
6,0.5723067129629633,0.5116550261770162,4597.0,213.0,1.0,37.0,0.6611458602532739
7,0.5838373842592596,0.493806664842378,4595.0,199.0,1.0,53.0,0.7477267470927841
8,0.6172418981481486,0.4027924406392233,4595.0,208.0,6.0,53.0,0.5382388946210774
9,0.6346863425925925,0.3298029636040762,4719.0,320.0,10.0,62.0,0.4998407091874235
10,0.4594322916666671,0.7299341978782762,3988.0,1.0,1.0,22.0,0.6542941076936819
11,0.4944201388888889,0.6789698384401112,4527.0,27.0,1.0,1.0,0.904778835113304
12,0.5297008101851854,0.6086458225749419,4412.0,142.0,1.0,3.0,0.7499417764529387
13,0.5408981481481483,0.5588853262865845,4555.0,175.0,1.0,10.0,0.7407557467704304
14,0.6185104166666675,0.3912781656107769,4141.0,247.0,6.0,51.0,0.7557444880698653
15,0.6318645833333332,0.3327260139564595,4591.0,271.0,8.0,83.0,0.7992553745218177
16,0.6394664351851854,0.2737082251084462,4029.0,314.0,27.0,101.0,0.5382388946210774
17,0.6431105324074075,0.2453395053396836,4789.0,268.0,9.0,289.0,0.556577884812635
18,0.645931712962963,0.2227332099173551,4198.0,273.0,10.0,293.0,0.4162211427963952
19,0.6466684027777779,0.1994301988520168,4198.0,320.0,17.0,293.0,0.4162211427963952
