index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0.3309844227717783,0.9788474230693236,3,1566,0.1089270792100578,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
1,0.336818418550852,0.9787213519093464,51,1571,0.1522820313293486,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
2,0.3431669492269532,0.9764843654366318,65,1330,0.1546011983677745,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
3,0.3524753711672809,0.9744056209438484,55,990,0.1479787591919303,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
4,0.3853449933666985,0.9650066541510676,911,1470,0.0019153172671794,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
5,0.3943358407437774,0.9574144983858454,776,1081,0.3861126620726085,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
6,0.3997740924259268,0.9535880931537029,794,999,0.4105779697950929,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
7,0.457427382370235,0.8949574014855624,438,286,0.0322705745627106,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
8,0.4720527523723203,0.8758458168212834,199,225,0.027860015431419,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
9,0.4825467520756109,0.8626016953533713,283,157,0.0208183861095458,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
10,0.4870502435573966,0.8541013331239637,161,127,0.0415236563775688,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
11,0.4950510224188077,0.851136798816088,149,126,0.0349732725734438,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
12,0.4975735171202818,0.8505659987255262,441,138,0.0214500489365309,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
13,0.5233476970364376,0.8166659403105007,475,133,0.228372071409598,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
14,0.5870390795130476,0.7123331383972643,3365,117,0.0097830989062786,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
15,0.6006516016569937,0.6852114192481354,3742,121,0.0097622789677619,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
16,0.6331363775771139,0.5691208054050851,3585,51,0.0081672151591628,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
17,0.6375925484815606,0.5665791563154744,3497,64,0.0019140177272258,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
18,0.6401940254156525,0.531154353114895,3474,39,0.0016237205584158,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
19,0.6522765070887675,0.5226846953417562,3509,33,0.0046500991692166,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
