index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0.1853493184251127,0.8923814788152818,7,3399,0.0169911331571638,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
1,0.1967843597069744,0.8831668007984473,2,3201,0.0244144740779263,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
2,0.1979772021466499,0.8793459985398192,65,3681,0.0080529132271216,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
3,0.2017143167614371,0.8787646496000019,51,3388,0.0176210954952559,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
4,0.2068943867463829,0.8778346196398491,54,3201,0.004238966232306,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
5,0.2107642343980561,0.8744201960476875,201,4987,0.0157216972336173,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
6,0.2147393479066791,0.8730088924668288,110,3388,0.0176210954952559,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
7,0.2175697724905179,0.8702586499233238,64,3360,0.0403369005620479,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
8,0.6011487060702075,0.769639603605253,51,113,0.136001515306449,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
9,0.6087075499708974,0.7662140241676663,65,113,0.1357078143108033,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
10,0.6098623260987918,0.7653873016935697,65,112,0.1357078143108033,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
11,0.6244227149333742,0.7522266988813943,110,113,0.1356348963530818,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
12,0.6256568561406337,0.7513999764072978,110,112,0.1357078143108033,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
13,0.6462625152945262,0.7212099639837996,127,113,0.2294802250584626,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
14,0.6570612874402271,0.7179793804431925,177,121,0.1949822142478078,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
15,0.7111574246553866,0.6158087969681827,1684,96,0.1188939578011632,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
16,0.7496609582508417,0.5826625739167923,1653,52,0.2076598329500114,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
17,0.7666142493232768,0.5007493630410637,1863,21,0.23424302550219,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
18,0.7710079018071169,0.48868852315649,1731,4,0.2147271246658771,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
19,0.7844915310050941,0.469429881958269,2375,52,0.0022545055130847,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
