index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0.3177840281980068,0.9109410311535376,28,3074,0.0040677494183182,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
1,0.3613557842953315,0.9082264019539736,6,1075,0.0028105730712413,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
2,0.3774713870627698,0.8988400666760864,41,1109,0.0058876143004745,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
3,0.3811310110792406,0.8971240862570146,106,1751,0.0020082920733839,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
4,0.4311640460730807,0.896802666746537,55,1129,0.1599375327544978,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
5,0.5489603999193794,0.8928043728080693,63,475,0.1438971424388802,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
6,0.5585827455498951,0.8846043933290956,92,495,0.1183718275846071,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
7,0.573705904426857,0.8808743187216052,55,336,0.1599375327544978,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
8,0.619802984764835,0.8583548641731863,123,360,0.1138151100734756,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
9,0.6294853005979114,0.8579838879066651,209,466,0.1429262757304613,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
10,0.6438241399743443,0.8453091412692114,101,252,0.1230259217649052,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
11,0.6703200280548476,0.8333202923043643,118,225,0.1275050848773503,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
12,0.69111643427273,0.811598889983366,294,340,0.1297610099688172,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
13,0.717673181951248,0.7867067942202173,155,178,0.1473041562456637,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
14,0.7548648298286168,0.6654415360504154,4669,884,0.3190109384711831,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
15,0.7566535181163473,0.6629759897708121,4597,839,0.3221998597215861,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
16,0.7569596029745579,0.6559280302086696,4469,721,0.3838305063843727,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
17,0.7575254590950735,0.6532533485357139,4632,707,0.3917050554212182,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
18,0.7613651629204097,0.6523302095454994,4674,764,0.3056833595633507,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
19,0.763970793889778,0.6409517055405344,4717,652,0.3854536687321961,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
