index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0.50030203831441,0.9165267036745318,57,421,0.1142079784272794,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
1,0.5006702032518496,0.915478143396934,50,346,0.1263739235402622,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
2,0.5087575552773017,0.914786530743578,54,404,0.1252528222281317,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
3,0.517152955572544,0.9137787404540724,61,397,0.1303719400231332,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
4,0.5202358766696356,0.910777893973962,73,366,0.1244783601842191,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
5,0.5208726589390611,0.9103002230269016,67,396,0.1382464194045394,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
6,0.5295189642677343,0.9021106177093468,70,334,0.1346650361820267,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
7,0.5529098709319153,0.891734573599465,67,276,0.1242655231734951,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
8,0.5610953386206488,0.8854442686456815,64,278,0.153133977540882,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
9,0.5963621435341466,0.8602482435033891,110,265,0.1229679831680443,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
10,0.6080457536361352,0.8518134341227143,141,263,0.1234056847292402,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
11,0.6385596890971186,0.8280910644903839,211,264,0.1406611690301493,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
12,0.643439612441122,0.8262067271752284,201,249,0.1434961304662414,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
13,0.6944491021592222,0.792188096432386,54,63,0.1588149462141708,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
14,0.6973305161900615,0.7887518233471176,59,64,0.1584316125082056,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
15,0.6980797874246659,0.7880336038593512,66,63,0.1561091442838707,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
16,0.7014809400108364,0.7856690472872363,72,71,0.1596484916458406,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
17,0.7089204385907955,0.7742253596829013,85,64,0.1597032512700296,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
18,0.7286655181371604,0.7238365400865923,227,92,0.1495402673371721,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
19,0.7301987359174756,0.7146228620966931,143,54,0.1611468936693542,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
