index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0.210714276232198,0.9044889979959908,13,3489,0.0063859330881386,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
1,0.2201246088638566,0.9003367758348717,7,3399,0.0169911331571638,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
2,0.2370425153135732,0.8996211194088168,28,3074,0.0040677494183182,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
3,0.2512249435815746,0.8985674220545661,39,2056,0.0033096056841313,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
4,0.4301756017018468,0.8974074786521601,54,447,0.1989872633711659,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
5,0.4355351696030812,0.8965191416827787,80,464,0.1840123628824949,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
6,0.4392017149062617,0.893603837553523,63,380,0.1807493953341699,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
7,0.4459932089916761,0.892337175442946,89,432,0.1571024054058377,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
8,0.4719209540999634,0.8802915216933184,49,316,0.159974957166292,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
9,0.477197455007491,0.8764600031224453,65,308,0.1723830320000031,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
10,0.4800676894169493,0.8728737344507327,93,342,0.1896190575470686,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
11,0.4898755538610144,0.8658399072886497,89,312,0.1571024054058377,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
12,0.5027405131706209,0.8626927491438235,89,280,0.1831868194403787,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
13,0.5164335684891243,0.860855452772702,60,257,0.143622843225266,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
14,0.5309148508467504,0.8449831195470641,93,251,0.1571024054058377,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
15,0.564032151709748,0.821877824921724,93,188,0.1282513614617927,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
16,0.6358682057450609,0.8047615573515811,63,94,0.1670681304940031,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
17,0.7341233382710403,0.5714447506606063,2011,46,0.2422190156260045,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
18,0.7419311116041296,0.5461302954382797,2022,37,0.2422190156260045,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
19,0.750140723510874,0.5236844876959971,2022,27,0.2422190156260045,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
