index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.5045069602783152,0.8139646406877915,63.0,979.0,2.0,4.0668178384705
1,0.5143481968432072,0.8122615453164002,59.0,983.0,2.0,4.170923849986261
2,0.5194879763138484,0.8094985536822884,59.0,971.0,2.0,4.013038225291012
3,0.604554502812229,0.7636558407482591,54.0,390.0,2.0,4.137280748643128
4,0.6623907993106813,0.7564703378486506,55.0,280.0,2.0,4.13397078611721
5,0.6773420879859064,0.7483342836345795,63.0,243.0,2.0,3.490391884976539
6,0.8188755633917145,0.6887972756022678,174.0,110.0,4.0,4.693121194952103
7,0.4981968908695279,0.814924374152794,63.0,979.0,2.0,4.116336598734843
8,0.4997907017857071,0.8139079279074274,63.0,979.0,2.0,4.13397078611721
9,0.5126490668740128,0.8066578082088545,78.0,973.0,2.0,3.815619412913012
10,0.525429103558891,0.7973035045170246,55.0,689.0,2.0,4.116336598734843
11,0.529418928006962,0.7964737587710746,55.0,673.0,2.0,4.13397078611721
12,0.5366078262675705,0.7946734769628003,63.0,673.0,2.0,4.188950460333264
13,0.5368324851369664,0.7944805419825093,63.0,673.0,2.0,4.13397078611721
14,0.5882032749799273,0.768552535129393,63.0,489.0,2.0,4.13397078611721
15,0.6021897412636551,0.7623532671326215,56.0,374.0,2.0,3.6347286916846935
16,0.6603409698759836,0.7564691141885876,55.0,280.0,2.0,4.116336598734843
17,0.6665011794276403,0.751910085608081,63.0,280.0,2.0,4.116336598734843
18,0.6674520708727102,0.7497444588213091,63.0,280.0,2.0,3.9513237937857086
19,0.7978481548010161,0.70833243703361,110.0,128.0,6.0,4.751733413530516
