index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.3910158229116566,0.8492463312829882,6.0,0.2997094510532915
1,0.4016718474426812,0.8457244653931195,1.0,0.1080506579820066
2,0.4109322891614563,0.8363809737378454,1.0,0.0755089209228754
3,0.4694425304633642,0.7555421112378249,3.0,0.0026470715789555
4,0.4822318322109994,0.7332502455588874,7.0,0.0057903593312948
5,0.5030457451499115,0.711336792110605,2008.0,0.3369032521713525
6,0.5567631874298546,0.6508822895085699,50.0,0.004938799297437
7,0.5818305675805676,0.634723421636129,74.0,0.002584362663048
8,0.6058869648869651,0.6194251712846224,97.0,0.0013313573038136
9,0.7175278178611517,0.5284996391239836,2102.0,0.0010919802840799
10,0.7295652156485495,0.516650858073633,2286.0,0.0020864866077899
11,0.7502886303511302,0.5114151903270141,2237.0,0.0067906329538673
12,0.7783217492384156,0.4815373564293966,2430.0,0.0067251627258956
13,0.7807354296937625,0.4795470377936966,2024.0,0.0063393500815551
14,0.8148123476831803,0.4518930530157771,2625.0,0.0045731683503836
15,0.8246609147025807,0.4280241167694479,2691.0,0.0052571885846555
16,0.9181020222061892,0.2881575281354433,3946.0,0.004301600607112
17,0.920881283068784,0.2824977189767972,5000.0,0.0074096811506897
18,0.9277024310565986,0.2655007106503826,4393.0,0.005781620549038
19,0.9382063692480374,0.1964237824529711,4388.0,0.0012913689576089
