index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.5165039582331242,0.8944217717875714,1.0,0.3039460716191679
1,0.519683672037838,0.8783768866819567,2.0,0.2915883109243142
2,0.5267775372775376,0.8650883650833421,1.0,0.550172432884574
3,0.5386871693121698,0.851742462706583,1.0,0.6240524180158973
4,0.5396962882796221,0.8347524139324835,6.0,0.6207437869738788
5,0.5416811067019398,0.7441625047888171,3.0,0.0040384527764307
6,0.5441956970498635,0.7407412730594005,5.0,0.0043506775216893
7,0.5453981381273049,0.7291365254310087,9.0,0.0043127029932257
8,0.5529984567901242,0.6363123837041618,599.0,0.7359494269248098
9,0.5541095278178619,0.632600227347595,624.0,0.7306054849469266
10,0.6330727212602214,0.5694175293591346,241.0,0.0033286716956645
11,0.6644318823152158,0.5497003583877833,295.0,0.0028973493091762
12,0.6920540624498954,0.5151288234217144,347.0,0.0052500949464738
13,0.7453578832206286,0.4886123859233717,617.0,0.0018298887461423
14,0.7747854136604139,0.47329557380996,534.0,0.0040349590913441
15,0.7962790604457275,0.4363095843599097,718.0,0.0041687872894108
16,0.8312800232719351,0.413647548820237,727.0,0.0011875231880694
17,0.8347374539041206,0.4117902948119007,862.0,0.0013369998633861
18,0.8576831309122976,0.3725015448960838,1214.0,0.0016984668765557
19,0.8734380912297578,0.3657366996718072,1238.0,0.0010542758125811
