index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.3614354156645821,0.8641933404004712,8.0,0.3046425184411928
1,0.3661488195446529,0.8454175549053121,8.0,0.518873931135051
2,0.3661756353214686,0.8404765775731884,10.0,0.5070743121644482
3,0.3691934824434822,0.8299490334903797,12.0,0.4248444891357794
4,0.3695320165945165,0.8117973454746163,12.0,0.5586247821282595
5,0.3706661355619688,0.7806346008168846,32.0,0.4263448010161519
6,0.3735270462562128,0.7625022807655599,41.0,0.4238063449412584
7,0.3740148709315375,0.7481884909284737,83.0,0.2404224557708948
8,0.3777398789482123,0.7380026421184758,64.0,0.1508871256560087
9,0.3803684964726633,0.7347739236080233,61.0,0.1272014556294307
10,0.3804587842712845,0.7266636397824601,77.0,0.1361264698132872
11,0.6986015812890815,0.3956689785529709,2541.0,0.0024728847630321
12,0.7562246071829397,0.3858395829004427,2600.0,0.0022254058904945
13,0.778724887766554,0.3185888539037705,2719.0,0.0020820512874051
14,0.7793009760301424,0.2962629608462509,1431.0,0.0046921442728489
15,0.8169604454641224,0.2408710392362063,4979.0,0.0143799465643242
16,0.823790544332211,0.1933572870869306,3500.0,0.0021138896048069
17,0.8295386904761906,0.1656541339677848,3789.0,0.0045233962694182
18,0.8419954605579603,0.1585002419090194,3639.0,0.002441989830695
19,0.8708709816418148,0.1294054018113468,3972.0,0.0020691252406686
