index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0.8352777777777778,0.5890461219703688,2457,4172,4275,0.7612587784957141,0.9348219825085252,5.418322303422728,t-test,bounded,1
1,0.8363888888888888,0.5777158786992416,1923,3464,4703,0.6168382502272725,0.5678847092669457,5.629891570422799,t-test,bounded,1
2,0.8481944444444444,0.5541582095136346,1419,3895,423,0.5837960946075618,0.4872209697533399,1.2891370107727125,t-test,bounded,1
3,0.8531944444444446,0.5252955550713311,85,4830,40,0.9464330660705548,0.0185172586398956,0.3642183682314617,ks-test,full,4108
4,0.8730555555555555,0.482794025034344,85,3245,58,0.986860592892919,0.0147180629033225,0.4600861248798746,t-test,bounded,2113
5,0.8947222222222221,0.462493969225379,85,2032,58,0.9464330660705548,0.0147180629033225,0.4600861248798746,t-test,bounded,3872
6,0.8288888888888889,0.5795627812918029,2457,4172,4275,0.7612587784957141,0.9348219825085252,5.418322303422728,ks-test,bounded,1
7,0.8386111111111111,0.5658861447473161,3034,4098,3522,0.5115704870391636,0.2977109365370124,4.1183606250016025,t-test,bounded,1
8,0.8427777777777777,0.5395709355923552,3891,3141,2575,0.6597184929437936,0.8007098774686455,1.2327624755986035,t-test,bounded,2
9,0.857638888888889,0.4787370642667483,196,2572,999,0.9464330660705548,0.0111109216596878,0.6137867375676548,t-test,bounded,2113
10,0.8605555555555554,0.4704847409786806,85,2032,413,0.986860592892919,0.0469106367377092,0.4600861248798746,t-test,bounded,2113
11,0.8733333333333333,0.4366732227128536,196,2032,58,0.9464330660705548,0.0469106367377092,0.3642183682314617,t-test,bounded,166
12,0.8361111111111111,0.5602706765134837,1419,3895,423,0.5837960946075618,0.4872209697533399,1.2891370107727125,ks-test,bounded,1
13,0.8386111111111111,0.5534147381178028,2594,3556,3093,0.4442158458866179,0.1997651369702071,4.522876944789664,t-test,bounded,1
14,0.8399999999999999,0.5192260952004042,3891,3141,2575,0.6597184929437936,0.8007098774686455,1.2327624755986035,ks-test,bounded,2
15,0.8488888888888889,0.4806259758868369,85,3245,58,0.986860592892919,0.0147180629033225,0.4600861248798746,ks-test,bounded,2113
16,0.8504166666666667,0.4734136023934318,239,2418,999,0.9523923766240554,0.0469106367377092,0.6448634775692823,t-test,bounded,2113
17,0.8543055555555557,0.4705716816062971,239,2851,58,0.9464330660705548,0.0469106367377092,0.3642183682314617,t-test,bounded,1523
18,0.8676388888888887,0.4637156912455961,427,2032,999,0.9464330660705548,0.0200907085044124,0.4600861248798746,t-test,bounded,2113
19,0.8677777777777779,0.3910307048771471,4920,2866,306,0.5422842083014547,0.0039918013885617,0.0709844907233491,ks-test,bounded,1394
