index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0.631578778,0.766621766,4783,105,4794,0.170866753,0.9
1,0.63529288,0.76133423,4783,105,4794,0.170866753,0.8
2,0.640169093,0.759960249,4597,359,4897,0.133014628,0.9
3,0.643883195,0.754814281,4597,359,4897,0.133014628,0.8
4,0.655045058,0.753097165,195,22,4939,0.111348376,0.9
5,0.6571633,0.751449776,195,364,4939,0.080163565,0.9
6,0.66663114,0.742370321,121,559,4838,0.120269048,0.9
7,0.670573505,0.74223679,126,479,4939,0.181249979,0.9
8,0.702673302,0.712687421,126,1125,4939,0.705263241,0.9
9,0.709697465,0.693832136,195,1125,4704,0.889623448,0.9
10,0.715354526,0.651803251,195,1125,2981,0.813817333,0.9
11,0.715354526,0.651803251,195,1125,3005,0.813817333,0.9
12,0.736658621,0.578072941,969,1585,11,0.634216377,0.9
13,0.750179739,0.516543471,127,1492,424,0.587571736,0.9
14,0.76405464,0.495571288,195,1396,66,0.633018609,0.9
15,0.775866261,0.397904591,158,114,75,0.673973822,0.9
16,0.779420306,0.364575663,4670,243,83,0.945863202,0.9
17,0.780496014,0.328668123,4336,165,336,0.867119603,0.8
18,0.784254184,0.327965264,4134,291,325,0.853427489,0.8
19,0.807028001,0.318656702,4134,291,325,0.853427489,0.9
